date,t,co
2012-01-01,297.01956,1.3738244e-07
2012-01-02,297.57477,1.2497324e-07
2012-01-03,297.29828,1.5609518e-07
2012-01-04,296.35892,1.1928188e-07
2012-01-05,297.26782,1.2730038e-07
2012-01-06,297.53558,1.4517558e-07
2012-01-07,297.21643,1.4144645e-07
2012-01-08,296.99664,1.251181e-07
2012-01-09,297.0675,1.1581997e-07
2012-01-10,296.79407,1.05471585e-07
2012-01-11,296.24905,1.0542942e-07
2012-01-12,296.40292,1.04926464e-07
2012-01-13,296.3022,1.10077906e-07
2012-01-14,296.6726,1.1658993e-07
2012-01-15,296.14917,1.0817604e-07
2012-01-16,296.52756,1.1341846e-07
2012-01-17,296.66376,1.2289449e-07
2012-01-18,296.333,1.2843002e-07
2012-01-19,296.0161,1.2675542e-07
2012-01-20,295.99487,1.3004177e-07
2012-01-21,295.88687,1.2879931e-07
2012-01-22,296.69247,1.3514784e-07
2012-01-23,297.12735,1.2532874e-07
2012-01-24,296.6495,1.2282837e-07
2012-01-25,296.39844,1.326384e-07
2012-01-26,295.70517,1.3410153e-07
2012-01-27,295.98523,1.2127583e-07
2012-01-28,296.48947,1.0961262e-07
2012-01-29,296.84814,1.09725704e-07
2012-01-30,297.43527,1.07662245e-07
2012-01-31,296.91364,9.960398e-08
2012-02-01,296.86874,1.1563038e-07
2012-02-02,297.01663,1.2008596e-07
2012-02-03,296.50354,1.2102497e-07
2012-02-04,296.99185,1.2867169e-07
2012-02-05,296.75116,1.2971032e-07
2012-02-06,297.0418,1.2400038e-07
2012-02-07,297.05908,1.16208355e-07
2012-02-08,296.62866,1.1713651e-07
2012-02-09,296.01636,1.13157895e-07
2012-02-10,296.08148,1.1107778e-07
2012-02-11,295.87878,1.0870893e-07
2012-02-12,295.45538,1.0787931e-07
2012-02-13,296.49765,1.0592996e-07
2012-02-14,296.98724,1.319931e-07
2012-02-15,296.48154,1.3998783e-07
2012-02-16,296.13007,1.2077952e-07
2012-02-17,296.27716,1.1093958e-07
2012-02-18,296.57498,1.0820118e-07
2012-02-19,296.4726,1.12254256e-07
2012-02-20,296.71783,1.1167576e-07
2012-02-21,296.68558,1.0883449e-07
2012-02-22,297.34085,1.329545e-07
2012-02-23,297.07095,1.4610126e-07
2012-02-24,296.63165,1.4277691e-07
2012-02-25,296.64337,1.3177772e-07
2012-02-26,296.5015,1.3235567e-07
2012-02-27,296.50095,1.3132625e-07
2012-02-28,296.74234,1.3807248e-07
2012-02-29,296.32123,1.3709706e-07
2012-03-01,295.94427,1.210663e-07
2012-03-02,296.34265,1.04080556e-07
2012-03-03,296.5521,1.0852166e-07
2012-03-04,296.64545,1.0573652e-07
2012-03-05,297.13226,1.2958134e-07
2012-03-06,297.21985,1.4118231e-07
2012-03-07,297.26132,1.3741922e-07
2012-03-08,297.4517,1.2863896e-07
2012-03-09,296.81738,1.2239536e-07
2012-03-10,296.72617,1.2153357e-07
2012-03-11,296.9033,1.1935224e-07
2012-03-12,297.27753,1.2539937e-07
2012-03-13,296.94754,1.2772782e-07
2012-03-14,296.31506,1.0982673e-07
2012-03-15,295.70642,1.0704315e-07
2012-03-16,296.09485,1.2428063e-07
2012-03-17,296.55692,1.2235962e-07
2012-03-18,296.9674,1.0501217e-07
2012-03-19,297.1088,1.092269e-07
2012-03-20,297.63196,1.2669724e-07
2012-03-21,297.08563,1.3006998e-07
2012-03-22,296.86438,1.17729556e-07
2012-03-23,297.50204,1.17220054e-07
2012-03-24,297.40878,1.14746214e-07
2012-03-25,296.84644,1.0884011e-07
2012-03-26,297.1295,1.08433866e-07
2012-03-27,297.29706,1.01258436e-07
2012-03-28,297.74023,1.0631874e-07
2012-03-29,297.72235,1.194574e-07
2012-03-30,297.41376,1.3982043e-07
2012-03-31,297.55048,1.261575e-07
2012-04-01,297.66498,1.3183632e-07
2012-04-02,297.81293,1.2966987e-07
2012-04-03,297.7758,1.2062141e-07
2012-04-04,297.2168,1.14316144e-07
2012-04-05,297.80902,1.13486294e-07
2012-04-06,297.9541,1.05006336e-07
2012-04-07,298.03677,1.0260479e-07
2012-04-08,298.35208,1.0920937e-07
2012-04-09,298.4173,1.0222236e-07
2012-04-10,298.25375,1.0109176e-07
2012-04-11,298.04706,1.0470903e-07
2012-04-12,298.05756,9.756148e-08
2012-04-13,298.44568,9.654426e-08
2012-04-14,298.82388,1.04630445e-07
2012-04-15,298.80646,9.58892e-08
2012-04-16,298.45837,8.8135366e-08
2012-04-17,298.31845,8.59872e-08
2012-04-18,298.79425,8.3523865e-08
2012-04-19,299.04797,8.338279e-08
2012-04-20,299.0562,7.6834986e-08
2012-04-21,299.08234,7.3066985e-08
2012-04-22,298.828,7.344148e-08
2012-04-23,298.9023,7.971653e-08
2012-04-24,299.15247,7.680332e-08
2012-04-25,299.36575,6.621836e-08
2012-04-26,299.54462,6.3889885e-08
2012-04-27,299.2818,6.238283e-08
2012-04-28,298.83374,6.51217e-08
2012-04-29,299.00165,7.1003356e-08
2012-04-30,299.43286,7.9227995e-08
2012-05-01,299.47977,7.772411e-08
2012-05-02,299.21118,7.616658e-08
2012-05-03,299.2538,7.593274e-08
2012-05-04,298.95508,7.141648e-08
2012-05-05,299.1337,6.847552e-08
2012-05-06,299.419,7.2603726e-08
2012-05-07,299.9056,7.073993e-08
2012-05-08,299.90582,6.798657e-08
2012-05-09,299.98636,7.266631e-08
2012-05-10,299.9187,7.1684646e-08
2012-05-11,300.0894,5.7664504e-08
2012-05-12,299.80383,5.8502394e-08
2012-05-13,299.91684,6.747881e-08
2012-05-14,300.29837,7.26332e-08
2012-05-15,300.31262,6.739556e-08
2012-05-16,300.0459,5.605047e-08
2012-05-17,300.38962,6.118893e-08
2012-05-18,300.29712,6.3688816e-08
2012-05-19,300.3593,6.350303e-08
2012-05-20,300.212,5.97238e-08
2012-05-21,300.27744,6.27989e-08
2012-05-22,300.2625,6.446838e-08
2012-05-23,300.4486,6.548018e-08
2012-05-24,300.50342,6.9726006e-08
2012-05-25,300.4759,7.115601e-08
2012-05-26,300.8714,7.7031245e-08
