date,t,co,no,no2,so2,c10h16,c5h8
2012-01-01,245.79486,1.2885714e-07,9.999995e-26,6.240049e-12,4.733725e-10,9.9999965e-26,9.999993e-26
2012-01-02,245.75061,1.3105752e-07,9.999993e-26,3.676485e-12,5.8605915e-10,9.999994e-26,9.999995e-26
2012-01-03,244.9211,1.2965577e-07,9.999995e-26,7.8054e-12,6.253428e-10,9.999995e-26,9.999995e-26
2012-01-04,244.8642,1.3192883e-07,9.9999903e-26,7.473628e-12,6.539571e-10,9.999998e-26,9.999995e-26
2012-01-05,245.09401,1.2500965e-07,9.999993e-26,5.362592e-11,3.1361028e-10,9.999995e-26,9.999995e-26
2012-01-06,242.6297,1.1850578e-07,9.9999903e-26,2.0085678e-11,2.1542557e-10,9.999993e-26,9.999995e-26
2012-01-07,239.26505,1.1340684e-07,9.9999903e-26,2.3846512e-11,1.2995717e-10,9.999995e-26,9.999993e-26
2012-01-08,239.7482,1.12393636e-07,9.999995e-26,1.4062334e-11,1.1921321e-10,9.999995e-26,9.999993e-26
2012-01-09,240.58336,1.13606404e-07,9.999988e-26,1.9077647e-12,1.34547e-10,9.999995e-26,9.999993e-26
2012-01-10,242.66188,1.15025564e-07,9.999993e-26,1.562199e-12,1.6710133e-10,9.999995e-26,9.9999965e-26
2012-01-11,245.6336,1.1851424e-07,9.999993e-26,6.298344e-11,1.4495083e-10,9.999993e-26,9.999993e-26
2012-01-12,241.43292,1.1433885e-07,9.999993e-26,7.051826e-11,1.255466e-10,9.9999965e-26,9.999994e-26
2012-01-13,240.94243,1.16201946e-07,9.999993e-26,5.2906494e-12,1.283058e-10,9.999993e-26,9.999993e-26
2012-01-14,243.99496,1.1903218e-07,9.999993e-26,3.4035793e-12,1.3097778e-10,9.999995e-26,9.999993e-26
2012-01-15,244.65572,1.2223143e-07,9.999995e-26,3.4584167e-12,1.5398267e-10,9.999995e-26,9.9999903e-26
2012-01-16,244.79428,1.2305773e-07,9.999993e-26,1.1997735e-12,1.4105864e-10,9.999995e-26,9.999993e-26
2012-01-17,242.10338,1.2249066e-07,9.999993e-26,7.599989e-12,1.0055598e-10,9.999995e-26,9.999993e-26
2012-01-18,244.83992,1.182446e-07,9.9999903e-26,3.421229e-12,1.2222033e-10,9.9999903e-26,9.999995e-26
2012-01-19,247.73862,1.161024e-07,9.999993e-26,6.379748e-11,9.4985866e-11,9.999993e-26,9.999995e-26
2012-01-20,246.35197,1.1533966e-07,9.999995e-26,4.265849e-11,1.0479617e-10,9.999995e-26,9.999993e-26
2012-01-21,244.37361,1.1446822e-07,9.9999903e-26,3.825712e-12,1.05491706e-10,9.999995e-26,9.999995e-26
2012-01-22,243.66202,1.136886e-07,9.9999903e-26,2.8380303e-11,1.1010914e-10,9.999995e-26,9.999995e-26
2012-01-23,240.41324,1.1130116e-07,9.999993e-26,2.6711425e-11,1.01378635e-10,9.999995e-26,9.999993e-26
2012-01-24,241.64326,1.13226285e-07,9.999993e-26,1.0516648e-11,1.03794154e-10,9.999995e-26,9.999993e-26
2012-01-25,242.54689,1.15642365e-07,9.999993e-26,7.672676e-12,2.5822594e-10,9.999995e-26,9.999995e-26
2012-01-26,238.35469,1.1527033e-07,9.999995e-26,1.7692238e-11,2.8023792e-10,9.9999903e-26,9.999995e-26
2012-01-27,237.14127,1.16524944e-07,9.9999903e-26,9.828147e-12,2.5664137e-10,9.9999965e-26,9.999995e-26
2012-01-28,238.02248,1.187948e-07,9.999988e-26,5.130766e-12,2.7215352e-10,9.999993e-26,9.999994e-26
2012-01-29,237.44269,1.177389e-07,9.9999903e-26,2.4707493e-12,2.2564497e-10,9.9999903e-26,9.999993e-26
