date,t,co,no,no2,so2,c10h16,c5h8
2006-01-01,294.04294,8.4589885e-08,1.4226686e-10,2.5848923e-09,2.3522648e-09,3.589609e-09,2.4316968e-08
2006-01-02,294.19464,1.1726833e-07,1.7745781e-10,5.057742e-09,3.2110659e-09,5.34357e-09,3.6426744e-08
2006-01-03,293.8588,1.0589538e-07,6.2889846e-11,2.1057138e-09,2.2178173e-09,2.5636957e-09,2.2930621e-08
2006-01-04,292.87778,1.0302354e-07,1.15151555e-10,2.4919267e-09,2.0521094e-09,3.2692073e-09,2.6543479e-08
2006-01-05,295.37686,1.07556836e-07,1.5746378e-10,3.4434657e-09,2.2766657e-09,3.5928391e-09,2.6255035e-08
2006-01-06,296.3278,1.2685368e-07,1.4303285e-10,3.1768597e-09,2.7617622e-09,4.2977275e-09,2.660776e-08
2006-01-07,296.54596,1.3063382e-07,2.0930369e-10,3.787884e-09,2.24917e-09,5.871934e-09,3.4553317e-08
2006-01-08,295.71857,1.4392376e-07,1.08621945e-10,2.3331537e-09,1.4774421e-09,3.1463443e-09,2.5126521e-08
2006-01-09,293.71112,1.4678376e-07,1.4720453e-10,2.1076414e-09,1.1921119e-09,3.585041e-09,2.983217e-08
2006-01-10,292.39716,1.2211169e-07,1.2510734e-10,2.474157e-09,1.038146e-09,2.8861409e-09,2.6215087e-08
2006-01-11,294.32007,1.2340857e-07,1.2141636e-10,3.3269045e-09,1.9092006e-09,3.1197216e-09,2.0700023e-08
2006-01-12,293.3131,1.2453681e-07,1.13218324e-10,3.4773753e-09,2.135094e-09,3.3916656e-09,2.071933e-08
2006-01-13,295.1692,1.1581906e-07,1.369995e-10,3.3472995e-09,2.383624e-09,3.984552e-09,2.0305162e-08
2006-01-14,295.44336,1.11088305e-07,1.7087246e-10,4.8855773e-09,2.391e-09,3.2020588e-09,1.9431447e-08
2006-01-15,296.564,1.2335047e-07,1.8631131e-10,3.747446e-09,2.7651905e-09,3.5183596e-09,1.9844293e-08
2006-01-16,296.22998,1.0326076e-07,1.1625685e-10,2.4141045e-09,2.2068898e-09,1.7920525e-09,1.3060254e-08
2006-01-17,295.5007,8.230028e-08,2.0241671e-10,2.8680507e-09,2.0999726e-09,2.2362636e-09,1.3647403e-08
2006-01-18,295.54193,6.920359e-08,1.6185776e-10,2.9609288e-09,2.1148965e-09,1.9976467e-09,1.2609487e-08
2006-01-19,296.2625,1.01487515e-07,2.4990168e-10,3.7693813e-09,2.299593e-09,5.2777884e-09,2.5839064e-08
2006-01-20,296.00983,1.246576e-07,2.946296e-10,5.273931e-09,2.6604985e-09,4.170309e-09,1.9931429e-08
2006-01-21,293.4201,9.484792e-08,1.1302883e-10,1.494075e-09,1.7740469e-09,1.5231243e-09,1.0671357e-08
2006-01-22,294.04327,1.01513564e-07,9.790559e-11,1.384391e-09,1.2512821e-09,1.9536734e-09,1.31610545e-08
2006-01-23,294.72632,1.3072108e-07,6.1543803e-10,3.846416e-09,1.636712e-09,4.9443654e-09,2.1872166e-08
2006-01-24,292.74182,1.1549365e-07,1.2073491e-10,2.5591778e-09,1.769021e-09,2.538992e-09,1.728874e-08
2006-01-25,294.3501,1.0814783e-07,1.7411403e-10,2.7271811e-09,2.464967e-09,3.3045429e-09,2.0552722e-08
2006-01-26,295.34033,1.58181e-07,1.4327048e-09,4.814217e-09,3.1584209e-09,8.962923e-09,3.4071512e-08
2006-01-27,295.93265,1.2027361e-07,2.364769e-10,3.9218806e-09,2.6957656e-09,2.5527374e-09,1.6592999e-08
2006-01-28,295.42682,1.2095971e-07,3.0962327e-10,4.213547e-09,2.523942e-09,5.9942584e-09,2.8919171e-08
2006-01-29,295.52307,1.1580883e-07,3.0822173e-10,3.7719423e-09,2.3539521e-09,5.388757e-09,2.37826e-08
2006-01-30,293.8988,1.2014469e-07,1.8258071e-10,3.9729517e-09,2.4133306e-09,3.0052978e-09,1.4992784e-08
2006-01-31,294.6419,1.2949765e-07,1.2784762e-10,3.0781206e-09,2.548376e-09,2.251381e-09,1.2757194e-08
2006-02-01,294.8147,1.06228235e-07,8.191912e-11,2.4795848e-09,2.321746e-09,1.9516628e-09,1.1127845e-08
2006-02-02,294.55887,9.9964566e-08,3.2531638e-10,3.3395833e-09,3.4064378e-09,1.9079665e-09,1.2875329e-08
2006-02-03,295.24658,1.3715636e-07,3.4247188e-10,5.6356084e-09,4.031081e-09,5.885366e-09,2.924064e-08
2006-02-04,295.2884,1.1283883e-07,2.531221e-10,3.3552845e-09,3.5770622e-09,2.3936024e-09,1.5218795e-08
2006-02-05,295.67307,1.2939957e-07,2.0013936e-10,4.8051274e-09,3.1169405e-09,5.7275487e-09,2.4465631e-08
2006-02-06,291.9679,1.1378244e-07,7.585337e-11,2.0479025e-09,2.6324154e-09,8.8669555e-10,8.196795e-09
2006-02-07,291.59866,8.3269e-08,5.2300112e-11,1.4988872e-09,1.5565297e-09,1.1061521e-09,9.723817e-09
2006-02-08,291.6669,9.422709e-08,7.486314e-11,1.6535059e-09,1.7658037e-09,1.4863967e-09,1.0678906e-08
2006-02-09,293.6412,1.280776e-07,1.6005514e-10,2.3801645e-09,1.8772688e-09,2.5447828e-09,1.6276818e-08
2006-02-10,294.5727,1.0721195e-07,1.06583284e-10,2.4642042e-09,1.4944409e-09,2.7573577e-09,1.5737372e-08
2006-02-11,292.83377,1.1294094e-07,8.270804e-11,2.2908253e-09,1.8723396e-09,2.0073228e-09,1.2009303e-08
2006-02-12,292.81937,1.0609136e-07,1.3106288e-10,2.3259172e-09,2.0663045e-09,2.0725293e-09,1.3555333e-08
2006-02-13,294.60165,1.3008068e-07,8.855701e-10,4.0271497e-09,2.3889462e-09,6.2163164e-09,2.5613101e-08
2006-02-14,295.11996,1.2836072e-07,2.9271993e-10,3.6318795e-09,2.6428244e-09,3.9155523e-09,1.938094e-08
2006-02-15,295.0299,1.28157e-07,1.899688e-10,5.2049867e-09,2.7676643e-09,4.175511e-09,2.1170798e-08
2006-02-16,294.54526,1.0907722e-07,8.2862016e-11,2.6293203e-09,2.4253446e-09,1.5986943e-09,1.0247026e-08
2006-02-17,294.86816,1.1819694e-07,2.9340852e-10,4.3043893e-09,3.6541608e-09,5.08356e-09,2.4325397e-08
2006-02-18,295.43683,1.2647682e-07,3.0356798e-10,5.644597e-09,3.437877e-09,3.9647188e-09,2.2642734e-08
2006-02-19,295.80096,1.3980333e-07,2.4605398e-10,5.135144e-09,3.4766994e-09,6.7368404e-09,3.2118233e-08
2006-02-20,294.48193,1.2999718e-07,2.953429e-10,4.179126e-09,3.3259218e-09,5.7751333e-09,2.8953943e-08
2006-02-21,294.43442,1.1957582e-07,3.1854575e-10,3.7948102e-09,1.4323698e-09,4.0123953e-09,2.16633e-08
2006-02-22,294.5456,1.3247937e-07,1.7489356e-10,3.6315824e-09,2.2032676e-09,2.8289582e-09,1.7934736e-08
2006-02-23,293.83975,1.4198265e-07,1.8957133e-10,3.3578935e-09,2.6856792e-09,3.423521e-09,2.0369217e-08
2006-02-24,294.20758,1.2331742e-07,1.7070366e-10,3.2199976e-09,2.5678686e-09,3.2421799e-09,2.0917643e-08
2006-02-25,293.99414,1.4990755e-07,3.9276482e-10,5.8527814e-09,3.4161842e-09,5.2372706e-09,3.118691e-08
2006-02-26,292.58783,1.17382356e-07,4.0360507e-11,2.367356e-09,2.381697e-09,1.9054496e-09,1.4299177e-08
2006-02-27,292.30606,1.1670327e-07,1.1630932e-10,2.5233848e-09,1.4291099e-09,2.4921012e-09,1.7548826e-08
2006-02-28,293.35144,1.309275e-07,3.6679076e-10,3.5713503e-09,2.266448e-09,4.290828e-09,2.505723e-08
2006-03-01,294.54034,1.8944272e-07,1.8946402e-09,5.4196447e-09,4.802294e-09,9.2119965e-09,4.0942012e-08
2006-03-02,294.57706,1.3750252e-07,5.413804e-10,4.3943458e-09,3.966104e-09,3.9767505e-09,2.3840636e-08
2006-03-03,293.83295,8.716358e-08,3.2894903e-10,3.0069667e-09,3.480307e-09,1.7614211e-09,1.3223042e-08
2006-03-04,289.4455,8.716075e-08,5.206029e-10,4.5175597e-09,7.6764035e-09,6.629965e-10,5.5764326e-09
2006-03-05,288.96295,8.580504e-08,6.236746e-10,4.4213624e-09,8.02377e-09,1.350389e-09,9.598451e-09
2006-03-06,290.05896,1.1528449e-07,1.1855918e-09,7.270219e-09,7.8997715e-09,2.1594195e-09,1.5173086e-08
2006-03-07,291.831,1.7801415e-07,7.474634e-10,7.4204247e-09,4.814801e-09,8.797794e-09,4.715186e-08
2006-03-08,293.53464,1.427123e-07,4.3631904e-10,4.7270423e-09,3.7444927e-09,6.9726735e-09,4.1171976e-08
2006-03-09,293.23788,1.8045672e-07,5.989592e-10,1.184715e-08,4.097709e-09,6.895694e-09,3.7833637e-08
2006-03-10,293.9529,1.3914605e-07,2.0232883e-10,3.982933e-09,3.4067447e-09,4.7130535e-09,2.8593995e-08
2006-03-11,293.99915,1.2400739e-07,1.7844831e-10,3.6693932e-09,2.7939306e-09,4.479944e-09,2.6877599e-08
2006-03-12,293.26392,1.5499826e-07,5.708379e-10,4.040474e-09,3.1378256e-09,8.2314715e-09,4.038701e-08
2006-03-13,291.74765,1.1415859e-07,1.7785737e-10,3.3104657e-09,2.8225506e-09,3.345219e-09,2.3713755e-08
2006-03-14,290.79947,1.1512571e-07,4.7984373e-11,2.1595494e-09,2.044867e-09,1.8218338e-09,1.3604371e-08
2006-03-15,292.18488,1.0645846e-07,1.4123704e-10,2.3302182e-09,2.6218447e-09,2.2159814e-09,1.5305897e-08
2006-03-16,293.46298,1.4580758e-07,2.8218458e-10,3.0477136e-09,2.4956368e-09,4.8695648e-09,2.8145816e-08
2006-03-17,293.05295,2.1095406e-07,3.1233256e-09,3.862213e-09,2.8684561e-09,1.1293082e-08,5.1866046e-08
2006-03-18,292.42987,1.2390784e-07,6.261754e-11,2.1787248e-09,1.951384e-09,2.1804554e-09,1.459816e-08
2006-03-19,293.32523,1.4536668e-07,2.6355e-10,3.8180974e-09,2.7348561e-09,4.852543e-09,2.6594845e-08
2006-03-20,293.45346,1.8762927e-07,1.1764485e-09,4.9893063e-09,3.3207468e-09,9.452001e-09,4.6551012e-08
2006-03-21,293.19843,1.3737501e-07,2.1393345e-10,3.398968e-09,3.123915e-09,3.6622934e-09,2.4784143e-08
2006-03-22,292.46988,1.279298e-07,1.5783741e-10,4.3622066e-09,2.15803e-09,3.7345296e-09,2.3672799e-08
2006-03-23,290.58478,1.3284688e-07,2.0546854e-10,3.4814316e-09,3.9425645e-09,1.5552893e-09,1.14354e-08
2006-03-24,290.00916,1.3125297e-07,1.7415325e-10,2.9724938e-09,3.257352e-09,2.4222242e-09,1.6355422e-08
2006-03-25,290.95648,1.3614326e-07,2.1738324e-10,3.7505505e-09,3.5863175e-09,4.332346e-09,2.6133833e-08
2006-03-26,291.2925,1.7173272e-07,8.457546e-10,5.281146e-09,3.1924041e-09,8.5389695e-09,4.2458034e-08
2006-03-27,291.1715,1.6723654e-07,1.16495e-09,4.4561186e-09,3.7646526e-09,9.568937e-09,4.3668795e-08
2006-03-28,289.64685,1.05428875e-07,3.0618458e-10,2.568713e-09,2.162667e-09,2.6603248e-09,1.5490986e-08
