date,t,co,no,no2,so2,c10h16,c5h8
2007-01-01,277.87552,1.9803241e-07,3.5812908e-10,1.1670787e-08,4.88101e-09,4.9140618e-12,3.121085e-11
2007-01-02,274.7888,1.7633016e-07,3.585859e-10,5.8482703e-09,2.5773543e-09,5.329783e-12,3.8906417e-12
2007-01-03,275.36243,2.0396075e-07,7.522967e-10,1.1235615e-08,5.389208e-09,4.7988068e-12,2.618063e-12
2007-01-04,277.7953,2.3287767e-07,8.427753e-10,1.634795e-08,6.7259447e-09,5.5676774e-12,2.854528e-12
2007-01-05,280.82382,2.190558e-07,4.785791e-10,1.2745099e-08,5.663845e-09,6.331236e-12,3.678037e-12
2007-01-06,279.25244,3.799483e-07,2.5159231e-08,2.5455968e-08,8.780465e-09,7.4975e-11,1.865444e-11
2007-01-07,274.9532,1.9125524e-07,8.1886997e-10,1.05220135e-08,3.4715053e-09,1.0553214e-11,6.176288e-12
2007-01-08,274.52063,2.1721819e-07,5.862713e-10,1.534814e-08,4.6152073e-09,1.08107846e-11,1.05107945e-11
2007-01-09,271.71844,1.572487e-07,1.4244925e-10,4.2964476e-09,2.281417e-09,3.7735e-12,2.5004426e-12
2007-01-10,267.71606,1.4671802e-07,1.1723403e-10,2.6964273e-09,1.7327141e-09,4.216136e-12,2.6694127e-12
2007-01-11,270.68793,1.9092539e-07,1.5028109e-09,1.4473112e-08,5.65445e-09,7.984563e-12,8.465557e-12
2007-01-12,277.20132,1.9868172e-07,4.3115184e-10,1.28566295e-08,6.051927e-09,5.7148665e-12,7.935487e-12
2007-01-13,271.9108,2.155669e-07,4.0755803e-09,1.298616e-08,5.0493965e-09,3.048708e-11,1.6629285e-11
2007-01-14,269.48718,1.8322615e-07,6.0402633e-10,1.122416e-08,5.041711e-09,7.4709015e-12,7.1717562e-12
2007-01-15,269.0466,1.8967481e-07,4.806852e-10,1.2711219e-08,4.565676e-09,1.7662639e-11,1.2797392e-11
2007-01-16,263.6308,1.6192169e-07,2.888893e-10,6.1721415e-09,4.314576e-09,1.0914052e-11,8.8810955e-12
2007-01-17,263.45663,1.745909e-07,5.412514e-10,7.1731727e-09,3.4646102e-09,1.2569433e-11,6.807459e-12
2007-01-18,269.08997,2.0304684e-07,1.5400128e-09,1.3949032e-08,6.571613e-09,8.4658175e-12,7.0735826e-12
2007-01-19,271.53296,2.0205653e-07,3.651726e-10,1.1218861e-08,5.2525584e-09,7.388823e-12,7.903076e-12
2007-01-20,264.2893,1.5473675e-07,2.1079716e-10,3.2254415e-09,3.0623117e-09,6.934448e-12,3.8876675e-12
2007-01-21,262.88626,2.7110696e-07,1.08480975e-08,1.9014516e-08,5.1020135e-09,4.9335078e-11,1.7567468e-11
2007-01-22,265.6952,1.9226748e-07,7.2423323e-10,1.202112e-08,4.281703e-09,1.0949054e-11,1.0169129e-11
2007-01-23,269.48608,2.2017062e-07,8.8161883e-10,1.526877e-08,4.9541455e-09,1.4196753e-11,8.6280445e-12
2007-01-24,267.75775,1.8194018e-07,3.7898829e-10,6.1296475e-09,2.9702563e-09,6.74714e-12,4.597098e-12
2007-01-25,259.3792,1.8885284e-07,5.735855e-10,1.0800209e-08,4.2821795e-09,1.7323833e-11,1.1036604e-11
2007-01-26,258.03882,1.8690852e-07,8.236689e-10,1.1156913e-08,3.867437e-09,1.618541e-11,8.590483e-12
2007-01-27,266.2286,2.2191793e-07,3.0164007e-09,1.5732367e-08,5.4699023e-09,1.2888897e-11,1.4492662e-11
2007-01-28,265.90906,2.2990858e-07,1.9137751e-09,1.6497182e-08,4.5156527e-09,1.8170158e-11,1.4502415e-11
2007-01-29,261.63947,2.0316138e-07,1.8183726e-09,1.12526966e-08,4.0471266e-09,1.9575345e-11,1.1385166e-11
2007-01-30,262.43668,2.759636e-07,7.899323e-09,2.17829e-08,5.3951257e-09,4.333262e-11,1.8750012e-11
2007-01-31,264.8546,1.6916137e-07,6.049852e-10,1.1428348e-08,3.729114e-09,1.1179258e-11,4.3489995e-12
2007-02-01,266.1243,2.0600999e-07,1.3511227e-09,1.32641045e-08,5.2125975e-09,4.4539862e-12,3.1971587e-12
2007-02-02,267.3225,2.590846e-07,3.678505e-09,2.0588816e-08,6.798638e-09,1.1202811e-11,5.339401e-12
2007-02-03,263.14697,1.8127376e-07,4.613172e-10,7.463648e-09,3.2629832e-09,3.4004726e-12,2.125983e-12
2007-02-04,259.19708,1.6803551e-07,2.6734545e-10,5.7132983e-09,2.5351252e-09,3.2552977e-12,2.9126085e-12
2007-02-05,257.29932,1.504314e-07,1.8476601e-10,3.3124492e-09,1.737831e-09,3.5811736e-12,2.0419202e-12
2007-02-06,261.3144,1.4884591e-07,3.681725e-10,4.4926542e-09,1.941781e-09,3.4754812e-12,2.0386668e-12
2007-02-07,260.3334,1.7029095e-07,3.3875638e-10,7.183486e-09,2.5752815e-09,4.52629e-12,2.299521e-12
2007-02-08,263.86816,1.5864015e-07,1.8244894e-10,4.4507757e-09,2.0412871e-09,2.7956977e-12,1.9249027e-12
2007-02-09,263.07367,1.5261364e-07,2.2153616e-10,3.3695655e-09,2.2099234e-09,2.6368976e-12,1.4368215e-12
2007-02-10,265.09137,1.7489234e-07,3.1725456e-10,8.272904e-09,3.2642884e-09,4.8071937e-12,2.4560347e-12
2007-02-11,263.54086,1.9537272e-07,9.536402e-10,9.122744e-09,4.1150234e-09,3.6460062e-12,2.1070578e-12
2007-02-12,264.72485,1.9436226e-07,4.223634e-10,9.659507e-09,3.3394718e-09,3.1025024e-12,2.3977734e-12
2007-02-13,256.16913,1.724069e-07,4.748283e-10,8.766861e-09,3.897369e-09,5.5024856e-12,4.419327e-12
