date,t,co,no,no2,so2,c10h16,c5h8
2005-01-01,271.5078,1.9249721e-07,2.972284e-09,3.3738154e-08,3.401233e-09,3.7133782e-11,9.999995e-26
2005-01-02,272.5712,1.9036949e-07,8.166031e-10,2.0757897e-08,3.541704e-09,1.986284e-11,1.1397461e-13
2005-01-03,272.60297,1.7793404e-07,4.0303165e-09,2.8962228e-08,3.1422673e-09,3.2139378e-11,1.4210855e-14
2005-01-04,270.91785,2.0324313e-07,1.1112793e-08,3.630176e-08,2.8070675e-09,5.4431737e-11,9.999995e-26
2005-01-05,272.3731,2.0476998e-07,5.4842912e-09,3.133442e-08,4.1346535e-09,3.802724e-11,2.7265245e-14
2005-01-06,272.28537,2.3307584e-07,1.9175236e-08,4.096497e-08,3.8632555e-09,6.362997e-11,8.474045e-14
2005-01-07,274.85162,1.7394842e-07,1.8786352e-09,2.5736405e-08,2.7596467e-09,2.2940646e-11,9.6587506e-14
2005-01-08,275.76526,1.6460152e-07,2.2223277e-09,2.8125601e-08,2.6095135e-09,2.2015957e-11,1.1668242e-13
2005-01-09,273.85336,1.6239845e-07,6.379509e-10,1.5430535e-08,1.7267106e-09,1.3329098e-11,1.2033248e-13
2005-01-10,271.99445,2.0151697e-07,6.947601e-09,3.0324955e-08,3.0337894e-09,3.0679882e-11,7.630655e-14
2005-01-11,275.9556,1.6507043e-07,2.6952123e-09,2.5937531e-08,2.314735e-09,1.7942406e-11,1.4210855e-14
2005-01-12,274.36703,2.0476145e-07,3.8542396e-09,3.395762e-08,3.5347814e-09,2.3506112e-11,1.0323315e-13
2005-01-13,275.13113,1.6480826e-07,5.5665006e-10,1.5506314e-08,2.4496805e-09,8.779214e-12,8.382089e-14
2005-01-14,272.95978,1.7855885e-07,2.13235e-09,2.3275453e-08,1.8831607e-09,1.467014e-11,9.999993e-26
2005-01-15,269.69394,2.0750498e-07,1.0328508e-08,3.4197868e-08,2.4041258e-09,2.4428466e-11,9.999995e-26
2005-01-16,272.46667,1.9425705e-07,1.9327189e-09,2.5324951e-08,3.3838827e-09,1.5730407e-11,3.9616655e-13
2005-01-17,274.06857,2.3621317e-07,2.0361552e-09,1.9298646e-08,2.8593954e-09,1.4425937e-11,7.115867e-13
2005-01-18,273.7293,3.3893383e-07,6.3741763e-09,2.3123786e-08,5.2458384e-09,2.724281e-11,2.6467134e-12
2005-01-19,272.55368,2.3721263e-07,1.7841176e-09,2.5721548e-08,5.4234444e-09,1.35581945e-11,1.5481892e-13
2005-01-20,272.3101,2.3124086e-07,1.8362711e-09,2.1144311e-08,5.0926237e-09,1.3243424e-11,5.0904094e-13
2005-01-21,272.29324,2.0183681e-07,1.2013598e-09,2.2761219e-08,3.820378e-09,9.966578e-12,3.573474e-13
2005-01-22,271.11334,4.332217e-07,1.3313087e-07,3.823043e-08,5.0540643e-09,1.1433835e-10,9.947598e-14
2005-01-23,270.6375,7.73945e-07,3.315038e-07,2.6979826e-08,5.9554544e-09,2.603026e-10,2.8884772e-15
2005-01-24,268.3588,2.1992318e-07,1.1293639e-08,2.7489767e-08,1.988454e-09,2.4613759e-11,9.999995e-26
2005-01-25,269.61725,2.3532888e-07,1.29688145e-08,2.5934966e-08,3.3766965e-09,2.8851834e-11,9.9999903e-26
2005-01-26,268.03644,2.5279962e-07,2.3739688e-08,2.7106218e-08,3.5683156e-09,4.298016e-11,1.0165911e-14
2005-01-27,267.28946,2.314223e-07,1.9579354e-09,2.084856e-08,4.143864e-09,1.3190185e-11,1.925941e-13
2005-01-28,261.85773,1.7292254e-07,7.2009176e-10,1.3248348e-08,2.2937536e-09,6.5986877e-12,9.9999903e-26
2005-01-29,263.33694,1.9949637e-07,2.170435e-09,1.8778199e-08,3.98716e-09,1.2479302e-11,5.2798477e-14
2005-01-30,265.24954,2.494907e-07,2.6949682e-09,1.9827144e-08,4.7042508e-09,2.0814649e-11,8.5950035e-13
2005-01-31,271.56952,2.0976371e-07,9.09957e-09,3.2204916e-08,3.1044018e-09,2.1529702e-11,2.5038571e-12
2005-02-01,267.39325,4.529981e-07,1.0534721e-07,3.933491e-08,8.724319e-09,1.08528186e-10,1.7281119e-12
2005-02-02,268.0928,2.7896894e-07,9.266282e-09,2.586361e-08,5.2495506e-09,2.3336555e-11,8.9447953e-13
2005-02-03,268.2739,2.4637583e-07,7.90829e-09,2.6006223e-08,4.742554e-09,1.986645e-11,3.36187e-13
2005-02-04,269.6964,2.3994608e-07,3.2211092e-09,2.2395527e-08,4.8787903e-09,1.5178315e-11,2.2539416e-12
2005-02-05,270.93292,2.2728625e-07,1.523892e-09,1.6623655e-08,3.161363e-09,1.2202754e-11,3.0430465e-12
2005-02-06,273.1966,2.2745132e-07,2.351423e-09,2.0927782e-08,2.5986715e-09,1.4721705e-11,2.089053e-12
2005-02-07,270.93167,2.1987076e-07,3.8144488e-09,3.1525897e-08,3.6049899e-09,1.6635127e-11,1.6899634e-12
2005-02-08,268.2432,2.3461504e-07,7.1727686e-09,3.806859e-08,4.4676787e-09,2.0676115e-11,3.1029513e-12
2005-02-09,266.06238,2.4271273e-07,6.523228e-09,4.0932036e-08,5.187343e-09,1.8674475e-11,4.042124e-12
2005-02-10,268.43408,2.18469e-07,1.2439053e-09,2.2267319e-08,4.446341e-09,9.536667e-12,2.5542487e-12
2005-02-11,272.47415,1.9663109e-07,2.7816038e-09,2.6458823e-08,2.9529024e-09,1.1575144e-11,1.5052677e-12
2005-02-12,269.80765,2.0643643e-07,5.6119704e-09,3.584349e-08,3.828404e-09,1.6210863e-11,1.1085257e-12
2005-02-13,269.83032,1.9541201e-07,8.852155e-10,1.715515e-08,3.1549539e-09,6.483992e-12,3.278428e-13
2005-02-14,267.1704,1.941187e-07,8.572185e-10,1.4239074e-08,3.0772331e-09,5.0451874e-12,5.395494e-14
2005-02-15,266.4538,1.9408066e-07,1.714361e-09,1.6825666e-08,1.623758e-09,6.6517937e-12,9.999995e-26
2005-02-16,265.21582,2.09724e-07,7.476597e-09,2.3390037e-08,1.6670444e-09,1.4486802e-11,9.999993e-26
2005-02-17,265.8938,2.3018534e-07,1.6814045e-08,2.4739897e-08,2.0155788e-09,2.2059297e-11,9.999993e-26
2005-02-18,267.8291,2.563546e-07,1.9148327e-08,2.9488929e-08,5.8652203e-09,2.3345615e-11,5.3749735e-13
2005-02-19,270.51935,2.5445217e-07,4.6009783e-09,2.7008888e-08,4.6684256e-09,1.3580599e-11,1.5921417e-12
2005-02-20,269.20712,2.3095693e-07,8.564992e-09,2.7440077e-08,4.1271755e-09,1.3746768e-11,5.210507e-14
2005-02-21,266.78696,1.8353055e-07,4.940457e-09,2.290307e-08,1.7202693e-09,1.0565224e-11,1.7968025e-14
2005-02-22,261.8458,1.5712513e-07,1.105034e-09,1.1641951e-08,1.3201313e-09,4.2774083e-12,5.1066464e-14
2005-02-23,262.3069,1.8537186e-07,4.1743693e-09,2.0703004e-08,2.8478047e-09,1.1238935e-11,3.309844e-14
2005-02-24,263.26715,2.525415e-07,3.2585007e-08,2.463794e-08,2.976885e-09,3.579611e-11,1.4701143e-13
2005-02-25,264.9245,2.5132604e-07,3.2163896e-08,2.9108879e-08,3.813694e-09,4.1777776e-11,1.0353708e-12
2005-02-26,263.4108,1.8496704e-07,5.5045057e-09,3.1317292e-08,1.8939228e-09,1.1421677e-11,2.021934e-14
2005-02-27,262.63153,1.7880564e-07,2.0716031e-09,2.7357206e-08,1.611594e-09,7.991696e-12,1.29981475e-14
2005-02-28,260.38412,1.7740766e-07,1.9187467e-09,2.6177581e-08,1.4805122e-09,8.34885e-12,2.1663579e-14
2005-03-01,259.2892,1.7705375e-07,2.562773e-09,2.198689e-08,1.3185442e-09,8.685645e-12,4.176387e-14
2005-03-02,262.83948,2.042144e-07,5.4597797e-09,3.8035612e-08,2.1759872e-09,1.537736e-11,2.0856502e-14
2005-03-03,264.4166,2.347951e-07,8.814424e-09,4.7592938e-08,4.0497965e-09,1.691388e-11,6.440862e-14
2005-03-04,263.7669,2.7175514e-07,1.1526874e-08,3.4032862e-08,4.6922617e-09,1.6170247e-11,9.999995e-26
2005-03-05,267.10495,2.6806984e-07,1.4001396e-08,3.3776523e-08,3.7351775e-09,1.6997579e-11,5.6030962e-14
2005-03-06,265.87213,2.1342774e-07,1.056033e-08,3.4445858e-08,2.3691473e-09,1.428829e-11,1.161015e-14
2005-03-07,266.98654,1.9498825e-07,4.1184127e-09,3.1085893e-08,2.2834834e-09,9.764758e-12,9.999995e-26
2005-03-08,268.36298,2.0780018e-07,1.35426825e-08,2.5962004e-08,2.032723e-09,1.2670736e-11,9.999988e-26
2005-03-09,263.8034,1.6827447e-07,2.1417337e-09,1.9500655e-08,1.403615e-09,4.7965265e-12,9.999993e-26
2005-03-10,263.05527,2.1818225e-07,2.0324276e-08,3.923991e-08,2.4240614e-09,2.0397649e-11,9.999995e-26
2005-03-11,262.9694,2.9967453e-07,7.027301e-08,4.2509136e-08,3.980732e-09,3.9128863e-11,9.999995e-26
2005-03-12,264.0445,1.6694996e-07,1.4979408e-09,1.9445839e-08,1.54923e-09,4.450092e-12,9.999995e-26
2005-03-13,262.3396,1.8180998e-07,2.9823666e-09,2.1678435e-08,1.7779787e-09,6.086523e-12,9.999993e-26
2005-03-14,262.67358,2.2856602e-07,2.0889301e-08,3.435733e-08,2.0438782e-09,2.292442e-11,9.999995e-26
2005-03-15,263.08746,2.4752737e-07,3.1602184e-08,3.4198642e-08,2.1634567e-09,2.944732e-11,7.221193e-15
2005-03-16,264.93347,2.7193914e-07,4.194826e-08,3.4015198e-08,3.862238e-09,4.374028e-11,4.1234342e-12
2005-03-17,266.90012,2.195609e-07,4.2783883e-09,2.7996482e-08,3.758537e-09,1.3604416e-11,5.8011673e-12
2005-03-18,266.9784,1.9686576e-07,5.620021e-09,1.8314845e-08,1.669896e-09,1.25151825e-11,4.6548212e-12
2005-03-19,266.0393,1.6430731e-07,1.9492268e-09,1.5096365e-08,1.2878829e-09,7.1640706e-12,3.7556677e-12
2005-03-20,266.90967,1.7147559e-07,2.6781706e-09,2.1338177e-08,1.5643931e-09,1.0675254e-11,7.5874385e-12
2005-03-21,268.01416,1.7814473e-07,4.6209645e-09,2.6549062e-08,1.9740192e-09,1.7676943e-11,1.325503e-11
2005-03-22,269.35828,2.0834383e-07,1.6195e-08,3.6395853e-08,2.7911462e-09,3.752911e-11,2.2817798e-11
2005-03-23,270.9903,2.6897288e-07,3.099052e-08,4.3835755e-08,6.047736e-09,6.9926925e-11,3.571719e-11
2005-03-24,273.77798,2.731346e-07,1.1058866e-08,3.2698814e-08,5.4943063e-09,3.6290585e-11,2.3407547e-11
2005-03-25,275.86035,1.9179198e-07,7.8851485e-09,3.2044937e-08,2.5869553e-09,2.923052e-11,1.905211e-11
2005-03-26,274.85507,2.6983977e-07,5.06378e-08,3.586411e-08,3.7650283e-09,9.380145e-11,5.7184306e-11
2005-03-27,273.08884,6.7473025e-07,3.085208e-07,3.5415162e-08,7.927556e-09,4.4667803e-10,1.8483305e-10
2005-03-28,271.5985,4.7887306e-07,1.557599e-07,3.583667e-08,6.6749806e-09,3.9388431e-10,1.4865159e-10
2005-03-29,271.65726,2.5378628e-07,2.0821254e-08,3.8381184e-08,5.186951e-09,7.4597814e-11,4.1897305e-11
2005-03-30,272.21417,2.5795248e-07,3.885009e-08,4.0229743e-08,5.0643885e-09,1.3586508e-10,5.824878e-11
2005-03-31,273.50818,2.9059765e-07,6.6656625e-08,3.6517164e-08,4.279966e-09,1.7627928e-10,1.05088487e-10
2005-04-01,273.2564,2.7239105e-07,5.393334e-08,3.0169346e-08,4.429749e-09,1.7651786e-10,1.1195075e-10
2005-04-02,273.95532,2.693257e-07,3.4199108e-08,3.1005445e-08,5.775018e-09,1.2681016e-10,6.5357546e-11
2005-04-03,277.3484,2.7695296e-07,3.853508e-08,3.462602e-08,4.1672124e-09,1.3092802e-10,8.1520124e-11
2005-04-04,276.49762,3.5162574e-07,6.713589e-08,3.324293e-08,8.200489e-09,2.0566017e-10,9.07622e-11
2005-04-05,278.267,2.5605192e-07,4.4880966e-09,2.5488324e-08,4.9637543e-09,3.855772e-11,2.834542e-11
