date,t,co
2010-01-01,271.35248,3.9286013e-07
2010-01-02,268.62592,2.2892854e-07
2010-01-03,265.65283,1.9108987e-07
2010-01-04,264.71722,2.5356377e-07
2010-01-05,264.26242,3.6267474e-07
2010-01-06,265.67316,3.7504233e-07
2010-01-07,267.8647,3.2841638e-07
2010-01-08,267.20682,3.4178603e-07
2010-01-09,266.423,3.6637104e-07
2010-01-10,266.078,3.9749222e-07
2010-01-11,266.34692,3.568789e-07
2010-01-12,267.268,4.819372e-07
2010-01-13,266.09753,5.081218e-07
2010-01-14,269.25507,4.2568456e-07
2010-01-15,267.29486,4.9525494e-07
2010-01-16,267.06842,4.9540205e-07
2010-01-17,271.63315,2.468707e-07
2010-01-18,270.5124,2.3939018e-07
2010-01-19,269.05908,3.4240963e-07
2010-01-20,267.20834,3.6566797e-07
2010-01-21,267.92578,3.477216e-07
2010-01-22,269.23413,3.1326095e-07
2010-01-23,266.95892,3.259156e-07
2010-01-24,266.31076,3.7446688e-07
2010-01-25,267.6628,4.329894e-07
2010-01-26,266.56552,3.8130398e-07
2010-01-27,262.65207,3.4132634e-07
2010-01-28,266.65314,2.4980363e-07
2010-01-29,268.3971,1.9882695e-07
2010-01-30,267.903,1.8248065e-07
2010-01-31,264.03287,2.0512874e-07
2010-02-01,263.3955,2.1896234e-07
2010-02-02,266.7327,1.7192717e-07
2010-02-03,270.3299,1.7754388e-07
2010-02-04,271.44357,2.61748e-07
2010-02-05,270.93192,3.3380735e-07
2010-02-06,272.05136,2.4790072e-07
2010-02-07,270.78644,3.0608453e-07
2010-02-08,267.10324,2.7759282e-07
2010-02-09,265.5645,3.0924758e-07
2010-02-10,264.58633,3.1890596e-07
2010-02-11,262.76227,2.9357938e-07
2010-02-12,262.79315,3.6177425e-07
2010-02-13,261.59192,3.8230348e-07
2010-02-14,262.55963,4.1405573e-07
2010-02-15,262.7985,3.8463912e-07
2010-02-16,263.85474,3.6392134e-07
2010-02-17,268.51096,3.9515723e-07
2010-02-18,272.69427,3.2527856e-07
2010-02-19,271.98215,3.515292e-07
2010-02-20,270.16614,2.1568428e-07
2010-02-21,269.05658,2.14351e-07
2010-02-22,271.94327,2.3280022e-07
2010-02-23,274.55884,2.154665e-07
