date,t,co,no,no2,so2,c10h16,c5h8
2003-01-01,250.34744,2.293967e-07,1.6695155e-08,2.2513406e-08,9.143296e-10,3.4572523e-10,9.999993e-26
2003-01-02,250.8084,2.4986895e-07,2.4052913e-08,3.273299e-08,8.3297214e-10,4.2087467e-10,9.999995e-26
2003-01-03,248.15852,2.613865e-07,2.5860214e-08,3.1401907e-08,9.0970664e-10,4.392166e-10,9.9999965e-26
2003-01-04,246.85321,2.118218e-07,3.7169134e-09,2.3292436e-08,9.294365e-10,1.542046e-10,9.9999903e-26
2003-01-05,248.53287,1.9659997e-07,1.7657157e-09,2.2339435e-08,8.758505e-10,1.0578232e-10,9.999995e-26
2003-01-06,249.29057,1.9764923e-07,3.1233214e-09,2.1947079e-08,7.942474e-10,1.0550982e-10,9.999995e-26
2003-01-07,252.71283,2.0934831e-07,4.454537e-09,3.123002e-08,9.830253e-10,1.1606721e-10,9.9999903e-26
2003-01-08,263.04785,1.9220083e-07,2.1143618e-09,2.0046249e-08,9.1466845e-10,7.0663385e-11,9.9999903e-26
2003-01-09,262.86664,1.6934214e-07,9.94532e-10,1.614186e-08,7.8534745e-10,3.2785212e-11,9.999995e-26
2003-01-10,251.66493,1.946702e-07,1.8126298e-09,1.609234e-08,8.041071e-10,4.3326835e-11,9.9999965e-26
2003-01-11,260.853,1.8614358e-07,1.9132198e-09,1.4677694e-08,9.705543e-10,3.0093282e-11,9.9999903e-26
2003-01-12,265.0666,1.7224882e-07,2.1447208e-09,1.3779701e-08,7.3635453e-10,1.9597183e-11,9.9999903e-26
2003-01-13,268.15826,1.5517342e-07,1.5632873e-10,5.8574305e-09,6.6066774e-10,3.7794186e-12,9.999995e-26
2003-01-14,260.7448,1.8008565e-07,1.9530728e-09,2.0376653e-08,1.3159691e-09,9.348582e-12,9.999995e-26
2003-01-15,262.86243,2.0172925e-07,3.8328833e-09,2.6755185e-08,1.3361399e-09,5.7924204e-12,9.999995e-26
2003-01-16,272.92676,1.5582798e-07,1.7985045e-10,6.3181083e-09,8.400949e-10,1.1796291e-12,9.999995e-26
2003-01-17,269.80548,1.6135863e-07,5.8815236e-10,1.1513562e-08,7.999494e-10,2.3176695e-12,5.190594e-15
2003-01-18,274.73907,1.8315318e-07,1.3867635e-10,6.4915313e-09,8.9088215e-10,9.974395e-13,4.7496756e-13
2003-01-19,271.8963,1.5140039e-07,1.719372e-10,5.2568994e-09,7.224792e-10,1.1298408e-12,9.999995e-26
2003-01-20,262.93585,1.6887918e-07,3.73674e-10,1.1520923e-08,8.8165986e-10,2.630499e-12,9.9999903e-26
2003-01-21,271.531,2.6533536e-07,6.92969e-10,1.8287167e-08,1.7029731e-09,3.5357084e-12,3.1891742e-13
2003-01-22,273.19824,2.443452e-07,2.7463834e-10,1.1485222e-08,1.553799e-09,1.7625196e-12,4.605286e-14
2003-01-23,271.72186,2.2193194e-07,5.636191e-10,1.5187718e-08,1.5627399e-09,3.0923257e-12,1.06059814e-13
2003-01-24,264.2993,1.8691985e-07,2.728465e-09,2.0940535e-08,8.567021e-10,6.72295e-12,9.999995e-26
2003-01-25,271.432,1.9016e-07,3.3875431e-09,1.4446491e-08,8.53925e-10,6.820877e-12,9.999993e-26
2003-01-26,273.25253,2.093375e-07,7.5207696e-10,1.7500078e-08,8.0383183e-10,4.1486614e-12,2.7683067e-13
2003-01-27,269.30573,1.7251716e-07,3.462381e-10,9.127046e-09,6.8766604e-10,2.650896e-12,9.999993e-26
2003-01-28,262.50723,1.8375626e-07,1.2784385e-09,1.6735434e-08,8.549788e-10,5.391341e-12,9.999993e-26
2003-01-29,259.10406,1.697392e-07,6.01821e-10,8.148343e-09,6.1268757e-10,3.1312077e-12,9.999995e-26
2003-01-30,255.38916,1.7451526e-07,1.0953216e-09,1.1409052e-08,6.346055e-10,4.5397705e-12,9.999995e-26
2003-01-31,252.36649,1.892104e-07,2.0241224e-09,1.46114525e-08,6.7855976e-10,7.2586936e-12,9.999995e-26
2003-02-01,253.6046,2.252257e-07,1.6821225e-08,2.2627878e-08,8.6414426e-10,2.3343586e-11,9.999993e-26
2003-02-02,268.51697,1.83814e-07,2.557963e-10,7.697262e-09,7.147071e-10,2.0709799e-12,1.4947882e-13
2003-02-03,264.56335,1.8524278e-07,4.78063e-10,9.663436e-09,1.2607542e-09,1.8887043e-12,9.999995e-26
2003-02-04,259.71786,1.9125143e-07,9.562787e-10,1.6921419e-08,1.6877373e-09,3.4067337e-12,9.9999903e-26
2003-02-05,258.59747,2.0961323e-07,2.925413e-09,2.7741905e-08,1.7777758e-09,6.3749895e-12,1.2577012e-14
2003-02-06,258.71622,2.3574057e-07,1.0110839e-08,2.3922798e-08,1.3179176e-09,1.6842102e-11,2.7749321e-14
2003-02-07,258.41922,2.542635e-07,1.8896806e-08,2.0776593e-08,1.098576e-09,2.4841922e-11,4.2648715e-14
2003-02-08,261.1766,2.578961e-07,2.0046816e-08,3.6665917e-08,1.2222983e-09,2.4142719e-11,9.999993e-26
2003-02-09,270.13776,1.9569651e-07,5.151052e-10,1.2490651e-08,6.543941e-10,4.494184e-12,1.0927016e-14
2003-02-10,270.3451,2.0081399e-07,2.8611394e-10,8.911912e-09,5.9851657e-10,3.0576765e-12,9.9999903e-26
2003-02-11,269.1745,2.0673325e-07,3.298396e-10,1.0134947e-08,5.201205e-10,3.6197286e-12,1.6117612e-14
2003-02-12,270.23508,2.1871361e-07,1.2558685e-09,1.2631138e-08,6.8734457e-10,6.1004435e-12,2.842171e-14
2003-02-13,269.95734,1.8863116e-07,1.1387018e-09,1.3799743e-08,7.265176e-10,5.861248e-12,9.999995e-26
2003-02-14,271.62817,1.6825432e-07,2.3594493e-10,5.5880047e-09,4.579314e-10,2.2116844e-12,9.9999903e-26
2003-02-15,262.1272,1.7312061e-07,1.893134e-09,1.5953791e-08,6.6875017e-10,8.2574884e-12,9.999993e-26
2003-02-16,266.98495,1.7623543e-07,4.837374e-10,1.16644285e-08,5.9540695e-10,5.9711585e-12,9.999993e-26
2003-02-17,272.40036,1.8245899e-07,9.1426994e-10,1.1352304e-08,6.61084e-10,5.566368e-12,9.999993e-26
2003-02-18,271.8665,1.8303567e-07,9.477246e-10,1.3662033e-08,7.0919265e-10,6.3008956e-12,9.999993e-26
2003-02-19,272.17175,1.6454663e-07,7.407243e-10,1.1957293e-08,6.534104e-10,5.148721e-12,9.999993e-26
2003-02-20,269.13663,1.984975e-07,9.423125e-09,2.6708253e-08,8.7037316e-10,2.943623e-11,9.999995e-26
2003-02-21,267.8786,2.3736833e-07,2.6371117e-08,3.3736715e-08,1.0771324e-09,5.7832586e-11,9.999995e-26
2003-02-22,268.8537,2.1373502e-07,1.3488898e-08,1.9185917e-08,8.204482e-10,3.122107e-11,2.7171478e-13
2003-02-23,266.9309,2.3380812e-07,1.8297657e-08,2.4702398e-08,8.96028e-10,5.1368836e-11,1.3348948e-12
2003-02-24,267.3194,2.078957e-07,5.0061905e-10,1.4912484e-08,5.2176385e-10,9.629107e-12,6.807945e-13
2003-02-25,268.36435,2.2712906e-07,1.0610678e-09,1.5809883e-08,8.0826124e-10,1.06040975e-11,6.748562e-13
2003-02-26,269.8743,2.2663677e-07,7.0852417e-09,2.2607384e-08,8.279109e-10,2.7657503e-11,4.9532703e-13
2003-02-27,269.36258,2.6401187e-07,8.1280795e-09,2.780149e-08,1.2186875e-09,2.2600572e-11,3.0876433e-13
2003-02-28,266.14993,2.4672903e-07,4.0345784e-09,2.0399462e-08,1.0001748e-09,1.8494012e-11,6.7521065e-13
2003-03-01,266.3328,2.6440978e-07,1.1476568e-08,2.7550602e-08,9.216303e-10,4.729049e-11,1.11727e-12
2003-03-02,264.67453,2.349918e-07,6.678272e-09,2.8130984e-08,9.687586e-10,2.8122667e-11,8.3606895e-13
2003-03-03,265.4037,2.261081e-07,9.773907e-10,1.916536e-08,7.7384554e-10,1.4688105e-11,8.315102e-13
2003-03-04,266.2843,2.2907403e-07,1.1974847e-09,1.7838772e-08,7.0542283e-10,1.5681135e-11,8.859047e-13
2003-03-05,267.23917,2.5522178e-07,4.5141326e-09,3.361815e-08,1.1508686e-09,2.4638246e-11,5.5657014e-13
2003-03-06,269.2323,2.2176145e-07,3.4744224e-10,1.07486e-08,6.6489214e-10,7.0707164e-12,8.236676e-13
2003-03-07,270.8567,2.121957e-07,3.7808542e-10,6.9058084e-09,7.687571e-10,4.7732968e-12,5.1482614e-13
2003-03-08,272.80933,2.4053696e-07,5.542477e-10,1.1017275e-08,8.935266e-10,7.3746564e-12,1.7232087e-12
2003-03-09,272.32245,2.3839085e-07,1.3273189e-09,1.760034e-08,1.6935219e-09,9.961529e-12,1.6016647e-12
2003-03-10,273.36746,2.0985412e-07,3.855681e-10,1.4294182e-08,4.691527e-10,1.0505894e-11,2.6329533e-12
2003-03-11,274.94846,1.6757124e-07,3.3462094e-10,9.915546e-09,7.521914e-10,6.7261327e-12,8.1675714e-13
2003-03-12,272.88965,1.7140314e-07,7.2919426e-10,1.125154e-08,5.2496213e-10,1.02878895e-11,6.101224e-13
2003-03-13,270.65173,1.6787503e-07,2.3660762e-09,1.1582322e-08,5.8625854e-10,1.8748064e-11,8.236769e-13
2003-03-14,273.29083,1.7279585e-07,1.5957793e-09,1.5779168e-08,7.7095813e-10,1.6063002e-11,2.046591e-12
2003-03-15,274.82208,1.5907375e-07,3.5599274e-10,6.671345e-09,4.834253e-10,6.606128e-12,8.9041296e-13
2003-03-16,273.01688,1.8749807e-07,4.4583044e-09,1.8445963e-08,7.6189355e-10,3.3817088e-11,2.224255e-12
2003-03-17,274.83408,1.7296813e-07,7.5621104e-10,8.109842e-09,6.262458e-10,1.05198445e-11,2.5067643e-12
2003-03-18,274.7589,1.7513042e-07,1.2782768e-09,1.1901197e-08,6.854459e-10,1.7039982e-11,3.9121254e-12
2003-03-19,274.03235,1.7939296e-07,3.0966893e-10,3.8047316e-09,4.1365805e-10,6.41273e-12,1.7328211e-12
2003-03-20,265.1925,1.6234364e-07,3.6019504e-10,4.1673e-09,4.0016218e-10,9.590522e-12,1.7205405e-12
2003-03-21,265.37164,1.8832769e-07,4.2023256e-09,1.7755761e-08,8.7008023e-10,5.4896622e-11,1.2164109e-11
2003-03-22,271.9753,1.850357e-07,4.3498502e-10,7.1302737e-09,5.5113936e-10,1.2346844e-11,4.3274633e-12
2003-03-23,275.73962,1.8740704e-07,1.179713e-09,1.0866094e-08,7.603152e-10,1.9512208e-11,6.941125e-12
2003-03-24,276.19232,1.6798288e-07,5.2146854e-10,5.2946865e-09,4.797561e-10,1.155129e-11,4.3124675e-12
2003-03-25,274.8808,1.865908e-07,5.8953016e-09,1.6062778e-08,8.2517004e-10,8.273741e-11,2.3819892e-11
2003-03-26,275.21735,1.9635259e-07,3.1718457e-09,2.0273138e-08,1.1384128e-09,3.5529663e-11,1.1545826e-11
2003-03-27,276.23492,2.0589792e-07,6.0655336e-10,9.091952e-09,9.592347e-10,1.8660596e-11,7.740489e-12
2003-03-28,275.1308,1.7430618e-07,6.588933e-10,1.0557316e-08,7.4898504e-10,2.3335531e-11,9.478496e-12
2003-03-29,275.09027,1.7652735e-07,1.473604e-09,1.4433846e-08,9.077849e-10,3.1638175e-11,1.3449238e-11
2003-03-30,275.96075,2.1231531e-07,6.0804145e-10,8.837097e-09,1.0128685e-09,1.9192856e-11,9.361395e-12
2003-03-31,269.7345,1.6389424e-07,3.0104944e-10,4.3257207e-09,4.193807e-10,1.2762903e-11,5.614605e-12
2003-04-01,266.92432,1.81529e-07,4.206354e-09,1.4222854e-08,9.31347e-10,7.8107854e-11,2.1647647e-11
2003-04-02,269.23795,1.7031212e-07,6.095703e-10,8.940535e-09,2.045204e-09,1.6991223e-11,9.497938e-12
2003-04-03,270.23767,1.6977593e-07,8.5647445e-10,1.1174027e-08,1.7054074e-09,3.444091e-11,1.4190731e-11
2003-04-04,271.1396,1.6468496e-07,8.5173885e-10,9.802977e-09,7.341311e-10,3.513649e-11,1.7450826e-11
2003-04-05,271.80875,1.5953385e-07,2.9550354e-10,5.533982e-09,5.14776e-10,1.7420183e-11,8.943811e-12
2003-04-06,268.71432,1.5711574e-07,4.6027618e-10,3.4667385e-09,3.7074233e-10,1.6465204e-11,6.8441997e-12
2003-04-07,268.78122,1.6047122e-07,6.43469e-10,4.5176707e-09,4.3735943e-10,2.0955125e-11,8.120681e-12
2003-04-08,270.72043,1.6592338e-07,7.049958e-10,5.4790283e-09,5.0802995e-10,2.6986456e-11,9.315821e-12
2003-04-09,273.61792,1.741426e-07,8.834719e-10,5.613264e-09,5.4647653e-10,2.4977981e-11,9.1926935e-12
2003-04-10,274.01776,1.8003074e-07,2.7958846e-10,5.038612e-09,8.989885e-10,1.8682795e-11,7.9003505e-12
2003-04-11,275.36993,1.8160452e-07,6.6675077e-10,6.113281e-09,1.7923719e-09,1.8909287e-11,8.560141e-12
2003-04-12,276.07394,1.8754606e-07,7.6237505e-10,9.1628465e-09,1.2280278e-09,4.060098e-11,1.6584368e-11
2003-04-13,276.17496,2.2026812e-07,8.9753645e-09,2.3713943e-08,1.5534483e-09,2.3457108e-10,5.7185128e-11
2003-04-14,277.14624,1.8773876e-07,9.984147e-10,1.3623216e-08,9.0426994e-10,7.99114e-11,3.4367682e-11
2003-04-15,277.3156,1.9529708e-07,2.250609e-09,1.9454431e-08,1.1391607e-09,1.09860315e-10,4.475959e-11
2003-04-16,278.99176,1.8796626e-07,1.0100123e-09,1.3083267e-08,1.1200532e-09,5.230605e-11,3.2398913e-11
2003-04-17,277.42328,1.8047274e-07,2.8273817e-10,5.9306604e-09,5.6179444e-10,3.3896278e-11,1.7350512e-11
2003-04-18,277.4674,1.8391142e-07,7.1496503e-10,9.662859e-09,7.1713036e-10,8.370522e-11,3.7804936e-11
2003-04-19,279.964,1.9858743e-07,2.3513902e-09,2.3405233e-08,1.1294933e-09,1.5178478e-10,6.878307e-11
2003-04-20,281.7798,2.0457121e-07,4.1844643e-09,2.3338197e-08,1.3198604e-09,3.0195227e-10,1.0557501e-10
2003-04-21,283.653,2.0629365e-07,2.9112321e-09,2.2362826e-08,1.3010955e-09,2.5868596e-10,1.0871462e-10
2003-04-22,284.35886,1.9842506e-07,4.1943924e-09,2.013796e-08,1.2382684e-09,2.9817881e-10,1.04984264e-10
2003-04-23,278.9485,1.5409549e-07,4.881849e-10,5.167e-09,5.0825144e-10,6.074781e-11,3.0289465e-11
2003-04-24,274.065,1.560918e-07,2.7985894e-10,3.6167724e-09,3.6034314e-10,4.9848375e-11,2.3484985e-11
2003-04-25,273.12955,1.6313737e-07,3.6121908e-10,7.589976e-09,6.159032e-10,1.332433e-10,5.4829783e-11
2003-04-26,274.33905,1.8098876e-07,1.8614013e-09,1.930576e-08,1.1380749e-09,4.0389359e-10,1.4146301e-10
2003-04-27,275.2923,1.8543231e-07,1.8482195e-09,1.4052835e-08,1.6182784e-09,1.4519695e-10,7.627447e-11
2003-04-28,275.10104,2.1265942e-07,7.112546e-10,9.230773e-09,1.8426073e-09,1.2544893e-10,8.226623e-11
2003-04-29,276.4978,2.2794893e-07,2.1305506e-09,1.9362213e-08,9.165786e-10,4.1066117e-10,1.7788178e-10
2003-04-30,276.33142,2.0499974e-07,1.0489228e-09,1.4815311e-08,8.067969e-10,2.3142298e-10,1.3354705e-10
2003-05-01,279.00494,1.8107892e-07,5.736996e-10,1.5668942e-08,1.283742e-09,2.1673706e-10,1.616692e-10
2003-05-02,277.49612,1.9313333e-07,4.1567055e-10,6.084707e-09,4.516624e-10,1.553643e-10,7.6251394e-11
2003-05-03,278.0903,1.793311e-07,9.649614e-10,1.1705406e-08,9.229065e-10,2.8435393e-10,1.2665873e-10
2003-05-04,278.5673,1.6215805e-07,3.428342e-10,7.32499e-09,6.3398187e-10,1.7736049e-10,8.4402776e-11
2003-05-05,279.83337,1.8422779e-07,5.1711275e-09,1.7934578e-08,1.3408369e-09,7.5646117e-10,1.9768188e-10
2003-05-06,282.67444,1.8023991e-07,3.913509e-10,7.1944606e-09,1.4697804e-09,1.1302866e-10,7.4836276e-11
