date,t,co,no,no2,so2,c10h16,c5h8
2009-01-01,266.2695,2.5391512e-07,1.1423767e-09,1.6354578e-08,2.1542035e-09,8.24209e-11,1.1947058e-11
2009-01-02,268.54056,2.8906783e-07,1.2990413e-09,1.3288662e-08,3.732742e-09,8.891295e-11,8.481902e-12
2009-01-03,266.96866,2.6003516e-07,1.8244773e-09,1.2698439e-08,3.216975e-09,1.3458504e-10,8.428677e-12
2009-01-04,268.32574,2.1480871e-07,2.9086844e-10,8.460917e-09,2.3814575e-09,4.443003e-11,8.662161e-12
2009-01-05,269.41394,2.560254e-07,1.4263097e-09,1.4506874e-08,3.30511e-09,6.869672e-11,1.0302424e-11
2009-01-06,265.0348,3.768905e-07,5.2198246e-09,2.3571218e-08,6.4587686e-09,1.6653257e-10,1.3635008e-11
2009-01-07,264.06656,3.752303e-07,8.19607e-09,2.3609914e-08,3.8695878e-09,1.7608638e-10,1.2178958e-11
2009-01-08,265.60678,2.7528424e-07,3.020716e-09,2.2679268e-08,3.7746974e-09,9.999577e-11,8.880499e-12
2009-01-09,261.43604,3.584653e-07,7.0198776e-09,2.5436236e-08,3.928527e-09,1.7995853e-10,1.6218207e-11
2009-01-10,261.8089,3.9296384e-07,7.467994e-09,2.0333077e-08,2.5449254e-09,2.3082733e-10,8.518863e-12
2009-01-11,261.82266,3.511713e-07,3.2839291e-09,2.123598e-08,3.0107157e-09,1.3433239e-10,9.230764e-12
2009-01-12,260.75,2.96e-07,1.9658084e-09,2.3514342e-08,2.390672e-09,7.8223115e-11,1.1764652e-11
2009-01-13,261.9251,2.7363555e-07,1.7521706e-09,2.5627143e-08,1.9087176e-09,5.6196027e-11,9.253404e-12
2009-01-14,263.5816,3.2563793e-07,2.1240811e-09,1.753077e-08,2.185103e-09,7.8116194e-11,8.440847e-12
2009-01-15,268.51135,4.4768564e-07,1.2552709e-08,2.0782132e-08,4.5888546e-09,1.3579818e-10,9.29195e-12
2009-01-16,271.82574,4.562623e-07,1.4659298e-08,3.024559e-08,4.490287e-09,1.626673e-10,9.838165e-12
2009-01-17,269.0935,3.1635568e-07,2.2216513e-09,2.5792172e-08,3.3335565e-09,6.2337274e-11,5.904734e-12
2009-01-18,272.5754,2.5821663e-07,7.0471906e-10,1.608042e-08,2.6937077e-09,2.8803494e-11,7.885418e-12
2009-01-19,274.3453,1.9472664e-07,1.8764898e-10,7.0209025e-09,1.947179e-09,1.0101287e-11,3.188598e-12
2009-01-20,273.36816,3.937896e-07,2.2770117e-09,1.6189292e-08,3.5418275e-09,7.920555e-11,5.096042e-12
2009-01-21,272.97382,6.171025e-07,1.7106382e-08,1.8007409e-08,4.314493e-09,2.3662428e-10,6.356378e-12
2009-01-22,273.57416,2.731831e-07,1.4389155e-09,1.6554436e-08,3.758415e-09,4.065497e-11,2.6529573e-12
2009-01-23,272.88303,2.454519e-07,5.0298193e-10,7.1214545e-09,1.8704573e-09,2.6264308e-11,6.1783374e-12
2009-01-24,275.0893,2.4076667e-07,2.607229e-09,9.245783e-09,2.7995946e-09,6.979378e-11,1.0284592e-11
2009-01-25,272.8764,3.7078283e-07,5.101168e-09,2.0404313e-08,5.1263354e-09,1.1338954e-10,1.25125075e-11
2009-01-26,272.833,3.1240415e-07,7.747394e-10,1.541243e-08,4.4568975e-09,5.6446053e-11,7.886964e-12
2009-01-27,272.77094,3.7726346e-07,2.5641511e-09,2.044987e-08,3.7355683e-09,8.628044e-11,1.1071304e-11
2009-01-28,271.39258,2.5577006e-07,2.8321967e-10,8.757547e-09,4.3168806e-09,2.0090627e-11,6.647802e-12
2009-01-29,270.75,2.1432578e-07,1.7020407e-10,5.7755583e-09,4.0279375e-09,1.3102481e-11,4.270792e-12
2009-01-30,270.0937,2.1166755e-07,2.4845176e-10,6.2162333e-09,3.622425e-09,1.4218874e-11,3.9236075e-12
2009-01-31,270.66455,2.261877e-07,3.6527756e-10,8.2877465e-09,4.1012562e-09,2.1129074e-11,4.583954e-12
2009-02-01,270.24615,2.2512853e-07,4.910282e-10,8.125239e-09,4.315419e-09,1.4541758e-11,3.2805512e-12
2009-02-02,272.66727,2.1747474e-07,3.408767e-10,5.087064e-09,2.841535e-09,1.2791827e-11,3.5289224e-12
2009-02-03,273.99554,2.1609732e-07,4.0917594e-10,6.3368777e-09,2.5374214e-09,1.8588266e-11,4.7054357e-12
2009-02-04,271.71332,2.639848e-07,1.0574454e-09,9.903841e-09,1.4849797e-09,5.1142465e-11,8.138879e-12
2009-02-05,272.16522,2.6116822e-07,8.877644e-10,7.857012e-09,2.1089614e-09,3.7628727e-11,7.0587303e-12
2009-02-06,272.8073,2.976249e-07,6.9511463e-10,1.6132855e-08,1.1106264e-09,5.851371e-11,1.0800739e-11
2009-02-07,277.79962,2.1379992e-07,3.0601421e-10,8.99489e-09,2.575569e-09,2.449607e-11,6.2057894e-12
2009-02-08,273.23355,3.0654166e-07,1.6760182e-09,1.8414868e-08,3.6526113e-09,6.9723845e-11,1.6553215e-11
2009-02-09,271.70984,2.1942404e-07,3.0367356e-10,8.752124e-09,3.3479446e-09,2.707823e-11,7.868411e-12
2009-02-10,272.78156,2.1237219e-07,4.64803e-10,7.821133e-09,2.2071884e-09,2.3829265e-11,8.1702214e-12
