date,t,co
2008-01-01,268.10043,2.7809227e-07
2008-01-02,269.5299,3.0673547e-07
2008-01-03,267.64777,2.9857168e-07
2008-01-04,266.74304,2.7284582e-07
2008-01-05,266.2025,2.40588e-07
2008-01-06,271.69925,2.4287397e-07
2008-01-07,272.37738,2.7717653e-07
2008-01-08,272.87125,3.2220441e-07
2008-01-09,271.20306,2.9250967e-07
2008-01-10,271.6291,3.258463e-07
2008-01-11,272.75766,3.608717e-07
2008-01-12,276.74957,2.7542256e-07
2008-01-13,275.31314,3.4032615e-07
2008-01-14,274.7892,3.5940985e-07
2008-01-15,274.8378,3.1268178e-07
2008-01-16,275.3817,2.610777e-07
2008-01-17,276.01617,2.6540022e-07
2008-01-18,277.08588,3.1264722e-07
2008-01-19,276.7916,3.0273338e-07
2008-01-20,280.6174,2.4272634e-07
2008-01-21,280.55908,3.3930615e-07
2008-01-22,278.75366,3.8625086e-07
2008-01-23,274.74176,1.9321897e-07
2008-01-24,272.82513,2.8177405e-07
2008-01-25,273.93134,2.664411e-07
2008-01-26,275.1388,2.659515e-07
2008-01-27,278.5956,2.0620719e-07
2008-01-28,276.21136,1.8145995e-07
2008-01-29,273.27173,3.3669633e-07
2008-01-30,274.1495,2.8169507e-07
2008-01-31,275.69904,3.0715304e-07
2008-02-01,275.34845,2.9988388e-07
2008-02-02,280.18756,2.1795519e-07
2008-02-03,276.86603,2.2754783e-07
2008-02-04,278.38892,2.478193e-07
2008-02-05,279.06506,2.5050898e-07
2008-02-06,277.99707,3.241688e-07
2008-02-07,278.6522,2.004758e-07
2008-02-08,276.78052,2.0023005e-07
2008-02-09,276.99066,2.35717e-07
2008-02-10,276.66705,2.2477418e-07
2008-02-11,273.47723,2.7754245e-07
2008-02-12,272.47363,3.393671e-07
2008-02-13,272.7893,2.971406e-07
2008-02-14,272.86374,3.345592e-07
2008-02-15,274.04218,2.2988027e-07
2008-02-16,270.03174,1.7962695e-07
2008-02-17,267.9618,1.9341962e-07
2008-02-18,272.91998,2.2827345e-07
2008-02-19,278.00116,2.1760717e-07
2008-02-20,276.35846,3.424966e-07
2008-02-21,277.19193,3.164467e-07
2008-02-22,280.1548,3.5076417e-07
2008-02-23,282.79193,2.2652358e-07
2008-02-24,281.72443,2.2036859e-07
2008-02-25,283.209,2.6645822e-07
2008-02-26,283.16083,3.020497e-07
2008-02-27,283.60718,2.776353e-07
2008-02-28,280.96423,1.8673549e-07
2008-02-29,280.76413,2.4730062e-07
2008-03-01,282.66318,2.0275785e-07
2008-03-02,282.7047,1.5385976e-07
2008-03-03,283.5022,1.5266696e-07
2008-03-04,280.05472,1.8580204e-07
2008-03-05,277.97577,1.9491392e-07
2008-03-06,275.57068,2.0677624e-07
2008-03-07,277.72034,2.442996e-07
2008-03-08,278.06824,2.2673007e-07
2008-03-09,279.65817,2.3691635e-07
2008-03-10,281.38867,2.1433118e-07
2008-03-11,281.99542,1.9046207e-07
2008-03-12,280.7253,2.23583e-07
2008-03-13,281.21655,1.6477037e-07
2008-03-14,279.98477,1.7656025e-07
2008-03-15,281.68506,1.9065311e-07
2008-03-16,283.01068,2.0455546e-07
2008-03-17,283.1785,2.0731676e-07
2008-03-18,277.976,1.7921616e-07
2008-03-19,276.09637,1.884467e-07
2008-03-20,275.88934,1.9834607e-07
2008-03-21,276.46582,1.8759938e-07
2008-03-22,277.64978,1.9263041e-07
2008-03-23,277.034,2.2308029e-07
2008-03-24,277.71512,2.0494741e-07
2008-03-25,275.83484,2.0755347e-07
2008-03-26,276.1541,1.811008e-07
2008-03-27,278.7791,2.2575288e-07
2008-03-28,282.38705,1.9622226e-07
2008-03-29,282.45615,2.0171106e-07
2008-03-30,283.0652,2.4681623e-07
2008-03-31,282.92624,2.451101e-07
2008-04-01,282.41095,2.4208535e-07
2008-04-02,281.79333,2.1254442e-07
2008-04-03,281.01758,2.4047057e-07
2008-04-04,282.27533,2.2182851e-07
2008-04-05,281.66498,2.3828007e-07
2008-04-06,281.62747,2.6334493e-07
2008-04-07,282.34985,2.061501e-07
2008-04-08,280.25067,2.0064952e-07
2008-04-09,285.26163,2.1733601e-07
2008-04-10,288.1293,1.6830572e-07
2008-04-11,289.90857,1.4930055e-07
2008-04-12,287.10913,1.7775558e-07
2008-04-13,284.23267,2.0572689e-07
2008-04-14,284.39178,2.375071e-07
2008-04-15,283.73453,2.0733339e-07
2008-04-16,282.6004,1.966327e-07
2008-04-17,282.22098,1.9005104e-07
2008-04-18,285.47583,1.80282e-07
2008-04-19,286.61862,1.5258253e-07
2008-04-20,287.8957,1.9164376e-07
2008-04-21,288.8344,1.873353e-07
2008-04-22,287.02625,1.7200054e-07
2008-04-23,284.4819,1.955485e-07
2008-04-24,285.14374,1.9288406e-07
2008-04-25,285.48383,2.3679699e-07
2008-04-26,285.5443,1.9981493e-07
2008-04-27,287.4188,1.7848987e-07
2008-04-28,287.58063,2.0009513e-07
2008-04-29,286.87152,2.1515635e-07
2008-04-30,286.38025,1.7173434e-07
2008-05-01,288.2621,1.709356e-07
2008-05-02,287.67154,1.738067e-07
2008-05-03,287.2964,1.8580751e-07
2008-05-04,286.41248,1.9184989e-07
2008-05-05,286.3426,2.0728814e-07
2008-05-06,286.96863,1.7230096e-07
2008-05-07,288.0841,1.6961897e-07
2008-05-08,287.81525,2.1694031e-07
2008-05-09,287.57983,1.7753122e-07
2008-05-10,287.54178,1.5611282e-07
2008-05-11,287.8129,1.6598598e-07
2008-05-12,289.34885,2.242577e-07
2008-05-13,290.84137,2.1463819e-07
2008-05-14,290.56015,1.762532e-07
2008-05-15,291.44876,1.747465e-07
2008-05-16,291.857,1.5276474e-07
2008-05-17,293.2141,1.4044284e-07
2008-05-18,293.8023,1.329666e-07
2008-05-19,293.3257,1.5081672e-07
2008-05-20,290.84723,1.4629308e-07
2008-05-21,289.0426,1.5882404e-07
2008-05-22,288.9538,1.7407585e-07
2008-05-23,289.51044,1.8195192e-07
2008-05-24,291.17227,1.8015751e-07
2008-05-25,292.07217,1.9201629e-07
2008-05-26,291.9298,1.643851e-07
2008-05-27,295.3235,1.5202424e-07
2008-05-28,297.29193,1.8758152e-07
2008-05-29,292.17148,1.4116922e-07
2008-05-30,294.1359,1.602568e-07
2008-05-31,295.9067,1.8489307e-07
2008-06-01,295.36224,1.6434757e-07
2008-06-02,295.46283,1.488118e-07
2008-06-03,294.82465,1.463738e-07
2008-06-04,294.12518,1.4045857e-07
2008-06-05,292.56543,1.5336802e-07
2008-06-06,290.52618,1.3806428e-07
2008-06-07,290.8782,1.3621819e-07
2008-06-08,290.98615,1.5356595e-07
2008-06-09,292.9447,1.6760576e-07
2008-06-10,294.97504,1.8228039e-07
2008-06-11,295.3966,1.5609092e-07
2008-06-12,292.4084,1.5692262e-07
2008-06-13,290.1943,1.4469728e-07
2008-06-14,289.1155,1.3590173e-07
2008-06-15,288.41022,1.4071344e-07
2008-06-16,290.39355,1.5588459e-07
2008-06-17,293.0042,1.3099223e-07
2008-06-18,291.3776,1.3382532e-07
2008-06-19,293.39404,1.5656869e-07
2008-06-20,295.89386,1.669844e-07
2008-06-21,296.979,1.3717315e-07
2008-06-22,298.0536,1.5474525e-07
2008-06-23,299.87933,1.3026586e-07
2008-06-24,299.5919,1.4265876e-07
2008-06-25,297.74707,1.3490823e-07
2008-06-26,298.13696,1.4751895e-07
2008-06-27,297.14105,1.4990343e-07
2008-06-28,296.04138,1.3156054e-07
2008-06-29,296.84793,1.3315925e-07
2008-06-30,296.3946,1.3223722e-07
2008-07-01,295.46335,1.4766418e-07
2008-07-02,296.67102,1.479295e-07
2008-07-03,297.39206,1.2778717e-07
2008-07-04,296.14597,1.357433e-07
2008-07-05,294.6659,1.2071794e-07
