date,t,co,no,no2,so2,c10h16,c5h8
2008-01-01,296.6738,1.6846714e-07,3.4940772e-10,1.2688109e-08,7.353086e-09,3.4343957e-09,2.4753476e-08
2008-01-02,297.43768,1.5445056e-07,2.1301447e-10,5.9660334e-09,6.94956e-09,3.570087e-09,2.6148443e-08
2008-01-03,298.78802,1.7926452e-07,2.0296997e-10,6.6946053e-09,7.4386057e-09,3.7935153e-09,2.9336357e-08
2008-01-04,294.8871,1.5396209e-07,1.1288348e-10,6.589785e-09,5.5169336e-09,2.1881317e-09,2.0831207e-08
2008-01-05,294.9713,1.5109185e-07,1.5338622e-10,6.5605406e-09,5.2904827e-09,2.2666538e-09,2.0991308e-08
2008-01-06,294.94055,1.4383993e-07,1.621593e-10,5.7168474e-09,4.7606643e-09,2.154013e-09,2.1673154e-08
2008-01-07,296.09943,2.1963591e-07,7.314816e-10,1.2070166e-08,8.083417e-09,7.1870248e-09,4.302519e-08
2008-01-08,296.31143,3.241e-07,1.0078488e-08,1.8725826e-08,1.2526405e-08,1.3480366e-08,6.998166e-08
2008-01-09,289.89145,1.3354675e-07,7.5627626e-10,6.4665855e-09,6.5485413e-09,2.792114e-09,2.4532829e-08
2008-01-10,288.02917,1.6088283e-07,5.706533e-10,1.1866477e-08,1.0024187e-08,3.866595e-09,4.6581736e-08
2008-01-11,289.25922,1.584701e-07,5.420665e-10,7.925259e-09,6.3453136e-09,4.1398245e-09,3.8788503e-08
2008-01-12,292.40582,2.0710392e-07,1.9515976e-09,9.442256e-09,8.207636e-09,1.0034121e-08,6.5033305e-08
2008-01-13,295.12817,2.1554214e-07,3.92179e-09,1.0527211e-08,8.565455e-09,1.1351453e-08,6.879967e-08
2008-01-14,295.7995,1.8562704e-07,8.522284e-10,9.606184e-09,7.801299e-09,9.039238e-09,5.7593216e-08
2008-01-15,295.4924,1.9021745e-07,1.3946169e-09,9.494398e-09,7.827612e-09,9.359634e-09,5.6994484e-08
2008-01-16,296.8865,2.4273302e-07,2.9946179e-09,1.3006075e-08,7.919558e-09,1.3120535e-08,7.6476965e-08
2008-01-17,295.266,2.0644286e-07,3.7217726e-10,1.0227946e-08,1.0667357e-08,5.1355626e-09,3.848525e-08
2008-01-18,291.83102,1.7275343e-07,1.4031838e-10,6.2062475e-09,5.225016e-09,3.0831193e-09,3.3905707e-08
2008-01-19,291.43365,2.268593e-07,4.630426e-10,1.0386819e-08,9.834932e-09,5.2343236e-09,4.7112778e-08
2008-01-20,291.1263,2.004725e-07,3.5987013e-10,1.2295913e-08,6.4796124e-09,6.957149e-09,6.2245796e-08
2008-01-21,291.8064,2.7689646e-07,1.0231959e-09,1.31637705e-08,1.1360088e-08,8.255136e-09,6.476597e-08
2008-01-22,291.3118,2.1582942e-07,5.2318766e-10,9.71141e-09,8.026767e-09,6.3437073e-09,6.824813e-08
2008-01-23,291.07574,2.0294779e-07,6.4136313e-10,1.0768705e-08,7.793892e-09,6.2985306e-09,5.7709233e-08
2008-01-24,291.23245,2.0946952e-07,1.3228132e-09,1.6058092e-08,9.74737e-09,6.5079795e-09,4.9527475e-08
2008-01-25,292.006,1.7158646e-07,5.9274163e-10,1.1678196e-08,1.1574595e-08,3.869993e-09,4.0200003e-08
2008-01-26,293.12482,2.1473869e-07,1.5387351e-09,1.446508e-08,1.2666598e-08,6.8488437e-09,5.1362484e-08
2008-01-27,293.73026,2.6382807e-07,2.1027353e-09,1.2695207e-08,1.1449723e-08,9.279883e-09,6.5072214e-08
2008-01-28,294.35672,2.8334205e-07,7.64608e-10,1.3006657e-08,1.0923203e-08,8.899088e-09,6.483377e-08
2008-01-29,294.41632,1.8861039e-07,5.0844484e-10,9.569421e-09,1.1591904e-08,1.8714337e-09,2.1272141e-08
2008-01-30,294.6034,2.3085269e-07,5.6305216e-10,1.2940106e-08,1.071159e-08,4.605371e-09,4.088143e-08
2008-01-31,295.8885,4.3067254e-07,1.0056444e-08,2.1073841e-08,1.625258e-08,1.5007792e-08,8.885648e-08
2008-02-01,295.6784,3.421771e-07,1.468631e-09,2.3565836e-08,1.1056064e-08,9.100905e-09,6.137101e-08
2008-02-02,294.8916,3.093142e-07,1.1760951e-09,1.889329e-08,1.2568191e-08,7.655182e-09,4.9203866e-08
2008-02-03,295.27643,2.7637319e-07,5.554634e-10,1.5323108e-08,1.0466322e-08,6.986937e-09,4.581281e-08
2008-02-04,294.22638,2.5958357e-07,1.4538031e-09,2.481464e-08,1.42771714e-08,3.835147e-09,2.8737182e-08
2008-02-05,293.97614,2.2006398e-07,9.034287e-10,1.3907398e-08,1.2301665e-08,3.1684582e-09,2.6887927e-08
2008-02-06,294.601,2.2966123e-07,5.1890703e-10,1.0844728e-08,1.2766526e-08,3.0885008e-09,2.8031646e-08
2008-02-07,295.53256,4.0712288e-07,5.7953065e-09,4.3989576e-08,1.9042139e-08,7.458085e-09,4.8553034e-08
2008-02-08,294.3073,2.0904636e-07,7.3591466e-10,1.7595339e-08,1.1552496e-08,3.4540193e-09,2.6780885e-08
2008-02-09,293.26544,1.43246e-07,5.67727e-10,9.1953645e-09,1.0732447e-08,1.6484053e-09,1.5015999e-08
2008-02-10,292.3877,1.2779441e-07,4.643695e-10,6.848514e-09,8.223868e-09,2.00465e-09,1.6563572e-08
2008-02-11,291.92657,1.5467387e-07,3.9189224e-10,7.015376e-09,7.07916e-09,3.4329855e-09,2.2267983e-08
2008-02-12,293.67783,1.9347328e-07,7.861726e-10,9.070236e-09,8.7108765e-09,4.483657e-09,2.59908e-08
2008-02-13,293.5152,2.9448327e-07,5.823957e-09,1.0161993e-08,1.2627545e-08,8.095739e-09,3.574487e-08
2008-02-14,293.28238,1.9124687e-07,6.370232e-10,8.813868e-09,8.553258e-09,3.0210976e-09,2.0229216e-08
2008-02-15,295.49704,3.3456837e-07,5.6790626e-09,2.2926793e-08,1.3763225e-08,6.7165122e-09,3.336224e-08
2008-02-16,295.9296,2.2509776e-07,5.13102e-10,8.908581e-09,1.1390712e-08,1.8736293e-09,1.6570771e-08
2008-02-17,295.86237,2.0016593e-07,1.1227881e-09,1.9862517e-08,9.946255e-09,1.985609e-09,1.6735854e-08
2008-02-18,296.36743,4.3856744e-07,9.484179e-09,3.1348137e-08,2.2630985e-08,7.0269466e-09,3.7221035e-08
2008-02-19,297.0799,3.5032178e-07,2.789649e-09,2.1376147e-08,1.7040168e-08,4.3187853e-09,2.5820116e-08
2008-02-20,296.38007,1.7406396e-07,8.439434e-10,1.16077485e-08,1.5131246e-08,9.379151e-10,9.095067e-09
2008-02-21,295.97925,2.2179617e-07,8.9445307e-10,1.3998818e-08,1.30801014e-08,2.0156132e-09,1.4102699e-08
2008-02-22,296.16116,3.2650928e-07,2.5692624e-09,2.3133195e-08,1.6621485e-08,3.1914285e-09,1.7788452e-08
2008-02-23,295.325,2.6397396e-07,7.348464e-10,1.3813164e-08,1.212731e-08,1.4374705e-09,1.13400995e-08
