date,t,co,no,no2,so2,c10h16,c5h8
2005-01-01,281.0625,1.2950113e-07,4.7680315e-12,4.0503378e-10,7.4119966e-10,2.0897945e-11,1.1096127e-12
2005-01-02,279.98645,1.3229536e-07,8.78891e-12,2.7779132e-10,5.3970417e-10,1.7059746e-11,1.1009629e-12
2005-01-03,282.68964,1.2892242e-07,1.3083157e-11,4.9536014e-10,7.427276e-10,2.4887526e-11,1.8168555e-12
2005-01-04,281.50424,1.3027615e-07,1.3553236e-11,3.2868036e-10,5.7418936e-10,1.9397468e-11,1.3263879e-12
2005-01-05,281.6411,1.3630779e-07,7.445003e-12,4.096933e-10,7.031693e-10,2.1291928e-11,1.3589045e-12
2005-01-06,282.86694,1.3210075e-07,1.0501023e-11,5.6833616e-10,8.6213325e-10,2.5457133e-11,1.7269433e-12
2005-01-07,283.37335,1.1295142e-07,6.839977e-12,6.723771e-10,7.114431e-10,4.129077e-11,3.88352e-12
2005-01-08,280.82397,1.3175588e-07,6.989898e-12,2.8526703e-10,4.8196935e-10,1.3991511e-11,9.05657e-13
2005-01-09,283.0846,1.238258e-07,9.31607e-12,6.098016e-10,7.210541e-10,2.1749201e-11,2.1556266e-12
2005-01-10,282.0937,1.3250062e-07,1.5136966e-11,4.3867315e-10,6.058052e-10,2.509739e-11,2.1377789e-12
2005-01-11,281.34106,1.3392552e-07,7.5139565e-12,4.5585094e-10,7.089696e-10,1.4019597e-11,1.0649716e-12
2005-01-12,280.32025,1.3667596e-07,9.38081e-12,2.5214142e-10,4.683145e-10,1.8429864e-11,1.1873227e-12
2005-01-13,280.40927,1.44435e-07,9.4107167e-11,1.717224e-09,1.8159665e-09,7.0659284e-11,7.6136476e-12
2005-01-14,282.58063,1.3758957e-07,2.2232376e-11,1.8521549e-09,1.4036688e-09,3.206212e-11,6.0679205e-12
2005-01-15,281.99744,1.3366157e-07,2.7984077e-11,1.8325832e-09,7.5484247e-10,1.3357573e-10,1.2268583e-11
2005-01-16,281.52206,1.439669e-07,1.996727e-11,1.0551285e-09,1.1540677e-09,6.4397127e-11,4.3423173e-12
2005-01-17,279.2107,1.19091e-07,2.4638278e-12,3.0872754e-10,5.331852e-10,1.8943156e-11,1.0594851e-12
2005-01-18,278.51083,1.3377212e-07,5.021209e-12,2.2869799e-10,4.8990867e-10,1.2689292e-11,8.12826e-13
2005-01-19,282.3211,1.1849849e-07,6.7933055e-12,3.941382e-10,6.0795524e-10,2.3648923e-11,1.3905978e-12
2005-01-20,282.78387,1.14312854e-07,5.124571e-12,3.6540682e-10,5.165184e-10,2.0941067e-11,1.7114257e-12
2005-01-21,280.57565,1.3080658e-07,9.345396e-12,8.8742164e-10,1.0803657e-09,5.0007498e-11,7.0968114e-12
2005-01-22,280.13818,1.4923673e-07,2.9360864e-10,4.163227e-09,2.6767648e-09,1.7142293e-10,2.2903995e-11
2005-01-23,276.5946,1.7255837e-07,1.2552306e-10,2.3529139e-09,1.8337425e-09,2.7554029e-11,7.295589e-12
2005-01-24,278.76004,1.4822123e-07,4.852404e-11,1.3175891e-09,1.5025987e-09,5.818058e-11,9.182208e-12
2005-01-25,279.52875,1.4775742e-07,1.6753562e-11,5.585603e-10,8.2327917e-10,3.2121746e-11,4.6637486e-12
2005-01-26,280.33386,1.3522143e-07,2.2322578e-11,6.884484e-10,8.9482005e-10,3.9438716e-11,6.082189e-12
2005-01-27,278.92725,1.3779591e-07,9.392262e-12,5.03043e-10,7.8459117e-10,2.7887168e-11,4.1993665e-12
2005-01-28,279.6639,1.3606956e-07,9.099018e-12,4.587548e-10,6.7891814e-10,3.034747e-11,4.0321388e-12
2005-01-29,280.3042,1.3177208e-07,2.2399617e-11,9.739622e-10,1.091707e-09,7.429919e-11,1.1476462e-11
2005-01-30,280.0109,1.3313749e-07,1.263094e-11,8.6533747e-10,1.0682548e-09,6.829028e-11,9.240965e-12
2005-01-31,280.404,1.2766624e-07,1.4134072e-11,5.987639e-10,8.6840535e-10,4.3705643e-11,7.820367e-12
2005-02-01,279.63437,1.2748507e-07,1.7576763e-11,6.3645844e-10,8.284789e-10,4.584149e-11,8.8675525e-12
2005-02-02,280.11096,1.277783e-07,3.3578366e-11,8.177019e-10,1.1108348e-09,6.029829e-11,1.06747736e-11
2005-02-03,280.45667,1.2846382e-07,2.7409398e-11,1.5927198e-09,1.9156416e-09,8.0260784e-11,1.1914207e-11
2005-02-04,280.92993,1.2436016e-07,1.0553436e-11,7.2846806e-10,9.757286e-10,2.7259453e-11,5.445978e-12
2005-02-05,278.47253,1.4002671e-07,1.689459e-11,9.0392377e-10,1.3083463e-09,3.73385e-11,7.61813e-12
2005-02-06,278.9511,1.3712862e-07,1.5385254e-11,7.7337514e-10,1.1071959e-09,3.9746595e-11,9.28937e-12
2005-02-07,278.5591,1.5207107e-07,7.161853e-11,2.9532514e-09,2.6149536e-09,6.156915e-11,1.5189537e-11
2005-02-08,280.45114,1.3984645e-07,3.400064e-11,7.7740503e-10,1.1027745e-09,5.534318e-11,1.0039596e-11
2005-02-09,281.9672,1.3638369e-07,5.114915e-12,4.9410986e-10,7.3272377e-10,2.5840668e-11,4.523114e-12
2005-02-10,280.32556,1.3619766e-07,3.5477978e-11,9.477867e-10,1.0378465e-09,6.8262604e-11,1.9809498e-11
2005-02-11,281.42834,1.4127963e-07,5.166893e-11,4.7309703e-09,3.4683971e-09,1.1310221e-10,3.0574845e-11
2005-02-12,281.27423,1.288991e-07,7.941072e-12,2.940748e-10,4.339428e-10,1.9648332e-11,3.8207167e-12
2005-02-13,278.781,1.3611317e-07,9.180215e-12,2.1421051e-10,3.7354825e-10,1.587536e-11,3.3078295e-12
2005-02-14,279.26767,1.4418472e-07,1.4085764e-11,7.1430595e-10,7.9308116e-10,6.412367e-11,1.9343447e-11
2005-02-15,279.52386,1.6893341e-07,3.2662667e-10,6.9846555e-09,2.8272011e-09,2.6589847e-10,8.632852e-11
