date,t,co
2008-01-01,273.14804,2.1583556e-07
2008-01-02,271.8843,2.7668693e-07
2008-01-03,270.5822,2.1894672e-07
2008-01-04,269.60834,2.4254174e-07
2008-01-05,271.901,2.9787932e-07
2008-01-06,274.76318,2.4379898e-07
2008-01-07,275.70044,2.1217264e-07
2008-01-08,277.2233,1.814181e-07
2008-01-09,275.98657,2.3159387e-07
2008-01-10,277.87808,2.3016014e-07
2008-01-11,279.88593,2.3409197e-07
2008-01-12,276.90643,2.687663e-07
2008-01-13,276.22833,2.6958065e-07
2008-01-14,275.8727,3.1689214e-07
2008-01-15,277.88885,2.3070893e-07
2008-01-16,279.03473,2.089605e-07
2008-01-17,278.16672,2.648103e-07
2008-01-18,279.7664,1.9100906e-07
2008-01-19,283.7924,1.565009e-07
2008-01-20,282.80133,1.8834187e-07
2008-01-21,283.1315,1.3781568e-07
2008-01-22,277.41013,1.6036925e-07
2008-01-23,276.01962,1.9798017e-07
2008-01-24,279.39755,2.185167e-07
2008-01-25,277.83722,1.7929028e-07
2008-01-26,280.1684,1.9402003e-07
2008-01-27,279.7508,1.7676763e-07
2008-01-28,279.19128,2.2653904e-07
2008-01-29,278.9603,2.6711422e-07
2008-01-30,276.96793,2.9256705e-07
2008-01-31,275.20163,1.9510144e-07
2008-02-01,277.4923,1.9002252e-07
2008-02-02,275.40076,1.78424e-07
2008-02-03,273.96286,2.107383e-07
2008-02-04,275.7444,2.7343253e-07
2008-02-05,278.14957,2.1332322e-07
2008-02-06,280.41214,1.6841813e-07
2008-02-07,276.982,1.6921544e-07
2008-02-08,276.82748,2.5790808e-07
2008-02-09,277.8398,3.611847e-07
2008-02-10,278.17148,4.963863e-07
2008-02-11,277.64755,4.6639136e-07
2008-02-12,276.2997,3.5550283e-07
2008-02-13,276.40533,3.784067e-07
2008-02-14,274.24945,2.5778021e-07
2008-02-15,272.3333,2.0385725e-07
2008-02-16,271.04013,2.1221663e-07
2008-02-17,271.94568,2.2977599e-07
2008-02-18,274.68488,2.23814e-07
2008-02-19,276.57803,2.0319573e-07
2008-02-20,276.77588,2.5987322e-07
2008-02-21,278.92206,2.7174735e-07
2008-02-22,281.6823,1.9606378e-07
2008-02-23,281.43494,1.64738e-07
2008-02-24,282.82434,2.1587887e-07
2008-02-25,280.74677,2.2261405e-07
2008-02-26,283.17334,2.0517908e-07
2008-02-27,280.7317,1.7166943e-07
2008-02-28,278.72513,1.8386541e-07
2008-02-29,279.63544,2.2905057e-07
2008-03-01,280.80603,1.5766534e-07
2008-03-02,279.68127,1.5358307e-07
2008-03-03,279.22092,1.6667323e-07
2008-03-04,275.7422,1.7129523e-07
2008-03-05,273.2703,1.7038559e-07
2008-03-06,275.81686,1.8980262e-07
2008-03-07,279.24548,2.3597346e-07
2008-03-08,279.12555,3.548788e-07
2008-03-09,280.05487,2.1396842e-07
2008-03-10,281.6993,2.0289862e-07
2008-03-11,281.00574,1.9268415e-07
2008-03-12,281.02612,1.537976e-07
2008-03-13,279.2659,1.6142857e-07
2008-03-14,278.17902,1.8778172e-07
2008-03-15,278.83145,2.0010009e-07
2008-03-16,279.60406,2.6717373e-07
2008-03-17,277.04715,2.1435113e-07
2008-03-18,274.0232,1.6345054e-07
2008-03-19,273.78082,1.8536053e-07
2008-03-20,273.896,1.7694151e-07
2008-03-21,276.11035,1.7992458e-07
2008-03-22,275.2378,1.7884084e-07
2008-03-23,272.66785,1.9308771e-07
2008-03-24,272.9414,2.1890301e-07
2008-03-25,272.98303,1.8706919e-07
2008-03-26,274.04642,1.879836e-07
2008-03-27,275.34552,2.7880606e-07
2008-03-28,278.70337,2.402849e-07
2008-03-29,280.81268,1.7703022e-07
2008-03-30,282.15848,2.0744594e-07
2008-03-31,283.94217,2.2043457e-07
2008-04-01,283.39728,2.4498385e-07
2008-04-02,280.3897,1.9354151e-07
2008-04-03,278.89972,2.00197e-07
2008-04-04,279.30167,2.1730703e-07
2008-04-05,279.42328,2.3650684e-07
2008-04-06,277.4336,1.9260025e-07
2008-04-07,275.76385,2.5556417e-07
2008-04-08,277.14682,2.0987272e-07
2008-04-09,277.18542,2.5708226e-07
2008-04-10,276.6798,2.1153593e-07
2008-04-11,280.36334,2.4231662e-07
2008-04-12,280.9164,2.3047639e-07
2008-04-13,282.20685,2.0155649e-07
2008-04-14,282.2811,2.2066983e-07
2008-04-15,279.26077,2.1882437e-07
2008-04-16,278.43796,2.0996157e-07
2008-04-17,278.0143,2.0593583e-07
2008-04-18,278.98117,2.4455485e-07
2008-04-19,278.8005,2.0511108e-07
2008-04-20,280.31876,2.1222885e-07
2008-04-21,282.55948,2.1571591e-07
2008-04-22,283.2955,1.7407066e-07
2008-04-23,283.4084,2.0755647e-07
2008-04-24,284.8761,3.3498736e-07
2008-04-25,283.11963,1.9863575e-07
2008-04-26,284.25598,1.9974837e-07
2008-04-27,285.61063,2.4563573e-07
2008-04-28,288.16898,2.1299249e-07
2008-04-29,284.99084,2.0809526e-07
2008-04-30,284.6226,2.3023576e-07
2008-05-01,284.81302,1.8341568e-07
2008-05-02,284.5759,1.9875328e-07
2008-05-03,284.3078,1.8704371e-07
2008-05-04,284.88074,1.9526038e-07
