date,t,co,no,no2,so2,c10h16,c5h8
2011-01-01,270.74518,5.452154e-07,1.3436386e-08,4.2013234e-08,4.9971973e-08,2.2069452e-11,2.2535664e-11
2011-01-02,272.74997,4.1919165e-07,4.9281006e-09,3.336015e-08,3.9295614e-08,1.3205503e-11,1.6186188e-11
2011-01-03,271.83395,7.804522e-07,3.67731e-08,4.090431e-08,6.752536e-08,4.329578e-11,3.401508e-11
2011-01-04,272.85587,2.1998726e-06,1.8066618e-07,4.389456e-08,1.11074236e-07,1.3604778e-10,1.0026933e-10
2011-01-05,273.01956,1.5567396e-06,9.01949e-08,4.59301e-08,5.6935498e-08,6.7653896e-11,5.500181e-11
2011-01-06,270.11932,6.389936e-07,2.2657396e-08,5.4075294e-08,5.797684e-08,2.5976075e-11,2.2656594e-11
2011-01-07,271.31332,1.410431e-06,1.1070698e-07,5.2655288e-08,8.89802e-08,8.702515e-11,7.834061e-11
2011-01-08,273.08902,1.475145e-06,1.0437602e-07,4.7237613e-08,7.171057e-08,8.6938665e-11,7.1474035e-11
2011-01-09,271.28467,6.236598e-07,1.3490171e-08,4.3218563e-08,4.9934084e-08,1.8070592e-11,1.4124666e-11
2011-01-10,269.73624,1.028095e-06,6.8978025e-08,4.4655103e-08,8.09266e-08,5.141378e-11,3.9280672e-11
2011-01-11,271.44446,8.132936e-07,2.8715158e-08,4.138559e-08,5.552374e-08,3.0387824e-11,2.3292233e-11
2011-01-12,271.13654,9.858139e-07,5.663577e-08,4.2303206e-08,6.9237906e-08,4.0173066e-11,3.903805e-11
2011-01-13,273.60553,1.0872302e-06,5.889991e-08,5.465801e-08,7.5059695e-08,4.019128e-11,3.1685314e-11
2011-01-14,275.31757,8.6764203e-07,3.0434283e-08,7.458313e-08,5.1792693e-08,2.2477312e-11,2.0019259e-11
2011-01-15,269.7707,4.903469e-07,9.142506e-09,3.4470457e-08,4.4992106e-08,1.0559185e-11,1.12948964e-11
2011-01-16,267.99274,7.054314e-07,3.1855997e-08,4.6171728e-08,6.43352e-08,2.48344e-11,2.0764342e-11
2011-01-17,270.69757,8.7293637e-07,4.29862e-08,5.5781605e-08,6.215331e-08,3.3491668e-11,3.037291e-11
2011-01-18,271.22668,7.436124e-07,2.548261e-08,4.057109e-08,6.100241e-08,2.6846508e-11,2.249534e-11
2011-01-19,272.7404,8.2172005e-07,2.3573907e-08,4.9072845e-08,5.6716363e-08,2.6853046e-11,2.5551759e-11
2011-01-20,271.61575,9.372309e-07,2.6048573e-08,4.2104976e-08,6.329301e-08,2.975471e-11,2.5932432e-11
2011-01-21,271.76285,2.170828e-06,1.5227522e-07,5.2800324e-08,1.0690627e-07,1.2458938e-10,8.625874e-11
2011-01-22,273.70917,2.5246886e-06,1.5644491e-07,7.3850025e-08,8.99298e-08,1.2872474e-10,8.974151e-11
2011-01-23,273.38013,1.6821416e-06,6.018869e-08,8.196787e-08,6.6576945e-08,6.1678024e-11,5.12271e-11
2011-01-24,271.296,9.3903645e-07,5.428156e-08,5.658151e-08,7.4190986e-08,5.994006e-11,4.9975152e-11
2011-01-25,273.21442,8.972693e-07,4.2566196e-08,4.776471e-08,6.8393675e-08,5.6463213e-11,4.656922e-11
2011-01-26,273.99875,8.351766e-07,2.6333076e-08,5.503089e-08,5.2345978e-08,3.8969997e-11,3.613912e-11
2011-01-27,273.9064,3.8392477e-07,2.4777576e-09,2.9427461e-08,3.377659e-08,1.2423023e-11,1.7631757e-11
2011-01-28,273.35025,5.369294e-07,1.3600003e-08,3.804588e-08,5.4928172e-08,3.0643793e-11,2.732067e-11
2011-01-29,270.95605,1.015522e-06,3.0465124e-08,5.167476e-08,6.95271e-08,5.2193253e-11,4.4609837e-11
2011-01-30,271.03156,1.2283617e-06,7.8689375e-08,4.9584187e-08,8.643027e-08,1.1808551e-10,8.883664e-11
2011-01-31,273.56647,2.0612783e-06,1.5689469e-07,5.0491764e-08,1.09720126e-07,2.1722767e-10,1.5525896e-10
2011-02-01,275.41223,1.7833155e-06,1.14353156e-07,5.996406e-08,8.409646e-08,1.8625099e-10,1.3700308e-10
2011-02-02,276.70145,1.3986684e-06,7.182745e-08,6.2654735e-08,8.679028e-08,1.7225231e-10,1.6568621e-10
2011-02-03,278.36432,1.8467811e-06,1.099605e-07,5.952602e-08,1.0102481e-07,2.5406036e-10,2.0497454e-10
2011-02-04,279.28928,2.4055742e-06,1.5542142e-07,6.468644e-08,1.03740106e-07,2.716809e-10,1.9126553e-10
2011-02-05,280.2691,1.9346191e-06,6.7816536e-08,7.616608e-08,8.3766764e-08,1.043629e-10,9.517308e-11
2011-02-06,281.0484,1.8211801e-06,3.920478e-08,4.905878e-08,7.1653545e-08,1.0992894e-10,1.0544131e-10
2011-02-07,282.02228,2.0483126e-06,6.5868925e-08,5.9723625e-08,1.09416746e-07,1.3024737e-10,1.0317396e-10
2011-02-08,280.3115,1.1798513e-06,8.359852e-09,4.495589e-08,5.200227e-08,3.5225815e-11,3.599218e-11
2011-02-09,275.41965,3.417549e-07,7.179998e-10,2.1494339e-08,2.6131236e-08,1.181263e-11,1.8508441e-11
2011-02-10,272.4099,4.3261727e-07,8.223826e-09,3.1068044e-08,4.6230504e-08,3.2507916e-11,2.94313e-11
2011-02-11,273.48785,7.101783e-07,1.5438783e-08,3.7079523e-08,5.671277e-08,5.0871488e-11,4.5886083e-11
2011-02-12,272.42902,4.3961165e-07,4.198984e-09,3.0185294e-08,4.0939504e-08,2.3889566e-11,2.9262984e-11
2011-02-13,272.88055,6.13e-07,2.1872982e-08,4.085946e-08,6.611444e-08,5.771779e-11,4.288128e-11
2011-02-14,271.0273,7.434998e-07,2.5996846e-08,3.957915e-08,7.124226e-08,7.358415e-11,5.7227955e-11
2011-02-15,273.39636,6.173748e-07,1.36048905e-08,4.3028937e-08,5.400759e-08,5.2750665e-11,5.4340674e-11
2011-02-16,274.80444,1.4465572e-06,1.0356332e-07,4.5888637e-08,1.2501008e-07,2.2893805e-10,1.7680007e-10
2011-02-17,274.53027,1.5774692e-06,1.1546469e-07,4.3011603e-08,1.13035796e-07,2.665903e-10,1.9135359e-10
2011-02-18,274.98242,9.918097e-07,3.6865423e-08,4.9526584e-08,6.921282e-08,1.2480075e-10,1.07502424e-10
2011-02-19,276.0055,8.927324e-07,4.2057334e-08,4.3449397e-08,8.6822794e-08,1.5516904e-10,1.2735932e-10
2011-02-20,276.42194,1.0481825e-06,5.8487178e-08,4.4208075e-08,8.98592e-08,1.9628249e-10,1.6444732e-10
2011-02-21,277.23743,1.3061874e-06,6.7067525e-08,6.126244e-08,8.0739554e-08,2.1319396e-10,1.793501e-10
2011-02-22,279.67993,1.1372731e-06,4.9101544e-08,5.563772e-08,8.841589e-08,2.1254713e-10,2.195409e-10
2011-02-23,281.56412,1.4137809e-06,6.288724e-08,6.281665e-08,9.208973e-08,2.5289407e-10,2.501349e-10
2011-02-24,284.11084,1.3065159e-06,4.31801e-08,6.829321e-08,7.3463774e-08,2.4724933e-10,2.5412167e-10
2011-02-25,279.2412,4.0124792e-07,2.5238664e-09,2.379672e-08,2.7749063e-08,3.1913156e-11,4.824071e-11
2011-02-26,280.80072,8.5900393e-07,4.0039907e-08,4.4750607e-08,6.717731e-08,2.0601912e-10,2.3938318e-10
2011-02-27,277.24844,6.4435494e-07,8.391722e-09,3.7813173e-08,3.512415e-08,1.064302e-10,1.2756401e-10
2011-02-28,275.59183,4.925196e-07,2.0368305e-09,3.0124994e-08,3.669221e-08,4.8355223e-11,7.522708e-11
2011-03-01,274.20215,6.3052613e-07,2.2719199e-08,3.2130647e-08,6.0279845e-08,1.8045689e-10,1.5298943e-10
2011-03-02,276.08582,1.1301814e-06,5.672604e-08,3.7768945e-08,9.0282185e-08,3.6816294e-10,3.4699782e-10
2011-03-03,277.14578,1.4702651e-06,7.521649e-08,5.435074e-08,7.7576125e-08,4.220452e-10,3.9315723e-10
2011-03-04,276.91376,7.876813e-07,1.5345375e-08,5.39842e-08,5.7280637e-08,1.5948848e-10,2.0157011e-10
2011-03-05,280.26694,1.510309e-06,8.174497e-08,4.5292058e-08,1.03264135e-07,5.3186744e-10,5.095384e-10
2011-03-06,279.06372,1.3121245e-06,3.652575e-08,5.1439446e-08,7.077794e-08,3.285394e-10,3.62022e-10
2011-03-07,279.401,1.0587306e-06,5.7199088e-08,3.4868727e-08,7.9746215e-08,4.767302e-10,4.7638393e-10
2011-03-08,281.60623,1.5441594e-06,7.71095e-08,6.066713e-08,9.5200306e-08,6.2653993e-10,6.4049327e-10
2011-03-09,279.937,1.4851921e-06,9.494713e-08,4.0639314e-08,1.0018183e-07,6.590345e-10,5.5848626e-10
2011-03-10,281.10815,1.9914687e-06,1.5580675e-07,4.354193e-08,1.0874036e-07,9.328767e-10,7.989021e-10
2011-03-11,282.74988,1.321732e-06,7.300499e-08,8.132474e-08,8.039039e-08,6.50455e-10,6.657661e-10
2011-03-12,284.9826,1.5445705e-06,7.5476024e-08,5.3594356e-08,8.535804e-08,7.942802e-10,8.599184e-10
2011-03-13,286.6831,1.2726886e-06,5.136231e-08,4.9621107e-08,7.864064e-08,5.453053e-10,5.38467e-10
2011-03-14,282.1408,7.133822e-07,2.8429206e-08,2.5506358e-08,3.816919e-08,2.2992853e-10,2.2675624e-10
2011-03-15,279.43155,4.881917e-07,9.7308614e-09,3.3323268e-08,4.6436014e-08,1.682472e-10,1.806614e-10
2011-03-16,280.87628,9.2722036e-07,5.237909e-08,3.687189e-08,7.9205975e-08,6.017368e-10,5.89438e-10
2011-03-17,283.17554,9.668048e-07,3.920943e-08,4.8759063e-08,5.672058e-08,4.1178905e-10,4.543339e-10
2011-03-18,284.9403,6.252541e-07,6.513066e-09,4.1919247e-08,5.277567e-08,1.9966591e-10,3.8360073e-10
2011-03-19,283.61288,1.3788783e-06,6.575008e-08,5.4934688e-08,8.5042004e-08,7.7393314e-10,1.1688591e-09
2011-03-20,281.22998,4.9760047e-07,5.9075576e-09,2.8087825e-08,3.0745998e-08,1.2752818e-10,2.8509806e-10
2011-03-21,278.19226,4.798295e-07,9.258306e-09,3.2412803e-08,4.3604143e-08,2.627846e-10,4.6555412e-10
2011-03-22,279.6847,9.475931e-07,5.690155e-08,3.150802e-08,7.373845e-08,8.38553e-10,1.1587072e-09
2011-03-23,281.1801,1.2453644e-06,7.027872e-08,4.3222915e-08,7.665845e-08,9.960778e-10,1.4444794e-09
2011-03-24,280.89252,6.956578e-07,2.0414044e-08,3.6431224e-08,5.2106824e-08,5.064186e-10,8.05165e-10
2011-03-25,280.70984,8.9837147e-07,4.9582507e-08,3.2939475e-08,7.136763e-08,7.8964235e-10,1.3996732e-09
2011-03-26,282.54898,1.0204935e-06,6.109232e-08,4.379666e-08,7.390792e-08,1.0668731e-09,1.9621351e-09
2011-03-27,284.21945,1.4719054e-06,1.1107144e-07,3.186901e-08,9.580476e-08,1.914918e-09,2.9594593e-09
2011-03-28,284.33655,1.4453578e-06,1.0268817e-07,4.9300365e-08,7.626401e-08,1.794555e-09,2.6932223e-09
2011-03-29,281.86084,7.3189847e-07,2.8558567e-08,3.62375e-08,5.9601604e-08,6.632949e-10,1.3350796e-09
2011-03-30,283.57776,7.646355e-07,2.4210097e-08,4.3054055e-08,6.319195e-08,6.1469846e-10,1.2842393e-09
2011-03-31,286.2846,8.751527e-07,2.7515906e-08,6.653201e-08,6.827259e-08,6.3311084e-10,1.4126519e-09
2011-04-01,288.60657,7.233224e-07,1.4843843e-08,5.043826e-08,5.1236306e-08,3.4494144e-10,9.500746e-10
2011-04-02,280.35773,2.8821506e-07,7.04982e-10,1.5639658e-08,1.9994296e-08,8.3031304e-11,3.1491323e-10
2011-04-03,280.6968,6.008956e-07,2.3124608e-08,3.565097e-08,5.7909954e-08,6.0785443e-10,9.988836e-10
2011-04-04,282.06354,7.131645e-07,2.559033e-08,4.7306486e-08,5.3655405e-08,7.459828e-10,1.5177954e-09
2011-04-05,283.5901,5.5539175e-07,9.845813e-09,4.1870187e-08,3.937886e-08,2.4306776e-10,7.219699e-10
2011-04-06,283.1881,9.326707e-07,3.8863824e-08,3.8627604e-08,6.88339e-08,1.0399842e-09,2.4440254e-09
2011-04-07,284.05798,1.0725223e-06,4.277999e-08,4.372965e-08,6.7202265e-08,1.3650362e-09,2.229482e-09
2011-04-08,287.0442,1.8727073e-06,1.18101404e-07,3.7019827e-08,9.178579e-08,2.8535732e-09,5.134881e-09
2011-04-09,288.87,1.4644195e-06,5.708336e-08,6.8040514e-08,7.042616e-08,2.0403448e-09,3.748907e-09
2011-04-10,289.26843,9.069963e-07,2.076925e-08,3.6116077e-08,3.987818e-08,8.69605e-10,1.8246704e-09
2011-04-11,285.00674,6.010175e-07,2.2903631e-08,3.157911e-08,5.3022656e-08,7.700422e-10,1.7525267e-09
2011-04-12,288.09583,8.9133596e-07,5.0808698e-08,4.8996302e-08,7.001403e-08,1.4518656e-09,2.9863696e-09
2011-04-13,289.53412,1.4291946e-06,9.7124364e-08,4.8232987e-08,8.471288e-08,2.7371871e-09,4.9853672e-09
2011-04-14,293.24844,1.5596621e-06,8.422116e-08,4.367533e-08,7.601276e-08,2.4677163e-09,4.3404293e-09
2011-04-15,293.64337,1.1234825e-06,3.9710486e-08,3.2704254e-08,4.5610392e-08,1.2693318e-09,2.9616896e-09
2011-04-16,286.05145,4.6691144e-07,7.0831154e-09,3.1886106e-08,4.044528e-08,4.343147e-10,1.1655489e-09
2011-04-17,289.13965,6.892913e-07,1.1054677e-08,4.3823167e-08,5.1639393e-08,5.2896465e-10,1.5464626e-09
2011-04-18,286.72757,4.704213e-07,4.349896e-09,3.276676e-08,4.038162e-08,3.7075187e-10,1.0725161e-09
2011-04-19,286.77383,7.485892e-07,2.846525e-08,3.536267e-08,5.6138713e-08,1.1501455e-09,3.176534e-09
2011-04-20,290.84012,7.0623e-07,9.686893e-09,4.5770996e-08,5.4847167e-08,6.5251665e-10,1.9864184e-09
2011-04-21,290.02762,7.050984e-07,5.0942393e-09,4.293429e-08,4.5826354e-08,6.0761535e-10,2.7713516e-09
2011-04-22,287.51355,7.606128e-07,1.824601e-08,3.7012082e-08,5.7421815e-08,8.992611e-10,2.2830076e-09
2011-04-23,289.955,7.902363e-07,1.743787e-08,5.0712607e-08,5.023574e-08,8.9997615e-10,2.9134983e-09
2011-04-24,289.36014,8.787076e-07,4.116443e-08,3.6293795e-08,6.328296e-08,1.5823266e-09,4.5421045e-09
2011-04-25,296.4353,5.396754e-07,5.6311364e-09,2.8870309e-08,2.8827683e-08,2.5331667e-10,1.1919459e-09
2011-04-26,295.99814,8.532204e-07,1.00052e-08,4.7342567e-08,5.923073e-08,7.451469e-10,2.476373e-09
2011-04-27,291.05182,7.97469e-07,1.508704e-08,4.5832437e-08,5.5207376e-08,8.415833e-10,3.054753e-09
2011-04-28,291.9995,5.7898814e-07,7.055104e-09,4.71074e-08,4.5042256e-08,3.4338823e-10,1.8728037e-09
2011-04-29,299.9692,4.9499096e-07,2.2041704e-09,1.967494e-08,2.6225324e-08,1.2018594e-10,9.10797e-10
2011-04-30,297.49765,5.7269085e-07,2.3332822e-09,3.656369e-08,4.3046235e-08,4.1472917e-10,1.8292354e-09
2011-05-01,293.6926,5.6684917e-07,7.572238e-09,3.9601634e-08,4.7555172e-08,5.7644745e-10,2.6293492e-09
2011-05-02,291.38147,5.3999304e-07,6.6565358e-09,3.5789128e-08,4.167015e-08,4.190461e-10,2.1315874e-09
2011-05-03,290.3498,6.547181e-07,2.6464042e-08,3.8621003e-08,6.068238e-08,1.2805621e-09,4.3100195e-09
2011-05-04,289.99045,6.4320227e-07,2.1579066e-08,4.2364423e-08,5.30421e-08,1.0582341e-09,3.8398116e-09
2011-05-05,292.602,5.3982546e-07,4.4362314e-09,3.482426e-08,4.2057653e-08,4.4140724e-10,2.1487785e-09
2011-05-06,296.42184,9.5076604e-07,4.081175e-08,4.7090676e-08,7.113589e-08,2.0363247e-09,7.064235e-09
2011-05-07,299.0182,8.3013475e-07,1.9538827e-08,5.1134307e-08,5.993192e-08,1.3072425e-09,5.138375e-09
2011-05-08,300.48145,6.5838833e-07,9.014018e-09,4.1324114e-08,4.9883738e-08,6.325811e-10,2.7365956e-09
2011-05-09,300.2159,4.491589e-07,1.6540508e-08,2.9105015e-08,4.8641354e-08,9.513305e-10,3.2044136e-09
2011-05-10,298.69797,4.3847356e-07,7.227044e-09,3.0704616e-08,3.0666712e-08,6.3142913e-10,3.0586327e-09
2011-05-11,290.33676,3.9739075e-07,9.961153e-10,2.6560352e-08,2.8735045e-08,2.569148e-10,1.4803399e-09
2011-05-12,293.81537,4.8293253e-07,1.4594033e-09,3.0888582e-08,3.889576e-08,3.5289935e-10,1.9146855e-09
2011-05-13,294.56363,7.3635675e-07,2.965258e-08,4.1914205e-08,6.431837e-08,1.6915273e-09,6.3941576e-09
2011-05-14,294.6351,7.659039e-07,1.7556752e-08,5.1500223e-08,5.96448e-08,1.2611754e-09,5.54664e-09
2011-05-15,295.9874,1.2561743e-06,9.445749e-08,3.120644e-08,8.9294005e-08,4.1057096e-09,1.483766e-08
2011-05-16,295.96594,1.1833448e-06,6.863344e-08,4.4276433e-08,7.755994e-08,3.3268028e-09,1.15782965e-08
2011-05-17,298.30124,6.1880974e-07,9.281614e-09,3.584658e-08,3.7683478e-08,5.9835487e-10,2.9521765e-09
2011-05-18,300.36987,4.4286654e-07,1.1954581e-09,3.2062097e-08,3.631934e-08,2.561595e-10,1.9384079e-09
2011-05-19,301.6906,9.2280993e-07,4.903374e-08,4.233651e-08,7.199905e-08,2.4328293e-09,1.0267717e-08
2011-05-20,297.9821,5.972742e-07,1.5864567e-08,2.9186682e-08,3.2618278e-08,7.884406e-10,3.335446e-09
2011-05-21,290.57855,2.7437716e-07,6.780055e-10,1.4649911e-08,1.8875955e-08,1.10198246e-10,1.0166411e-09
2011-05-22,286.62796,2.6136775e-07,5.956141e-10,1.898537e-08,2.0218954e-08,1.5807072e-10,1.7203383e-09
2011-05-23,287.37384,3.6589338e-07,8.6998714e-10,3.1984616e-08,3.246445e-08,3.651797e-10,2.2506932e-09
2011-05-24,291.2544,5.9093446e-07,1.049767e-08,3.9491166e-08,4.498755e-08,8.0278884e-10,3.8593932e-09
2011-05-25,290.75378,5.9481715e-07,7.3584103e-09,3.8549622e-08,4.2718508e-08,6.277265e-10,3.5374086e-09
2011-05-26,290.67383,5.1423604e-07,1.3846812e-08,3.604761e-08,4.4636963e-08,9.1436997e-10,3.5939105e-09
2011-05-27,292.37198,5.2526445e-07,8.005717e-09,4.2164782e-08,4.3080544e-08,7.53521e-10,3.3087089e-09
2011-05-28,293.2202,5.563884e-07,1.5261161e-08,3.9235225e-08,4.977028e-08,9.092328e-10,3.4082928e-09
2011-05-29,295.576,6.008302e-07,1.2093572e-08,4.556541e-08,4.4621416e-08,9.477019e-10,4.8301483e-09
2011-05-30,297.44226,1.2093401e-06,8.1069054e-08,4.3264134e-08,7.8557925e-08,3.543037e-09,1.2318121e-08
2011-05-31,294.26822,5.9877e-07,8.290328e-09,5.218027e-08,4.004468e-08,8.9871255e-10,5.084695e-09
2011-06-01,297.05698,8.6719393e-07,3.172647e-08,4.518016e-08,5.7608197e-08,1.6646174e-09,6.794897e-09
2011-06-02,297.72345,9.516793e-07,2.2359638e-08,5.579753e-08,5.4821392e-08,1.2017799e-09,5.5796288e-09
2011-06-03,299.52222,8.10695e-07,1.7607379e-08,5.5888734e-08,5.03891e-08,1.1960571e-09,6.178096e-09
