date,t,co,no,no2,so2,c10h16,c5h8
2011-01-01,275.08624,1.4364076e-07,1.1306222e-10,4.844473e-09,8.9113017e-10,2.3053837e-11,1.5797277e-12
2011-01-02,271.42758,1.7093873e-07,5.6929444e-10,9.186291e-09,1.4991588e-09,5.7642002e-11,3.1645678e-12
2011-01-03,270.7724,1.8862235e-07,6.5820877e-10,1.3780037e-08,6.567714e-10,7.450513e-11,3.2440502e-12
2011-01-04,272.70825,2.0204986e-07,3.0153696e-10,1.1674649e-08,1.0930816e-09,5.4503662e-11,6.5580328e-12
2011-01-05,268.43475,2.3525183e-07,8.9465446e-10,1.4615326e-08,1.681402e-09,6.2027675e-11,8.3323305e-12
2011-01-06,272.5142,2.1760123e-07,3.242409e-10,1.1433414e-08,1.4838177e-09,4.6967236e-11,7.0280006e-12
2011-01-07,275.68384,2.0464033e-07,4.6791937e-10,1.065391e-08,1.1415175e-09,5.650734e-11,7.1846626e-12
2011-01-08,278.43185,2.2798635e-07,6.6851674e-10,1.3575872e-08,1.5643311e-09,7.8164766e-11,5.8353075e-12
2011-01-09,277.9967,1.9044832e-07,1.9637503e-10,8.233818e-09,1.3151389e-09,3.5300946e-11,4.0216164e-12
2011-01-10,273.919,2.3836151e-07,1.9616004e-09,1.5365055e-08,1.9761948e-09,1.0280017e-10,8.439422e-12
2011-01-11,272.5067,3.0032623e-07,1.445339e-09,2.2131577e-08,2.4667752e-09,1.6346426e-10,1.4549872e-11
2011-01-12,276.16907,1.952357e-07,1.1569224e-10,7.636035e-09,1.2334598e-09,2.7633583e-11,4.9388505e-12
2011-01-13,275.83707,2.7443022e-07,3.3830456e-09,1.46291e-08,9.249722e-10,1.6735517e-10,1.3344533e-11
2011-01-14,281.51346,1.7870696e-07,3.7639733e-10,1.043351e-08,9.915713e-10,5.627673e-11,6.838049e-12
2011-01-15,280.83765,1.6285733e-07,1.8404153e-10,7.2404194e-09,1.4188771e-09,1.9145316e-11,2.554938e-12
