date,t,co
2010-01-01,294.70355,1.2326298e-07
2010-01-02,295.50812,1.9623505e-07
2010-01-03,296.37027,3.3235244e-07
2010-01-04,296.69754,2.8558705e-07
2010-01-05,297.86478,3.420114e-07
2010-01-06,296.76562,2.2270055e-07
2010-01-07,297.13458,3.0558056e-07
2010-01-08,295.9639,2.552794e-07
2010-01-09,297.0326,3.6610868e-07
2010-01-10,298.1126,3.1345525e-07
2010-01-11,298.2188,2.9231228e-07
2010-01-12,297.8866,5.450593e-07
2010-01-13,298.6821,3.913808e-07
2010-01-14,297.09113,3.4293504e-07
2010-01-15,294.24066,2.1430795e-07
2010-01-16,295.19247,1.4597292e-07
2010-01-17,296.68427,3.4000809e-07
2010-01-18,297.23386,2.9892612e-07
2010-01-19,298.24115,2.9698626e-07
2010-01-20,298.11145,2.3990634e-07
2010-01-21,297.0165,2.6233823e-07
2010-01-22,295.20734,2.851591e-07
2010-01-23,295.31784,2.9185898e-07
2010-01-24,295.4607,3.344823e-07
2010-01-25,295.36005,3.664695e-07
2010-01-26,295.19092,2.8611697e-07
2010-01-27,295.67752,2.9472994e-07
2010-01-28,296.23645,3.4418093e-07
2010-01-29,295.55392,2.9330948e-07
2010-01-30,295.5533,3.806733e-07
2010-01-31,297.1272,3.8216118e-07
2010-02-01,297.7659,3.6519754e-07
2010-02-02,298.42984,2.9694263e-07
2010-02-03,298.855,3.649734e-07
2010-02-04,299.28052,3.366424e-07
2010-02-05,298.61346,3.8459387e-07
2010-02-06,298.81543,3.164352e-07
2010-02-07,298.93384,3.542758e-07
2010-02-08,298.97638,3.012935e-07
2010-02-09,298.93732,4.712577e-07
2010-02-10,296.99756,2.4538278e-07
2010-02-11,297.38385,2.6469286e-07
2010-02-12,297.53406,5.12683e-07
2010-02-13,297.20322,2.884854e-07
2010-02-14,298.4206,3.8708887e-07
2010-02-15,299.44824,6.0480806e-07
2010-02-16,299.66144,5.956399e-07
2010-02-17,298.21863,4.7293292e-07
2010-02-18,295.03223,2.460559e-07
2010-02-19,295.41888,2.5163564e-07
2010-02-20,296.81235,4.211828e-07
2010-02-21,297.63046,3.6712265e-07
2010-02-22,298.9022,4.4802107e-07
2010-02-23,299.56967,4.3399737e-07
2010-02-24,298.9967,5.2149755e-07
2010-02-25,294.59573,1.878833e-07
2010-02-26,292.7264,8.2602206e-08
2010-02-27,293.82333,9.780733e-08
2010-02-28,293.739,1.5049552e-07
2010-03-01,292.56555,1.0670813e-07
