date,t,co
2011-01-01,267.95703,1.3629786e-07
2011-01-02,270.4674,1.841805e-07
2011-01-03,274.20966,1.6958447e-07
2011-01-04,273.99188,1.8334535e-07
2011-01-05,275.23395,2.215344e-07
2011-01-06,278.2267,1.8056451e-07
2011-01-07,281.77982,1.528916e-07
2011-01-08,275.4912,1.3594638e-07
2011-01-09,273.0385,1.4889683e-07
2011-01-10,271.18152,1.5644078e-07
2011-01-11,264.5599,1.5824952e-07
2011-01-12,263.3006,1.5512084e-07
2011-01-13,266.5414,1.9328411e-07
2011-01-14,273.06894,1.7664159e-07
2011-01-15,274.93524,2.1245066e-07
2011-01-16,272.6983,2.1035112e-07
2011-01-17,276.09433,2.2491511e-07
2011-01-18,275.99808,1.9923499e-07
2011-01-19,271.6165,1.944609e-07
2011-01-20,268.22836,1.641454e-07
2011-01-21,269.88016,1.5205008e-07
2011-01-22,274.8564,1.6444022e-07
2011-01-23,274.01727,1.7600544e-07
2011-01-24,270.12598,2.1404264e-07
2011-01-25,274.89865,1.8009848e-07
2011-01-26,276.18518,1.6684183e-07
2011-01-27,276.64993,1.7392468e-07
2011-01-28,281.56195,1.5119818e-07
2011-01-29,284.26212,2.0672925e-07
2011-01-30,278.97458,1.5780029e-07
2011-01-31,273.08856,1.7468324e-07
2011-02-01,263.7039,1.7668049e-07
2011-02-02,258.74597,1.4795349e-07
2011-02-03,258.5475,1.8800941e-07
2011-02-04,262.64084,2.4307016e-07
2011-02-05,269.27194,1.8728254e-07
2011-02-06,276.5484,1.9883893e-07
2011-02-07,274.4544,1.5193375e-07
2011-02-08,270.3263,1.5226409e-07
2011-02-09,260.14703,1.5860464e-07
2011-02-10,257.2573,1.9927316e-07
2011-02-11,265.9214,1.8880247e-07
2011-02-12,274.76398,1.8643726e-07
2011-02-13,280.28415,1.9650943e-07
2011-02-14,283.2907,1.7393586e-07
2011-02-15,282.24274,1.8079575e-07
2011-02-16,285.64355,3.2385526e-07
2011-02-17,292.0838,1.4181346e-07
2011-02-18,288.42776,1.6586277e-07
2011-02-19,288.92438,1.7148099e-07
2011-02-20,291.96585,1.3282536e-07
2011-02-21,281.7472,1.5146075e-07
2011-02-22,275.11627,1.644197e-07
2011-02-23,285.3106,1.7231187e-07
2011-02-24,285.39688,1.8427448e-07
2011-02-25,272.23477,1.9930529e-07
2011-02-26,273.8465,2.0409341e-07
2011-02-27,286.66113,1.9969832e-07
2011-02-28,280.75638,1.9617471e-07
2011-03-01,281.18243,1.9747398e-07
2011-03-02,285.16724,2.1859299e-07
2011-03-03,286.09113,2.1226805e-07
2011-03-04,287.29825,2.3865562e-07
2011-03-05,274.7594,2.1043229e-07
2011-03-06,277.10202,2.0645592e-07
2011-03-07,282.58542,1.9761603e-07
2011-03-08,280.8728,2.0871713e-07
2011-03-09,277.76627,2.1980982e-07
2011-03-10,279.2406,1.8177079e-07
2011-03-11,285.9815,2.1499773e-07
2011-03-12,287.81497,2.5581699e-07
2011-03-13,284.4196,1.9695099e-07
2011-03-14,277.3912,1.8818108e-07
2011-03-15,278.6369,3.2449867e-07
2011-03-16,285.60516,2.2956796e-07
2011-03-17,293.89728,1.7068393e-07
2011-03-18,290.43896,2.0318129e-07
2011-03-19,284.95767,1.8261362e-07
2011-03-20,292.92502,1.6748659e-07
2011-03-21,294.82687,1.475627e-07
2011-03-22,294.9237,1.4033343e-07
2011-03-23,290.29376,1.8518219e-07
2011-03-24,282.57974,1.9702742e-07
2011-03-25,283.51245,3.079145e-07
2011-03-26,280.9667,2.4255124e-07
