date,t,co
2003-01-01,260.9679,1.5332137e-07
2003-01-02,262.25565,1.6041099e-07
2003-01-03,255.34741,1.57279e-07
2003-01-04,250.73767,1.5677203e-07
2003-01-05,247.83481,1.5923442e-07
2003-01-06,247.02202,1.6883452e-07
2003-01-07,245.06648,1.788767e-07
2003-01-08,245.92677,1.9144801e-07
2003-01-09,250.85577,1.7414898e-07
2003-01-10,252.28186,1.5717112e-07
2003-01-11,256.45248,1.5701858e-07
2003-01-12,256.66156,1.43977e-07
2003-01-13,257.64508,1.4332008e-07
2003-01-14,257.43542,1.4567695e-07
2003-01-15,254.0878,1.6336087e-07
2003-01-16,256.93976,1.6327888e-07
2003-01-17,256.34525,1.535444e-07
2003-01-18,258.00214,1.5554681e-07
2003-01-19,260.46497,1.5238598e-07
2003-01-20,253.59708,1.5631912e-07
2003-01-21,257.61673,1.6312953e-07
2003-01-22,266.60785,2.1814496e-07
2003-01-23,263.40607,2.0932005e-07
2003-01-24,262.85028,1.4853282e-07
2003-01-25,264.8205,1.5112752e-07
2003-01-26,259.0609,1.5781563e-07
2003-01-27,258.18552,1.5648034e-07
2003-01-28,250.95454,1.5952443e-07
2003-01-29,247.14984,1.6376933e-07
2003-01-30,247.34628,1.7242334e-07
2003-01-31,245.73766,1.6625873e-07
2003-02-01,243.54263,1.7323437e-07
2003-02-02,255.11234,1.771343e-07
2003-02-03,263.9424,1.9085516e-07
2003-02-04,259.2154,1.7200642e-07
2003-02-05,254.11966,1.7565287e-07
2003-02-06,255.67262,1.6683936e-07
2003-02-07,254.6171,1.9131576e-07
2003-02-08,262.66736,1.9803548e-07
2003-02-09,271.5603,1.9545348e-07
2003-02-10,272.26642,2.0563138e-07
2003-02-11,270.37485,1.5989704e-07
2003-02-12,269.68314,1.8749323e-07
2003-02-13,270.56595,1.5553177e-07
2003-02-14,267.01624,1.5589642e-07
2003-02-15,267.64832,1.605986e-07
2003-02-16,272.1798,1.6716595e-07
2003-02-17,272.96677,1.5394815e-07
2003-02-18,275.18176,1.6430819e-07
2003-02-19,274.7079,1.565304e-07
2003-02-20,270.9357,1.5230539e-07
2003-02-21,269.17468,1.4910978e-07
2003-02-22,268.5205,1.4917403e-07
2003-02-23,270.32654,1.7143174e-07
2003-02-24,271.6471,1.8335949e-07
2003-02-25,269.04736,1.7780071e-07
2003-02-26,269.28174,1.7816745e-07
2003-02-27,270.51666,1.7513005e-07
2003-02-28,268.2409,1.5182533e-07
2003-03-01,263.8047,1.5581283e-07
2003-03-02,264.99673,1.7671694e-07
2003-03-03,264.01517,1.8214908e-07
2003-03-04,264.01242,1.6488255e-07
2003-03-05,264.37033,1.9150902e-07
2003-03-06,266.53247,2.1474848e-07
2003-03-07,270.38736,2.0454274e-07
2003-03-08,272.41986,1.9669181e-07
2003-03-09,272.46686,2.0675506e-07
2003-03-10,272.18002,1.994978e-07
2003-03-11,272.53583,1.6096193e-07
2003-03-12,267.96585,1.5462541e-07
2003-03-13,267.9563,1.5329638e-07
2003-03-14,275.64456,1.4561742e-07
2003-03-15,270.9594,1.4630169e-07
2003-03-16,269.08426,1.5035019e-07
