date,t,co,no,no2,so2,c10h16,c5h8
2012-01-01,282.7024,1.4470292e-07,1.3618928e-10,6.9181176e-09,8.4440643e-10,5.867795e-11,8.664625e-12
2012-01-02,280.24725,1.4759536e-07,1.5982597e-10,6.3542975e-09,1.1681056e-09,4.3788757e-11,6.9635847e-12
2012-01-03,277.7152,1.5462223e-07,8.87925e-11,5.9901444e-09,1.054e-09,3.6303516e-11,5.972194e-12
2012-01-04,276.96198,1.4870004e-07,1.3985224e-10,5.4528453e-09,1.3596559e-09,3.274403e-11,3.839456e-12
2012-01-05,277.93646,1.387216e-07,9.4800626e-11,4.8774127e-09,1.1388995e-09,2.7174308e-11,3.79594e-12
2012-01-06,275.3061,1.588786e-07,2.1606782e-10,7.66271e-09,1.5690207e-09,4.6453123e-11,4.9166613e-12
2012-01-07,276.2698,1.7012894e-07,1.3833083e-10,8.917768e-09,1.4181829e-09,5.257187e-11,6.441979e-12
2012-01-08,276.51028,1.7467488e-07,2.1873016e-10,1.00907185e-08,2.2373063e-09,5.0415033e-11,6.2283516e-12
2012-01-09,277.53323,2.1167702e-07,8.6929747e-10,1.754091e-08,2.2711724e-09,1.122788e-10,1.1501994e-11
2012-01-10,278.93164,2.2705673e-07,1.7671182e-09,1.8525938e-08,1.7324436e-09,2.4495117e-10,1.7461201e-11
2012-01-11,279.42966,2.0774817e-07,4.4598034e-10,1.6765192e-08,1.7943015e-09,1.264852e-10,1.4341634e-11
2012-01-12,278.61935,1.8162584e-07,2.878944e-10,1.0928028e-08,1.383093e-09,6.514351e-11,8.809642e-12
2012-01-13,274.78796,1.9142219e-07,5.863386e-10,1.3527868e-08,1.9250836e-09,9.187431e-11,8.097311e-12
2012-01-14,273.3613,2.4580595e-07,1.213373e-09,2.021938e-08,2.045844e-09,2.318227e-10,1.4568844e-11
2012-01-15,272.62646,3.271056e-07,1.029519e-08,2.2706356e-08,2.4332236e-09,4.4247803e-10,2.3309788e-11
2012-01-16,272.12506,2.810068e-07,4.1988617e-09,1.864203e-08,2.0428692e-09,2.6620656e-10,2.1726992e-11
2012-01-17,272.55356,5.7906243e-07,3.7174562e-08,2.3180014e-08,2.6053895e-09,1.2575265e-09,5.8147136e-11
2012-01-18,272.6894,3.7178648e-07,5.421159e-09,1.7600431e-08,1.6041033e-09,3.587084e-10,2.7585783e-11
2012-01-19,277.99203,1.9450516e-07,1.2694672e-10,8.815473e-09,4.954037e-10,7.6497766e-11,1.2491284e-11
2012-01-20,275.5233,1.6710484e-07,1.7298216e-10,8.908984e-09,1.4389555e-09,5.481999e-11,7.459352e-12
2012-01-21,278.15527,1.7973362e-07,2.2305746e-10,1.0814658e-08,1.2340126e-09,8.7973684e-11,8.320518e-12
2012-01-22,277.12286,1.5065424e-07,6.5002045e-11,6.40196e-09,1.4246009e-09,2.9533355e-11,4.55232e-12
2012-01-23,275.96286,1.9871773e-07,5.659157e-10,1.2890396e-08,2.1172522e-09,8.066649e-11,1.0024518e-11
2012-01-24,274.49182,2.2450571e-07,8.7903174e-10,1.5332395e-08,1.9947914e-09,1.5543201e-10,1.6893705e-11
2012-01-25,274.2363,2.8495387e-07,3.166064e-09,2.0044439e-08,1.5862768e-09,2.7143549e-10,2.7186305e-11
