date,concentration,t,co,no,no2,so2,c10h16,c5h8
2012-01-01,107.4385416666667,245.79486,1.2885714e-07,9.999995e-26,6.240049e-12,4.733725e-10,9.9999965e-26,9.999993e-26
2012-01-02,98.06577777777784,245.75061000000002,1.3105752000000001e-07,9.999993e-26,3.676485e-12,5.8605915e-10,9.999993999999999e-26,9.999995e-26
2012-01-03,96.97530864197529,244.9211,1.2965577e-07,9.999995e-26,7.8054e-12,6.253428e-10,9.999995e-26,9.999995e-26
2012-01-04,86.33041666666672,244.8642,1.3192882999999998e-07,9.9999903e-26,7.473628e-12,6.539571e-10,9.999998e-26,9.999995e-26
2012-01-05,49.06206896551723,245.09401,1.2500964999999998e-07,9.999993e-26,5.362592e-11,3.1361027999999997e-10,9.999995e-26,9.999995e-26
2012-01-06,52.07475609756096,242.6297,1.1850578e-07,9.9999903e-26,2.0085678e-11,2.1542557000000001e-10,9.999993e-26,9.999995e-26
2012-01-07,65.82266666666666,239.26505,1.1340683999999999e-07,9.9999903e-26,2.3846512e-11,1.2995717e-10,9.999995e-26,9.999993e-26
2012-01-08,73.28583333333334,239.7482,1.1239363599999998e-07,9.999995e-26,1.4062334e-11,1.1921321e-10,9.999995e-26,9.999993e-26
2012-01-09,64.65214285714283,240.58336,1.1360640400000001e-07,9.999987999999999e-26,1.9077647000000002e-12,1.34547e-10,9.999995e-26,9.999993e-26
2012-01-10,55.68477611940298,242.66187999999997,1.15025564e-07,9.999993e-26,1.562199e-12,1.6710133e-10,9.999995e-26,9.9999965e-26
2012-01-11,45.58510416666667,245.6336,1.1851424e-07,9.999993e-26,6.298344000000001e-11,1.4495083e-10,9.999993e-26,9.999993e-26
2012-01-12,40.758988764044936,241.43292000000002,1.1433885e-07,9.999993e-26,7.051826e-11,1.255466e-10,9.9999965e-26,9.999993999999999e-26
2012-01-13,47.694722222222225,240.94242999999997,1.16201946e-07,9.999993e-26,5.2906494e-12,1.283058e-10,9.999993e-26,9.999993e-26
2012-01-16,40.608833333333344,244.79428,1.2305773000000002e-07,9.999993e-26,1.1997735e-12,1.4105864e-10,9.999995e-26,9.999993e-26
2012-01-17,27.538020833333334,242.10338,1.2249066000000002e-07,9.999993e-26,7.599989e-12,1.0055598e-10,9.999995e-26,9.999993e-26
2012-01-18,22.072604166666668,244.83992,1.182446e-07,9.9999903e-26,3.421229e-12,1.2222033000000002e-10,9.9999903e-26,9.999995e-26
2012-01-19,26.131749999999997,247.73862000000003,1.161024e-07,9.999993e-26,6.379748000000001e-11,9.4985866e-11,9.999993e-26,9.999995e-26
2012-01-20,51.764705882352935,246.35197000000002,1.1533966e-07,9.999995e-26,4.2658490000000005e-11,1.0479617e-10,9.999995e-26,9.999993e-26
2012-01-21,48.316582278480986,244.37361,1.1446822000000001e-07,9.9999903e-26,3.825712e-12,1.05491706e-10,9.999995e-26,9.999995e-26
2012-01-22,38.481267605633796,243.66202,1.136886e-07,9.9999903e-26,2.8380303000000003e-11,1.1010913999999999e-10,9.999995e-26,9.999995e-26
2012-01-23,36.47916666666666,240.41324,1.1130116000000001e-07,9.999993e-26,2.6711425e-11,1.01378635e-10,9.999995e-26,9.999993e-26
2012-01-24,44.014137931034476,241.64326,1.13226285e-07,9.999993e-26,1.0516648e-11,1.03794154e-10,9.999995e-26,9.999993e-26
2012-01-25,36.09318181818181,242.54689,1.15642365e-07,9.999993e-26,7.672676e-12,2.5822594e-10,9.999995e-26,9.999995e-26
2012-01-26,51.95444444444442,238.35468999999998,1.1527032999999999e-07,9.999995e-26,1.7692238000000002e-11,2.8023792e-10,9.9999903e-26,9.999995e-26
2012-01-27,58.29364583333331,237.14127000000002,1.16524944e-07,9.9999903e-26,9.828147e-12,2.5664137e-10,9.9999965e-26,9.999995e-26
2012-01-28,63.81791666666667,238.02247999999997,1.1879480000000001e-07,9.999987999999999e-26,5.1307660000000005e-12,2.7215352e-10,9.999993e-26,9.999993999999999e-26
2012-01-29,56.49297619047619,237.44269,1.177389e-07,9.9999903e-26,2.4707492999999997e-12,2.2564497000000002e-10,9.9999903e-26,9.999993e-26
2012-01-30,65.29072916666667,237.27233999999999,1.1817150999999999e-07,9.9999903e-26,7.239099000000001e-12,1.5271186000000002e-10,9.999993e-26,9.999995e-26
2012-01-31,62.76145833333333,236.54536000000002,1.1664824000000001e-07,9.999995e-26,1.4970348e-11,1.699878e-10,9.999993e-26,9.999993e-26
2012-02-01,62.59770833333332,238.33174,1.1779028999999999e-07,9.9999903e-26,3.5752963e-12,1.8535265e-10,9.9999965e-26,9.999993e-26
2012-02-02,71.42427083333331,238.58812000000003,1.1719635e-07,9.999993e-26,5.4240883e-12,1.3301411000000002e-10,9.999993e-26,9.999995e-26
2012-02-03,57.28647058823529,241.32275,1.1545847e-07,9.9999903e-26,2.7149071e-11,1.6115598e-10,9.999995e-26,9.999995e-26
2012-02-04,50.475243902439026,242.28499,1.1494956e-07,9.999995e-26,7.632672e-12,2.587675e-10,9.999995e-26,9.999993e-26
2012-02-05,53.68237499999998,240.71716,1.1692883999999999e-07,9.999993e-26,3.5645098e-12,2.1676288999999998e-10,9.999995e-26,9.999993e-26
2012-02-06,65.74239130434783,239.07265,1.1800694e-07,9.999995e-26,3.6450312999999994e-12,1.796786e-10,9.999993e-26,9.9999903e-26
2012-02-07,73.65194029850747,241.9743,1.1863609e-07,9.9999903e-26,5.655400599999999e-12,1.7663668e-10,9.999993e-26,9.999993e-26
2012-02-08,77.74353846153846,244.61632999999998,1.1980615e-07,9.999993e-26,3.191855e-12,1.7451587e-10,9.999995e-26,9.999995e-26
2012-02-09,51.18333333333334,247.36865,1.1978064999999998e-07,9.999993e-26,1.3312503e-12,1.7428536e-10,9.999995e-26,9.999993e-26
2012-02-10,48.26757142857142,247.66887999999997,1.2101336e-07,9.999995e-26,4.887078599999999e-12,1.314201e-10,9.999995e-26,9.999993e-26
2012-02-11,48.48291666666669,248.7887,1.2038927e-07,9.999993e-26,1.8459687e-11,1.1894047e-10,9.9999965e-26,9.999995e-26
2012-02-12,44.33000000000002,244.12063999999998,1.2482937e-07,9.999995e-26,1.13688815e-11,2.689809e-10,9.999995e-26,9.999995e-26
2012-02-13,45.044270833333314,239.99443,1.2564178e-07,9.999987999999999e-26,1.3743214000000001e-11,2.6113900000000003e-10,9.999995e-26,9.9999903e-26
2012-02-14,35.55114583333333,241.15681,1.2234389e-07,9.999995e-26,5.123592e-11,2.148366e-10,9.999995e-26,9.999995e-26
2012-02-15,58.44175824175826,241.6234,1.2285683000000002e-07,9.999993e-26,1.7438051e-11,2.0144844e-10,9.999995e-26,9.999993e-26
2012-02-16,35.06170731707317,243.6094,1.2190836000000002e-07,9.9999903e-26,1.9647972e-12,1.6581105e-10,9.999993e-26,9.999995e-26
2012-02-17,35.817738095238106,243.38824,1.2014002e-07,9.999995e-26,2.2152345000000002e-12,1.54716e-10,9.999996999999999e-26,9.999995e-26
2012-02-18,50.92086956521739,244.68877,1.2421995e-07,9.999995e-26,6.948960000000001e-12,1.6278959e-10,9.999995e-26,9.999995e-26
2012-02-19,95.60896551724136,244.01245,1.3230676999999998e-07,9.999993e-26,8.213949e-12,2.5590382999999996e-10,9.999995e-26,9.999995e-26
2012-02-20,67.70166666666667,240.51507999999998,1.327249e-07,9.999993e-26,5.238570400000001e-12,2.072873e-10,9.999993e-26,9.9999965e-26
2012-02-21,125.300987654321,244.26865,1.2751987e-07,9.999993e-26,4.2808344000000006e-12,1.7611561999999999e-10,9.999993999999999e-26,9.999993e-26
2012-02-22,142.962676056338,247.83565,1.340681e-07,9.999993e-26,4.6665666e-12,2.0485493999999998e-10,9.9999965e-26,9.999993e-26
2012-02-23,132.4675824175824,246.20252999999997,1.3682403e-07,9.9999903e-26,1.0764698e-11,3.7514042e-10,9.999993e-26,9.999993e-26
2012-02-24,63.49986842105264,244.15242,1.3322094e-07,9.999995e-26,4.5855835999999996e-12,2.9836034e-10,9.9999965e-26,9.999993e-26
2012-02-25,67.68885416666664,244.1492,1.2506487e-07,9.999995e-26,2.911839e-11,1.3416114e-10,9.999995e-26,9.999995e-26
2012-02-26,89.42540229885056,239.8829,1.2499882e-07,9.999993e-26,1.0935366499999999e-10,1.0695365e-10,9.999995e-26,9.999993e-26
2012-02-27,88.3862637362637,237.51632999999998,1.2737885e-07,9.999993e-26,5.6264524e-11,1.4333773000000001e-10,9.999995e-26,9.999993e-26
2012-02-28,94.65724137931036,238.63069,1.2564864e-07,9.999993e-26,6.439759e-12,1.0995722e-10,9.999990999999999e-26,9.999995e-26
2012-02-29,156.01739583333332,243.75377999999998,1.2946992e-07,9.9999903e-26,5.381187e-12,1.4094348e-10,9.999996e-26,9.999993e-26
2012-03-01,235.3516853932584,243.77655,1.3456463000000002e-07,9.999993e-26,4.211154e-12,1.3769778e-10,9.999993e-26,9.999993e-26
2012-03-02,95.516125,241.69646,1.3083897e-07,9.999993e-26,3.481413e-12,1.2017411999999998e-10,9.999995e-26,9.9999903e-26
2012-03-03,83.01711111111112,239.6534,1.2776074e-07,9.999995e-26,1.5635985e-12,1.2337574e-10,9.999993e-26,9.999993e-26
2012-03-04,94.9023958333333,234.52567000000002,1.2514616e-07,9.999995e-26,3.4420702000000006e-12,1.1192355e-10,9.9999965e-26,9.999993e-26
2012-03-05,89.64894117647059,237.8529,1.2653331e-07,9.999995e-26,3.827821e-12,9.4114355e-11,9.999995e-26,9.999995e-26
2012-03-06,91.17388888888891,242.46036,1.2561661000000002e-07,9.999995e-26,9.062186e-11,7.318515e-11,9.999987999999999e-26,9.999995e-26
2012-03-07,92.3562962962963,238.53616,1.2542051e-07,9.999993e-26,1.3329463e-10,7.3901586e-11,9.999993999999999e-26,9.999993e-26
2012-03-08,81.85967741935488,241.7685,1.2619313e-07,9.9999903e-26,4.8038174e-11,7.289516e-11,9.999995e-26,9.999993e-26
2012-03-09,74.01685393258427,247.22626,1.2841349e-07,9.999993e-26,4.596892e-11,5.1339474e-11,9.999993e-26,9.999995e-26
2012-03-10,81.80999999999997,244.0933,1.2826038000000001e-07,9.999993e-26,1.0076257e-10,5.167328e-11,9.999995e-26,9.999993e-26
2012-03-11,85.9011956521739,242.2388,1.2953384e-07,9.999993e-26,8.230301e-11,4.0093536e-11,9.9999965e-26,9.9999903e-26
2012-03-12,104.42804597701151,243.22461,1.2865189e-07,6.192934e-15,1.5445986e-10,5.169679e-11,9.999993e-26,9.999993999999999e-26
2012-03-13,104.81895833333334,240.06753999999998,1.2810703e-07,9.999987999999999e-26,7.450865e-11,5.1398635e-11,9.999995e-26,9.999995e-26
2012-03-14,107.18661538461542,241.35815,1.2776029e-07,1.3508466e-14,1.2437242e-11,6.6855035e-11,9.999993e-26,9.999995e-26
2012-03-15,103.66375,246.1547,1.2807007e-07,2.3260742e-12,8.328251999999999e-11,5.899669e-11,9.999996e-26,9.999993e-26
2012-03-16,74.25857142857146,244.51148999999998,1.2830715e-07,3.6572685e-12,1.2251566e-10,5.0227156e-11,9.999998e-26,9.9999903e-26
2012-03-17,91.95625,246.54207999999997,1.2891493e-07,1.2005465e-12,6.161644e-11,6.2481395e-11,9.9999965e-26,9.999995e-26
2012-03-18,82.31916666666669,245.90778999999998,1.2885754999999998e-07,1.4839885999999998e-13,1.2617353e-11,8.1141906e-11,9.999995e-26,9.9999903e-26
2012-03-19,84.17799999999995,244.35725,1.2741866999999998e-07,7.790283e-14,3.9828209999999996e-12,5.6823309999999995e-11,9.999995e-26,9.999993e-26
2012-03-20,67.375,247.09887999999998,1.2880083e-07,2.7426146e-13,5.9415146e-12,7.293600999999999e-11,9.999993e-26,9.9999903e-26
2012-03-21,100.34964285714287,245.39825,1.3167954e-07,3.8689166e-13,1.2149841e-11,1.1157498500000001e-10,9.999995e-26,9.999993e-26
2012-04-03,113.57729729729729,247.51883999999998,1.2437394e-07,1.4631677e-13,3.7391e-12,6.495066999999999e-11,9.999995e-26,9.999993e-26
2012-04-04,135.03645833333334,250.42041,1.2677643e-07,2.0626625e-13,2.0190174999999998e-12,6.5011024e-11,9.999995e-26,9.999995e-26
2012-04-05,158.20705882352942,249.59517999999997,1.3041365e-07,3.245989e-13,2.8810412999999995e-12,7.373949e-11,9.9999903e-26,9.999995e-26
2012-04-06,149.96562499999996,249.63648999999998,1.2854363000000002e-07,2.9887488e-13,3.2037403999999997e-12,6.194749e-11,9.999995e-26,9.999993e-26
2012-04-07,149.5584269662921,248.30003,1.2876338e-07,3.0197763e-13,3.5954835e-12,3.6006086999999997e-11,9.999995e-26,9.999995e-26
2012-04-08,109.93468749999991,246.65923999999998,1.2928312e-07,2.1751824e-13,2.3106554e-12,2.5181825e-11,9.999995e-26,9.999993e-26
2012-04-09,93.59067567567566,248.2638,1.2797175e-07,2.2694453e-13,2.725568e-12,2.8690460999999998e-11,9.999995e-26,9.999987999999999e-26
2012-04-10,85.06311688311688,249.1276,1.2749845e-07,7.2366657e-13,5.20073e-12,3.4338434999999996e-11,9.999995e-26,9.999993e-26
2012-04-11,118.84156249999997,250.77132999999998,1.3089817e-07,7.539968000000001e-13,7.180161e-12,2.8046566999999998e-11,9.999993e-26,9.999993e-26
2012-04-12,117.35864583333333,251.67642,1.3108922e-07,1.1054368999999998e-12,9.410059e-12,4.9598145000000004e-11,9.999995e-26,9.9999903e-26
2012-04-13,119.32705882352937,252.57178,1.2946994999999998e-07,8.1229614e-13,7.674778e-12,5.3755895999999993e-11,9.9999934e-26,9.999995e-26
2012-04-14,86.29451219512195,254.2524,1.3199744e-07,4.4495787e-13,4.2589e-12,4.498862e-11,9.999993e-26,9.999995e-26
2012-04-15,107.87083333333337,255.59058,1.3034663e-07,5.246161e-13,3.8193576e-12,6.9238594e-11,9.9999965e-26,9.999993e-26
2012-04-16,124.00208333333336,257.24792,1.3209932e-07,9.004540999999999e-13,6.8001793e-12,7.881409e-11,9.999995e-26,9.999995e-26
2012-04-17,129.53645833333334,257.13982999999996,1.2790154e-07,1.4700103e-12,1.1080349e-11,2.917284e-11,9.999995e-26,9.999993e-26
2012-04-18,114.39822916666668,254.91648999999998,1.2854302e-07,2.4492112e-12,2.5138345e-11,3.800525e-11,9.999993999999999e-26,9.9999903e-26
2012-04-19,82.98642857142856,252.7113,1.3125760999999998e-07,2.1188452e-12,1.2980495e-11,4.5089592e-11,9.9999965e-26,9.9999903e-26
2012-04-20,72.14393258426963,252.3022,1.2761578e-07,1.8346346999999997e-12,1.1583562e-11,6.6301964e-11,9.9999965e-26,9.999995e-26
2012-04-21,88.32835164835167,253.68457,1.294444e-07,1.1310729e-12,6.0323677e-12,4.197539e-11,9.999993e-26,9.9999903e-26
2012-04-22,101.41884057971014,254.76467999999997,1.3535397e-07,2.4183912e-12,1.4047803e-11,3.150339e-11,9.999993e-26,9.999995e-26
2012-04-23,95.11837209302321,256.49933,1.3404510999999998e-07,5.9454555e-12,4.212954e-11,1.5679328e-11,9.999995e-26,9.9999903e-26
2012-04-24,95.901170212766,256.99542,1.2970487000000001e-07,1.3627367000000001e-11,9.411856e-11,1.5393326000000002e-11,9.999995e-26,9.999995e-26
2012-04-25,86.00436170212765,256.50125,1.3380645000000002e-07,9.579625e-12,6.4596814e-11,1.6583394e-11,9.999995e-26,9.999995e-26
2012-04-26,106.87358024691359,256.1093,1.2863277999999998e-07,7.3554045e-12,6.2158854e-11,1.5588593e-11,9.999995e-26,9.999993e-26
2012-04-27,94.47058823529413,253.39575,1.3482834e-07,3.3821992999999995e-12,2.8564846999999996e-11,3.420811e-11,9.999998e-26,9.999987999999999e-26
2012-04-28,115.7845,254.27333,1.352712e-07,2.1684603e-12,1.7954622e-11,4.3175425e-11,9.999995e-26,9.999993e-26
2012-04-29,118.98617021276598,256.827,1.3862539999999998e-07,2.2403852000000004e-12,1.1507242e-11,3.8311959999999995e-11,9.999995e-26,9.999995e-26
2012-04-30,133.05056179775278,256.99698,1.3387073000000002e-07,3.7557804e-12,1.7625129e-11,2.716644e-11,9.999995e-26,9.9999965e-26
2012-05-01,142.13604166666667,258.17177999999996,1.3156858e-07,1.0374502e-11,3.7559143e-11,1.3665067000000002e-11,9.999995e-26,9.999995e-26
2012-05-02,152.34725274725278,258.4738,1.3508806e-07,1.8786105999999998e-11,9.970702e-11,5.192605e-12,9.9999965e-26,9.999987999999999e-26
2012-05-03,145.69491525423726,259.616,1.3070243e-07,1.1438583000000001e-11,4.9875926e-11,5.1886403e-12,9.9999965e-26,9.999993e-26
2012-05-04,95.7339325842697,260.7427,1.259485e-07,8.895849000000001e-12,4.101713e-11,5.8550088e-12,9.999995e-26,9.999995e-26
2012-05-05,79.84076086956517,265.1548,1.213306e-07,2.2753053e-11,8.586746600000001e-11,1.0538656e-11,9.999998e-26,9.999993e-26
2012-05-06,104.21416666666666,264.6146,1.2193547e-07,2.003351e-11,1.01373764e-10,3.5343096999999995e-11,9.999995e-26,9.999995e-26
2012-05-07,92.57309523809528,260.9594,1.2426517000000002e-07,9.335393e-12,6.6750175e-11,6.129694e-11,9.999995e-26,9.999995e-26
2012-05-08,103.27125,258.78546,1.2850892e-07,5.6410150000000005e-12,2.4686707999999997e-11,3.2972382e-11,9.999995e-26,9.999995e-26
