date,concentration,t,co
2005-01-01,579.9782608695654,272.89583999999996,1.676428e-07
2005-01-02,395.6,275.66702000000004,1.4866817999999998e-07
2005-01-03,66.615,274.72272000000004,1.4824948000000001e-07
2005-01-07,167.73333333333332,279.15222,1.3587304999999998e-07
2005-01-08,217.59416666666667,279.0652,1.323425e-07
2005-01-09,56.54999999999999,277.2383,1.3860970000000002e-07
2005-01-10,375.9500000000001,278.18207,1.4790189999999998e-07
2005-01-11,238.47625,278.51977999999997,1.4470241e-07
2005-01-12,486.4208333333333,278.0186,1.610954e-07
2005-01-13,144.54958333333332,277.4195,1.4655242000000002e-07
2005-01-14,154.24666666666667,275.00433,1.5933944e-07
2005-01-15,318.35833333333335,272.11777,1.7077335000000002e-07
2005-01-16,696.9125,274.5741,1.8340967000000002e-07
2005-01-17,988.5916666666667,275.40682999999996,2.4617376e-07
2005-01-18,1190.8625,275.4587,2.6281364e-07
2005-01-19,532.2333333333335,274.19687000000005,2.1137464000000002e-07
2005-01-20,318.9733333333333,273.32372999999995,1.7514259e-07
2005-01-21,742.0499999999997,273.23843,2.0669296e-07
2005-01-22,435.6333333333334,271.9621,1.8467966e-07
2005-01-23,201.60333333333332,271.5558,1.6354974e-07
2005-01-24,226.74583333333337,271.117,1.6471814e-07
2005-01-25,496.7000000000001,271.03406,1.8465809e-07
2005-01-26,555.3208333333333,270.36902000000003,1.9393862e-07
2005-01-27,744.8583333333332,270.3269,1.942648e-07
2005-01-28,745.7125,269.12787000000003,1.9334894e-07
2005-01-29,516.3291666666668,268.30862,1.8121807000000002e-07
2005-01-30,569.8458333333333,272.5514,1.8467076999999999e-07
2005-01-31,148.29041666666666,274.54857999999996,1.4708945000000002e-07
2005-02-01,110.265,274.40518,1.5739442000000003e-07
2005-02-02,213.76541666666665,273.73217999999997,1.6569435999999998e-07
2005-02-03,530.0124999999998,272.40598,2.219529e-07
2005-02-04,406.075,273.0102,1.7104973e-07
2005-02-05,656.4875,275.2184,1.9166912e-07
2005-02-06,967.1625,273.18945,2.1622503e-07
2005-02-07,1779.0,271.3763,1.9880548e-07
2005-02-08,2075.0416666666665,270.74042000000003,2.0066030999999998e-07
2005-02-09,2957.0,271.32935,2.3489616e-07
2005-02-10,1487.854166666667,273.33575,2.4899538e-07
2005-02-11,177.19999999999996,273.72095,1.5346656e-07
2005-02-12,331.31666666666666,272.33026,1.6599257000000002e-07
2005-02-13,467.87916666666666,272.06833,1.9060994e-07
2005-02-14,978.4833333333332,271.34094,2.0896311999999998e-07
2005-02-15,958.0291666666667,269.6791,1.8593132999999998e-07
2005-02-16,860.9666666666666,268.82802999999996,1.8782191000000002e-07
2005-02-17,661.9958333333333,268.11843999999996,2.3135548999999997e-07
2005-02-18,513.5708333333333,271.69952,1.9010351999999997e-07
2005-02-19,678.9791666666666,273.65436,2.0791856e-07
2005-02-20,335.28333333333336,272.2263,2.2180966e-07
2005-02-21,622.975,271.62885,2.1626363000000002e-07
2005-02-22,994.9125,268.4312,1.6300912e-07
2005-02-23,1204.4708333333333,268.09918,1.7152554000000002e-07
2005-02-24,1222.0833333333333,269.37698,1.9263513e-07
2005-02-25,1248.9791666666665,267.02155,2.0915857e-07
2005-02-26,221.02916666666667,268.08633,1.5945878e-07
2005-02-27,154.02083333333334,266.79123,1.5609494e-07
2005-02-28,307.69090909090914,265.51453,1.8006003e-07
2005-03-01,485.1416666666665,265.00922,1.7118383999999998e-07
2005-03-02,461.49583333333334,264.0749,2.3227065e-07
2005-03-03,444.25833333333327,265.40173,2.0136322e-07
2005-03-04,609.0666666666667,267.82867000000005,1.8468435e-07
2005-03-05,1072.175,267.9425,2.3918662000000003e-07
2005-03-06,1217.2333333333333,268.24182,2.5500795999999996e-07
2005-03-07,497.64583333333314,271.7426,2.3728025e-07
2005-03-08,116.41625,272.1366,1.504446e-07
2005-03-09,156.51541666666662,268.13104,1.6074763e-07
2005-03-10,481.825,271.41327,1.9134567999999998e-07
2005-03-11,555.5125,272.6173,1.6825228e-07
2005-03-12,398.225,268.17157000000003,1.6247276e-07
2005-03-13,449.2416666666666,266.96844,1.7125049e-07
2005-03-14,668.3625000000002,268.23355,1.9815398000000002e-07
2005-03-15,894.2125000000002,268.3808,1.7850570000000002e-07
2005-03-16,566.5416666666667,271.7132,1.9354994e-07
2005-03-17,623.2541666666667,275.31982,1.8208237e-07
2005-03-18,686.525,269.56237999999996,1.7977428e-07
2005-03-19,348.91666666666674,267.63347999999996,1.631823e-07
2005-03-20,271.205,268.30338,1.7915195000000002e-07
2005-03-21,488.69166666666666,269.5482,2.2672984e-07
2005-03-22,958.6291666666666,274.04388,1.987411e-07
2005-03-23,1815.125,275.07727,2.1308213000000002e-07
2005-03-24,1944.833333333333,277.4154,2.3082048999999998e-07
2005-03-25,1171.8958333333333,278.08807,2.2914245999999998e-07
2005-03-26,666.8749999999999,276.13122999999996,2.2080147e-07
2005-03-27,626.7041666666668,274.15436,1.9531282e-07
2005-03-28,1168.2958333333333,274.50203999999997,3.0391104e-07
2005-03-29,1155.775,274.63347999999996,2.0264457e-07
2005-03-30,370.36666666666673,274.06177,1.8340425e-07
2005-03-31,512.6083333333332,275.79834,2.0961895000000002e-07
2005-04-01,803.3291666666668,277.53824,2.0398770000000004e-07
2005-04-02,1199.9625,278.49457,1.7990116000000002e-07
2005-04-03,1796.25,279.31872999999996,2.1716501e-07
2005-04-04,2197.875,279.46477999999996,2.289796e-07
2005-04-05,1268.2416666666668,279.6628,1.9840371e-07
2005-04-06,372.15,277.92834,1.6163267999999998e-07
2005-04-07,1554.9333333333332,277.58115,1.9694576000000002e-07
2005-04-08,436.07083333333327,277.22700000000003,1.7397005e-07
2005-04-09,669.6624999999998,276.8027,1.9370772e-07
2005-04-10,589.1291666666667,276.80804,1.7573264000000002e-07
2005-04-11,260.24999999999994,280.692,1.5353825000000001e-07
2005-04-12,479.01666666666665,280.87393,1.4641387e-07
2005-04-13,394.81666666666666,279.10437,1.6231655e-07
2005-04-14,1084.9916666666666,277.48868,2.0234154e-07
2005-04-15,1400.458333333333,278.00537,2.0461185e-07
2005-04-16,1007.2916666666665,277.75494,1.8080657000000001e-07
2005-04-17,548.3458333333333,278.34326,1.629388e-07
2005-04-18,447.20416666666665,276.4737,1.6109921e-07
2005-04-19,307.575,275.10437,1.5657785e-07
2005-04-20,419.6416666666667,274.2932,1.6806094e-07
2005-04-21,344.09583333333336,276.20996,1.7376158e-07
