date,concentration,t,co,no,no2,so2,c10h16,c5h8
2006-07-20,1515.4142857142856,289.1896,1.8611723e-07,1.8514748e-10,3.9346446e-09,4.773696e-09,2.6626792000000004e-10,1.3941687e-09
2006-07-21,1170.7903623188404,288.10645,1.8634543000000002e-07,2.6049335e-10,7.1173565e-09,5.4044476e-09,3.7911876e-10,1.8305966e-09
2006-07-22,712.4355395683452,286.08617999999996,2.546247e-07,7.461707e-10,6.5631687e-09,5.7635425e-09,9.133088e-10,3.0467340000000003e-09
2006-07-23,139.374794117647,282.72485,1.3673258e-07,5.571077e-10,4.6572444e-09,6.235003e-09,4.4404233e-10,1.8079469e-09
2006-07-24,728.0867407407411,285.55312999999995,2.819175e-07,1.5580836e-09,7.892154e-09,7.3621984e-09,1.9348736e-09,5.1294275e-09
2006-07-25,1129.6146323529406,289.2213,2.6602396e-07,4.0396447000000003e-10,5.7698255e-09,6.8404336e-09,6.588592e-10,2.8589495e-09
2006-07-26,888.183602941177,289.6001,2.3266266e-07,3.8077527e-10,4.955674e-09,5.963972e-09,4.0386788e-10,1.9578985e-09
2006-07-27,1279.0429629629627,289.05014,2.1426408e-07,4.146576e-10,4.79009e-09,5.6687615e-09,3.0096272999999997e-10,1.5698217e-09
2006-07-28,1464.4732394366197,287.75732,5.6209564e-07,2.776071e-09,1.3697693000000003e-08,7.580506e-09,7.512804e-10,2.9610530000000004e-09
2006-07-29,1343.2271851851856,286.52295,6.12262e-07,1.5896563e-09,1.3868025e-08,8.3213925e-09,9.423147e-10,3.4865750000000002e-09
2006-07-30,1083.7522068965516,285.6252,3.2631726e-07,1.0341665e-09,7.774284999999999e-09,7.3478392e-09,8.662822699999999e-10,3.3356442e-09
2006-07-31,460.7781481481483,286.26302999999996,1.7337148000000002e-07,3.9881026e-10,4.550435000000001e-09,5.0699738e-09,4.076374e-10,1.8176146e-09
2006-08-01,438.10499999999985,283.14685,1.3361618e-07,8.872708000000001e-11,2.297912e-09,2.7547178e-09,2.187068e-10,1.114326e-09
2006-08-02,60.95467142857144,278.07153,8.134596e-08,5.5639247e-11,8.252107e-10,9.614567e-10,6.890247e-11,3.3301467000000004e-10
2006-08-03,153.49032352941177,281.45734,8.096391499999999e-08,9.87265e-11,1.1487841e-09,1.6697009e-09,8.121735999999999e-11,4.0270362e-10
2006-08-04,192.89248031496064,281.43023999999997,9.856275e-08,3.0223476e-10,2.77125e-09,3.9931209999999995e-09,1.0451817e-10,5.412346e-10
2006-08-05,119.22166176470593,281.39178,1.1801192599999998e-07,5.2256816e-10,4.6093613e-09,6.395303000000001e-09,3.1778763e-10,1.3299533e-09
2006-08-06,140.46530882352943,282.74352999999996,2.1316006e-07,1.0208189999999999e-09,7.3598243e-09,7.343483000000001e-09,1.0781053e-09,3.4726841e-09
2006-08-07,410.085,286.973,1.9475375e-07,7.661133e-10,5.3130473e-09,6.635790999999999e-09,1.0473347e-09,3.639159e-09
2006-08-08,564.9404964539008,288.1194,1.6300082e-07,5.041455e-10,4.3367656e-09,5.377205000000001e-09,8.607744e-10,3.1733496e-09
2006-08-09,341.7217037037039,287.46475,2.581172e-07,1.8170097e-09,9.824917999999999e-09,8.040992e-09,1.3919622e-09,4.1052424e-09
2006-08-10,1457.7660294117652,286.46436,2.431915e-07,1.9823158e-10,5.7407212e-09,6.5586994e-09,3.08821e-10,1.4653133e-09
2006-08-11,1028.9999999999998,286.61217999999997,1.6855306e-07,2.5975225e-10,3.2555605e-09,4.692083999999999e-09,2.811222e-10,1.4708010000000002e-09
2006-08-12,1063.3844852941174,288.65375,1.9466070000000002e-07,3.1822828e-10,4.772115e-09,4.5235169999999996e-09,4.488406e-10,2.2103581e-09
2006-08-13,1007.1074100719422,287.36602999999997,3.6338915e-07,2.8037361e-09,1.104748e-08,6.7433690000000006e-09,1.5077101e-09,4.324568e-09
2006-08-14,1253.2705882352946,288.8851,1.8516171e-07,2.7280900000000006e-10,3.4457432e-09,5.3725824e-09,2.2243147999999998e-10,1.2494717e-09
2006-08-15,422.8472867647062,285.33722,1.5261962e-07,1.8344523e-10,2.9472396e-09,3.2647873e-09,1.02144286e-10,7.896887e-10
2006-08-16,160.70578151260509,281.2552,1.2927538999999998e-07,2.7068508999999997e-10,3.3709324e-09,3.9713632e-09,1.0850203999999999e-10,5.8031946e-10
2006-08-17,1351.7491911764705,285.03726,2.4573285000000003e-07,6.444351e-10,6.075020000000001e-09,8.286124e-09,1.799648e-10,1.1167033e-09
2006-08-18,640.7493103448272,286.78253,2.2097602999999998e-07,3.7166384e-10,4.723652e-09,6.1951626e-09,4.2241594000000003e-10,2.1410909e-09
2006-09-01,1465.1645833333334,286.07336000000004,2.1356300000000002e-07,5.183855e-10,6.4536407e-09,6.9763395e-09,5.478087400000001e-10,3.4008523e-09
2006-09-02,1490.808148148148,287.1469,2.8883422999999996e-07,1.1192639e-09,6.577179e-09,8.183703e-09,1.5932756e-09,8.6289305e-09
2006-09-03,1688.8903676470586,288.77263999999997,3.6652101999999997e-07,1.3758162e-09,9.072258e-09,8.438424999999999e-09,2.2938584e-09,9.812015e-09
2006-09-04,1018.2954411764713,288.6491,1.9132375e-07,2.5507388e-10,3.2335845e-09,4.4502513e-09,1.6508298e-10,1.3550889e-09
2006-09-05,632.2892592592592,288.16742,1.6736227e-07,3.0687433e-10,3.153085e-09,4.3877737e-09,2.8715177e-10,2.0900175e-09
2006-09-06,867.9822058823529,289.49057,2.1754192e-07,4.663959e-10,4.0955457e-09,4.7789794e-09,4.385213e-10,3.0531129e-09
2006-09-07,1048.294926470588,290.4169,1.7776064000000002e-07,2.2369833999999999e-10,2.445851e-09,4.194148e-09,1.5024275e-10,1.2674067e-09
2006-09-08,754.3922058823524,288.8332,1.7510882000000002e-07,2.4905675e-10,2.96452e-09,4.0563912e-09,2.3437036e-10,1.7927244e-09
