date,concentration,t,co,no,no2,so2,c10h16,c5h8
2007-05-03,41.364375,282.80905,1.7018466e-07,1.4222588e-09,9.206850000000001e-09,4.1672914e-09,1.3765963e-10,2.3632592999999996e-10
2007-05-07,422.1338028169014,283.94986,3.4115637999999996e-07,2.1342832999999998e-08,2.4003502999999995e-08,9.756126e-09,9.051058e-10,6.750082e-10
2007-05-08,2472.2382352941177,289.377,2.2993851e-07,1.4031712e-09,1.707005e-08,7.669554e-09,1.198115e-10,1.8407575e-10
2007-05-09,3469.9655172413795,291.62127999999996,3.970257e-07,1.5227657e-08,3.385962e-08,1.0480246e-08,7.434035e-10,7.5292245e-10
2007-05-11,327.2229452054794,288.2212,2.0485068e-07,2.0636182e-09,9.136114e-09,4.480362e-09,2.0644425e-10,2.9191835e-10
2007-05-12,202.91423611111102,283.60284,1.477506e-07,6.671675e-10,6.764723999999999e-09,3.2939265e-09,1.2797063000000001e-10,2.209819e-10
2007-05-13,448.4795138888888,282.21587999999997,1.6340242e-07,1.4617957e-09,8.045953e-09,3.782624e-09,2.1321133999999998e-10,3.6152104e-10
2007-05-14,532.5400722021662,284.52814,2.510352e-07,5.9511485e-09,1.6392073e-08,6.9636177e-09,4.2023792999999997e-10,4.4286902e-10
2007-05-15,1740.8620689655172,290.38912999999997,1.9643701e-07,5.0208643e-10,1.1673366000000002e-08,5.4785994e-09,8.331984399999999e-11,1.5007356000000002e-10
2007-05-16,512.5410416666668,285.95746,1.9962155e-07,1.4256276e-09,9.536318e-09,3.9286574e-09,2.3259876e-10,6.5349615e-10
2007-05-17,314.00574468085097,281.76697,1.638588e-07,5.9278604e-10,7.2017574e-09,3.1720633e-09,1.7648145e-10,5.497514e-10
2007-05-18,633.0666666666666,282.9667,3.1033249999999996e-07,2.0427471000000003e-08,1.6449862e-08,9.344652e-09,1.1353972e-09,1.3690081e-09
2007-05-19,1029.5177083333333,285.8864,2.2471073e-07,3.8729606e-09,1.2288473999999998e-08,5.287914e-09,4.398739e-10,9.867539e-10
2007-05-20,629.2354166666665,284.63718,2.0835972e-07,5.1329146e-10,6.9198323e-09,3.6129069e-09,1.7521075e-10,6.40191e-10
2007-05-21,427.91612903225797,282.26642000000004,1.7530595999999998e-07,1.4624582e-09,6.3850747e-09,3.6276062e-09,2.852074e-10,9.108634e-10
2007-05-22,666.8041666666667,285.7736,3.3318312e-07,2.36312e-08,3.2655745e-08,9.542780000000001e-09,1.7249261e-09,3.0683163e-09
2007-05-23,1741.6043478260876,289.54346,3.067065e-07,8.878709000000001e-09,2.6484937e-08,9.7887005e-09,6.063617400000001e-10,1.6158942e-09
