date,concentration,t,co,no,no2,so2,c10h16,c5h8
2005-01-01,745.7691666666663,271.5078,1.9249720999999997e-07,2.972284e-09,3.3738154000000004e-08,3.4012329999999996e-09,3.7133782e-11,9.999995e-26
2005-01-02,374.99180555555535,272.5712,1.9036949e-07,8.166031e-10,2.0757897e-08,3.541704e-09,1.986284e-11,1.1397461e-13
2005-01-03,265.29029370629377,272.60297,1.7793404000000002e-07,4.0303165e-09,2.8962227999999998e-08,3.1422673e-09,3.2139378e-11,1.4210855e-14
2005-01-04,304.68201388888883,270.91785,2.0324313e-07,1.1112792999999999e-08,3.630176e-08,2.8070675e-09,5.4431737e-11,9.999995e-26
2005-01-05,409.387986111111,272.3731,2.0476998e-07,5.4842912e-09,3.1334419999999996e-08,4.1346535e-09,3.802724e-11,2.7265244999999998e-14
2005-01-06,496.81555555555525,272.28537,2.3307584e-07,1.9175236e-08,4.096497e-08,3.8632555e-09,6.362997e-11,8.474045e-14
2005-01-07,321.93527777777786,274.85162,1.7394842e-07,1.8786352e-09,2.5736404999999996e-08,2.7596467e-09,2.2940646e-11,9.658750599999999e-14
2005-01-08,349.35944444444436,275.76526,1.6460151999999996e-07,2.2223277e-09,2.8125601000000002e-08,2.6095135e-09,2.2015957e-11,1.1668242e-13
2005-01-09,145.0043680555556,273.85336,1.6239845000000001e-07,6.379509e-10,1.5430535000000002e-08,1.7267106e-09,1.3329098e-11,1.2033248e-13
2005-01-10,529.9317518248176,271.99445,2.0151697e-07,6.947601e-09,3.0324955e-08,3.0337894e-09,3.0679882e-11,7.630655000000001e-14
2005-01-11,471.5563888888889,275.9556,1.6507043e-07,2.6952123e-09,2.5937531000000003e-08,2.3147350000000003e-09,1.7942406e-11,1.4210855e-14
2005-01-12,621.8405,274.36703,2.0476145000000003e-07,3.8542396e-09,3.3957620000000003e-08,3.5347814e-09,2.3506112e-11,1.0323315e-13
2005-01-13,380.1890972222221,275.13113,1.6480826e-07,5.5665006e-10,1.5506313999999998e-08,2.4496805e-09,8.779214e-12,8.382089e-14
2005-01-14,288.0597202797204,272.95977999999997,1.7855885000000002e-07,2.13235e-09,2.3275452999999997e-08,1.8831607e-09,1.467014e-11,9.999993e-26
2005-01-15,686.5749999999998,269.69394,2.0750498e-07,1.0328508000000001e-08,3.419786799999999e-08,2.4041258e-09,2.4428466e-11,9.999995e-26
2005-01-16,509.6586805555558,272.46667,1.9425704999999996e-07,1.9327189e-09,2.5324951e-08,3.3838827e-09,1.5730407e-11,3.9616655e-13
2005-01-17,1500.2047916666659,274.06857,2.3621317e-07,2.0361552e-09,1.9298646000000003e-08,2.8593954e-09,1.4425937e-11,7.115866999999999e-13
2005-01-18,2732.6284722222213,273.7293,3.3893383e-07,6.3741763e-09,2.3123786e-08,5.2458384e-09,2.7242809999999998e-11,2.6467133999999997e-12
2005-01-19,2395.578472222222,272.55368,2.3721263e-07,1.7841176e-09,2.5721548e-08,5.4234444e-09,1.3558194500000001e-11,1.5481892e-13
2005-01-20,1644.455555555554,272.3101,2.3124086e-07,1.8362711e-09,2.1144311e-08,5.0926237e-09,1.3243423999999998e-11,5.0904094e-13
2005-01-21,1279.454295774647,272.29323999999997,2.0183681e-07,1.2013598e-09,2.2761218999999998e-08,3.820378e-09,9.966578e-12,3.573474e-13
2005-01-22,1671.8006944444446,271.11334,4.332217e-07,1.3313087e-07,3.8230430000000004e-08,5.0540643e-09,1.1433835e-10,9.947598e-14
2005-01-23,1210.2134722222224,270.6375,7.73945e-07,3.315038e-07,2.6979826e-08,5.9554544e-09,2.603026e-10,2.8884771999999997e-15
2005-01-24,888.7235416666672,268.3588,2.1992318000000002e-07,1.1293638999999999e-08,2.7489767000000005e-08,1.988454e-09,2.4613758999999998e-11,9.999995e-26
2005-01-25,1346.6413194444451,269.61725,2.3532888e-07,1.29688145e-08,2.5934966e-08,3.3766965e-09,2.8851834e-11,9.9999903e-26
2005-01-26,1343.4642361111114,268.03643999999997,2.5279962e-07,2.3739687999999996e-08,2.7106217999999998e-08,3.5683156e-09,4.298016e-11,1.0165911e-14
2005-01-27,1143.427777777778,267.28946,2.3142229999999997e-07,1.9579354e-09,2.0848560000000002e-08,4.143864e-09,1.3190185e-11,1.925941e-13
2005-01-28,1218.1327083333338,261.85773,1.7292254e-07,7.200917599999999e-10,1.3248348e-08,2.2937536e-09,6.598687700000001e-12,9.9999903e-26
2005-01-29,1545.2142361111114,263.33693999999997,1.9949637e-07,2.170435e-09,1.8778199e-08,3.987159999999999e-09,1.2479302000000001e-11,5.2798477e-14
