date,concentration,t,co,no,no2,so2,c10h16,c5h8
2003-01-01,405.24479166666674,250.34743999999998,2.293967e-07,1.6695154999999998e-08,2.2513406e-08,9.143296e-10,3.4572523e-10,9.999993e-26
2003-01-02,589.0969285714286,250.8084,2.4986895e-07,2.4052912999999996e-08,3.273299e-08,8.3297214e-10,4.2087467000000004e-10,9.999995e-26
2003-01-03,649.8484722222223,248.15852,2.613865e-07,2.5860214e-08,3.1401907e-08,9.097066400000001e-10,4.392166e-10,9.9999965e-26
2003-01-04,439.65854166666674,246.85321000000002,2.118218e-07,3.7169134e-09,2.3292436000000004e-08,9.294365e-10,1.542046e-10,9.9999903e-26
2003-01-05,419.98756944444466,248.53287000000003,1.9659997e-07,1.7657157e-09,2.2339435000000002e-08,8.758505e-10,1.0578231999999999e-10,9.999995e-26
2003-01-06,430.84951388888913,249.29057000000003,1.9764922999999999e-07,3.1233214e-09,2.1947078999999997e-08,7.942474e-10,1.0550981999999999e-10,9.999995e-26
2003-01-07,679.4018309859156,252.71282999999997,2.0934831e-07,4.454537e-09,3.123002e-08,9.830253e-10,1.1606721000000001e-10,9.9999903e-26
2003-01-08,648.6830769230769,263.04785,1.9220082999999998e-07,2.1143618e-09,2.0046249e-08,9.1466845e-10,7.0663385e-11,9.9999903e-26
2003-01-09,177.32835593220338,262.86664,1.6934214000000001e-07,9.945319999999999e-10,1.614186e-08,7.8534745e-10,3.2785212e-11,9.999995e-26
2003-01-10,515.932023809524,251.66492999999997,1.9467020000000002e-07,1.8126298e-09,1.6092340000000002e-08,8.041071e-10,4.3326834999999996e-11,9.9999965e-26
2003-01-11,285.45434722222217,260.853,1.8614358e-07,1.9132198e-09,1.4677694e-08,9.705543e-10,3.0093282e-11,9.9999903e-26
2003-01-12,232.0101388888889,265.0666,1.7224882e-07,2.1447208e-09,1.3779701000000002e-08,7.3635453e-10,1.9597182999999998e-11,9.9999903e-26
2003-01-13,115.67399999999999,268.15826,1.5517342000000002e-07,1.5632873e-10,5.8574305e-09,6.6066774e-10,3.7794186e-12,9.999995e-26
2003-01-14,235.67259722222218,260.7448,1.8008565000000002e-07,1.9530728e-09,2.0376653e-08,1.3159691e-09,9.348582000000001e-12,9.999995e-26
2003-01-15,403.64368055555565,262.86242999999996,2.0172925e-07,3.8328833e-09,2.6755185e-08,1.3361399e-09,5.792420400000001e-12,9.999995e-26
2003-01-16,151.92484999999994,272.92676,1.5582798e-07,1.7985045e-10,6.3181083e-09,8.400949e-10,1.1796291000000002e-12,9.999995e-26
2003-01-17,193.93399305555562,269.80548,1.6135863000000002e-07,5.881523599999999e-10,1.1513561999999999e-08,7.999494e-10,2.3176695e-12,5.190594e-15
2003-01-18,407.5509790209788,274.73907,1.8315318e-07,1.3867635e-10,6.4915313e-09,8.9088215e-10,9.974395e-13,4.749675599999999e-13
2003-01-19,76.04391666666669,271.8963,1.5140039e-07,1.719372e-10,5.2568994e-09,7.224792e-10,1.1298408000000002e-12,9.999995e-26
2003-01-20,319.8313194444445,262.93585,1.6887918e-07,3.73674e-10,1.1520923000000001e-08,8.816598599999999e-10,2.630499e-12,9.9999903e-26
2003-01-21,868.8138888888885,271.531,2.6533535999999997e-07,6.929689999999999e-10,1.8287167e-08,1.7029731e-09,3.5357084000000004e-12,3.1891742e-13
2003-01-22,786.3209722222223,273.19824,2.4434520000000005e-07,2.7463834e-10,1.1485222e-08,1.5537989999999998e-09,1.7625196e-12,4.605286e-14
2003-01-23,549.8324647887323,271.72186,2.2193194000000003e-07,5.636191e-10,1.5187718e-08,1.5627399e-09,3.0923257e-12,1.06059814e-13
2003-01-24,185.02064285714286,264.2993,1.8691985e-07,2.728465e-09,2.0940535e-08,8.567021e-10,6.72295e-12,9.999995e-26
2003-01-25,264.15756944444445,271.432,1.9015999999999998e-07,3.3875431e-09,1.4446491000000002e-08,8.539249999999999e-10,6.820877e-12,9.999993e-26
2003-01-26,292.649673611111,273.25253,2.093375e-07,7.5207696e-10,1.7500078e-08,8.0383183e-10,4.1486614e-12,2.7683067e-13
2003-01-27,179.12166666666664,269.30573,1.7251716e-07,3.462381e-10,9.127046e-09,6.8766604e-10,2.650896e-12,9.999993e-26
