date,concentration,t,co,no,no2,so2,c10h16,c5h8
2009-01-01,2946.152173913043,266.2695,2.5391511999999997e-07,1.1423767e-09,1.6354578e-08,2.1542035e-09,8.24209e-11,1.1947058e-11
2009-01-02,2861.2125,268.54056,2.8906783e-07,1.2990413e-09,1.3288662e-08,3.732742e-09,8.891295e-11,8.481902e-12
2009-01-03,2398.6708333333336,266.96866,2.6003516e-07,1.8244773e-09,1.2698439e-08,3.216975e-09,1.3458504e-10,8.428677e-12
2009-01-04,2331.8375,268.32574,2.1480871e-07,2.9086844e-10,8.460916999999999e-09,2.3814575e-09,4.443003e-11,8.662161e-12
2009-01-05,3353.058333333334,269.41393999999997,2.560254e-07,1.4263097e-09,1.4506874e-08,3.30511e-09,6.869672e-11,1.0302424000000001e-11
2009-01-06,4968.016666666666,265.0348,3.768905e-07,5.2198246e-09,2.3571218e-08,6.4587686e-09,1.6653257e-10,1.3635007999999998e-11
2009-01-07,3487.6416666666664,264.06656,3.752303e-07,8.19607e-09,2.3609914e-08,3.8695878e-09,1.7608638000000001e-10,1.2178958e-11
2009-01-08,2593.8625,265.60677999999996,2.7528424e-07,3.020716e-09,2.2679267999999997e-08,3.7746974e-09,9.999576999999999e-11,8.880499e-12
2009-01-09,5891.133333333332,261.43604,3.584653e-07,7.0198776e-09,2.5436236e-08,3.928527e-09,1.7995853e-10,1.6218207000000002e-11
2009-01-10,9191.125,261.8089,3.9296384000000005e-07,7.467994000000001e-09,2.0333077e-08,2.5449254e-09,2.3082733e-10,8.518863000000001e-12
2009-01-11,5401.583333333335,261.82266,3.5117129999999994e-07,3.2839291e-09,2.123598e-08,3.0107157e-09,1.3433238999999999e-10,9.230764e-12
2009-01-12,3097.587500000001,260.75,2.96e-07,1.9658084e-09,2.3514341999999998e-08,2.390672e-09,7.8223115e-11,1.1764652e-11
2009-01-13,3073.9833333333336,261.9251,2.7363554999999996e-07,1.7521706e-09,2.5627142999999998e-08,1.9087176e-09,5.6196027000000004e-11,9.253404e-12
2009-01-14,4509.695833333334,263.5816,3.2563792999999995e-07,2.1240811e-09,1.753077e-08,2.1851030000000004e-09,7.8116194e-11,8.440847e-12
2009-01-15,4848.358333333334,268.51135,4.4768564000000007e-07,1.2552709e-08,2.0782132e-08,4.5888546e-09,1.3579818e-10,9.29195e-12
2009-01-16,3212.729166666666,271.82574,4.562623e-07,1.4659298e-08,3.024559e-08,4.490287e-09,1.626673e-10,9.838164999999999e-12
2009-01-17,4137.7249999999985,269.0935,3.1635568e-07,2.2216513e-09,2.5792172000000005e-08,3.3335565e-09,6.2337274e-11,5.9047339999999995e-12
2009-01-18,3259.179166666665,272.5754,2.5821663e-07,7.0471906e-10,1.608042e-08,2.6937077e-09,2.8803494e-11,7.885418e-12
2009-01-19,1380.0387499999995,274.3453,1.9472664e-07,1.8764898e-10,7.0209025e-09,1.947179e-09,1.0101286999999999e-11,3.188598e-12
2009-01-20,2740.4500000000007,273.36816,3.937896e-07,2.2770117e-09,1.6189292e-08,3.5418275e-09,7.920555e-11,5.096042e-12
2009-01-21,3527.7791666666667,272.97382000000005,6.171025000000001e-07,1.7106381999999997e-08,1.8007409e-08,4.314492999999999e-09,2.3662428e-10,6.356378e-12
2009-01-22,2534.8625,273.57416,2.731831e-07,1.4389155e-09,1.6554436e-08,3.7584149999999996e-09,4.065497e-11,2.6529572999999997e-12
2009-01-23,1554.5999999999995,272.88302999999996,2.454519e-07,5.0298193e-10,7.1214545e-09,1.8704573e-09,2.6264308e-11,6.178337400000001e-12
2009-01-24,1874.2879166666667,275.0893,2.4076667e-07,2.607229e-09,9.245783000000001e-09,2.7995946e-09,6.979378000000001e-11,1.0284592e-11
