date,concentration,t,co,no,no2,so2,c10h16,c5h8
2011-12-01,1684.729166666667,276.49597,3.0744545000000003e-07,2.61087e-09,1.9610233e-08,3.0320635000000003e-08,2.683339e-11,4.592204e-11
2011-12-02,5353.651515151512,277.10443,9.543601e-07,5.375318e-08,3.047126e-08,8.4034234e-08,1.994341e-10,2.3842237e-10
2011-12-03,6901.684027777778,277.47842,1.1937731999999999e-06,6.2693864e-08,4.460421e-08,8.698755499999998e-08,1.9298112e-10,2.3210991e-10
2011-12-04,9120.459027777775,279.99463,9.679134e-07,4.0846665e-08,4.7346830000000006e-08,6.97395e-08,1.2586206999999999e-10,1.8028214e-10
2011-12-05,5610.890579710146,283.6967,4.851461e-07,7.222721e-09,4.231319e-08,4.8911182999999996e-08,4.4210720000000004e-11,9.20832e-11
2011-12-06,9506.490972222222,284.18396,7.4733475e-07,2.6505552000000002e-08,4.681545e-08,7.112728e-08,8.677890400000001e-11,1.581246e-10
2011-12-07,4507.2010989011,281.42905,8.881820600000001e-07,2.9512176e-08,4.8856084000000004e-08,5.658629e-08,1.1349638999999999e-10,1.5254202e-10
2011-12-14,10562.188679245282,277.93216,1.6748352e-06,9.362428e-08,8.635769e-08,6.585185000000001e-08,1.4276133999999998e-10,1.1945878999999998e-10
2011-12-15,4745.326388888887,275.14148,4.6255850000000005e-07,1.0909586000000002e-08,3.5516137999999996e-08,4.699064599999999e-08,2.8199939e-11,3.1137155e-11
2011-12-16,8358.391428571433,272.6111,7.072952700000001e-07,3.1551284e-08,3.844865799999999e-08,7.026959e-08,5.1432784999999996e-11,5.2182203e-11
2011-12-17,10585.156250000002,273.16437,1.1051974e-06,7.526411000000001e-08,3.8442337e-08,9.2420926e-08,9.464766e-11,9.004953e-11
2011-12-18,13859.673611111111,274.49048,1.4617921999999998e-06,1.0511245599999998e-07,4.083712999999999e-08,1.0658191499999999e-07,1.2011718e-10,1.0672905e-10
2011-12-19,11654.423611111111,276.4435,1.1186636999999998e-06,5.6436928e-08,5.075262e-08,6.9378395e-08,7.1855376e-11,7.372122e-11
2011-12-20,11879.227083333333,279.11197000000004,1.2236948999999997e-06,7.635602e-08,5.934867e-08,9.8667535e-08,9.514231e-11,9.548698e-11
2011-12-21,8558.686805555555,277.8791,1.0653673e-06,3.8299870000000004e-08,4.727252200000001e-08,6.501498000000001e-08,6.345038000000001e-11,5.825273e-11
2011-12-22,6699.513888888891,274.19742,6.578745e-07,2.2029894e-08,4.8594305e-08,6.021758e-08,3.7528813e-11,3.4411186e-11
2011-12-23,9739.32152777778,274.1392,9.845431999999999e-07,6.3475184e-08,3.4462886e-08,7.337259e-08,8.56106e-11,8.264667e-11
2011-12-24,10914.23263888889,274.96997000000005,1.6706392e-06,1.2410139e-07,5.1682870000000005e-08,1.0733196400000001e-07,1.5270513e-10,1.2107268e-10
2011-12-25,12145.39375,275.64252,2.3738858e-06,1.9579433e-07,5.1607273000000004e-08,1.0828305e-07,1.9704265e-10,1.5682429e-10
2011-12-26,11062.372549019605,276.38657,1.2745406000000001e-06,7.34047e-08,4.8754597e-08,6.130115e-08,7.758895e-11,7.125622e-11
2011-12-27,6659.054878048781,279.41907000000003,6.1905035e-07,2.2319746e-08,5.097023e-08,6.199602e-08,3.351942e-11,4.0155903e-11
2011-12-28,10929.563194444445,279.8483,1.139311e-06,7.10458e-08,5.127317e-08,7.817338000000001e-08,6.9649876e-11,7.734504e-11
2011-12-29,6604.750694444442,278.01764,5.212944500000001e-07,1.0261745e-08,3.3772434000000006e-08,4.3324828000000004e-08,1.9607173999999998e-11,2.5568067e-11
2011-12-30,4138.146969696972,275.50616,7.675605999999999e-07,3.0136118000000004e-08,4.2725723e-08,7.0449005e-08,3.9285903999999995e-11,3.8465085e-11
2012-01-03,5504.890000000001,272.80768,6.9958827e-07,1.5390777e-08,4.0559317999999995e-08,4.6913478e-08,3.4137547e-11,2.1756432e-11
