date,concentration,t,co,no,no2,so2,c10h16,c5h8
2011-04-18,1634.5,284.71225,2.5375812e-07,1.1633316999999999e-08,1.846016e-08,1.8680981e-09,4.411314e-09,1.7910142e-09
2011-04-19,1717.041666666667,286.51403999999997,2.0228195e-07,2.0373423e-09,1.8607918999999998e-08,2.7439400000000003e-09,9.51484e-10,6.8580247e-10
2011-04-20,1652.416666666667,287.81467000000004,1.6739273e-07,7.143644599999999e-10,9.657399e-09,3.110955e-09,4.780124e-10,4.2964065999999997e-10
2011-04-21,2469.833333333333,288.1012,2.1372799e-07,2.8283855e-09,1.3671913e-08,3.544696e-09,1.2300798e-09,8.750502e-10
2011-04-22,2477.5416666666665,289.1132,1.9004683e-07,8.594989e-10,9.713658000000002e-09,3.5746859999999997e-09,4.7867205e-10,4.536956e-10
2011-04-23,2173.1666666666665,289.93262000000004,1.7081172e-07,2.4958013e-10,5.6343996e-09,2.4755493e-09,1.9490891e-10,2.1270252e-10
2011-04-24,1900.75,288.1462,1.7700152e-07,3.7896125e-10,5.296478e-09,2.3793220000000002e-09,2.9042294e-10,2.9623700000000003e-10
2011-04-25,2153.7125,285.77026,1.8366211e-07,4.4155188e-10,6.3510255e-09,1.9988837e-09,3.9041836e-10,3.80232e-10
2011-04-26,1985.291666666667,286.46774,1.9726285e-07,6.3304784e-10,8.107233000000001e-09,1.9685271e-09,5.250978e-10,4.882075e-10
2011-04-27,1687.916666666667,287.3469,2.1268070000000002e-07,1.2983652e-09,1.3079851e-08,2.8088287e-09,1.0346557e-09,7.6791856e-10
2011-04-28,1424.416666666667,288.0125,1.9186956999999999e-07,4.5706913e-10,6.7065153e-09,3.2707697e-09,3.6281247e-10,3.9119244e-10
2011-04-29,989.7833333333333,287.07755,1.7945194e-07,3.4684894e-10,4.4198969999999995e-09,2.5853366e-09,2.743267e-10,2.8156458e-10
2011-04-30,425.04166666666674,284.04773,1.4866332e-07,2.3675977999999997e-10,3.0695766e-09,1.4310703e-09,2.0247354e-10,2.0335901999999999e-10
2011-05-01,674.3666666666667,281.78815,1.4641035999999998e-07,2.609968e-10,3.0884661e-09,1.3776258e-09,2.2607988e-10,2.227456e-10
2011-05-02,463.37083333333334,280.06998,1.4584793e-07,2.1158086000000001e-10,2.8655940000000003e-09,1.3544578e-09,2.2190969e-10,2.1206865e-10
2011-05-03,459.47916666666674,279.42957,1.4139529999999998e-07,3.189311e-10,3.8971364e-09,1.2420024e-09,3.2411398999999997e-10,3.3890768e-10
2011-05-04,540.5708333333333,280.27026,1.6572320999999998e-07,7.5866097e-10,9.578274e-09,1.3514702e-09,8.379881e-10,7.797389e-10
2011-05-05,671.0666666666666,282.25937000000005,1.5705817e-07,6.318031e-10,6.9798909999999995e-09,8.419939e-10,5.8468175e-10,5.8030913e-10
2011-05-06,1056.2791666666665,286.47876,1.7498068e-07,7.962786e-10,9.794280000000001e-09,1.6858303e-09,7.992758e-10,9.270036e-10
2011-05-07,1571.9416666666666,288.6838,1.7597242999999998e-07,7.1166745e-10,8.807084000000001e-09,3.229215e-09,5.2795923e-10,6.6539746e-10
2011-05-08,939.2416666666664,288.54172,1.5387657999999998e-07,3.8066766e-10,4.3140655e-09,2.1380344e-09,2.861001e-10,3.3890182000000003e-10
2011-05-09,1348.625,290.89142000000004,1.7037465000000002e-07,5.3082416e-10,5.8191922e-09,3.0243059999999994e-09,3.889292e-10,4.690625e-10
2011-05-10,2049.0,292.71252000000004,1.7474288e-07,6.6084604e-10,9.112163000000001e-09,3.2041854e-09,7.041242e-10,8.485359599999999e-10
2011-05-11,3014.125,292.4557,2.0912222e-07,2.9760416e-09,1.6043393999999997e-08,3.4763976e-09,3.1113636e-09,2.1547397e-09
2011-05-12,2706.6666666666665,289.4698,1.7847974e-07,8.064114e-10,1.0097260000000001e-08,1.4152699e-09,1.0534972e-09,1.12373e-09
2011-05-13,939.5583333333334,286.74997,1.2753623e-07,1.8534387e-10,4.4566533e-09,1.1901335e-09,2.5916522e-10,3.363467e-10
2011-05-14,1195.3124999999998,287.43286,1.5740758e-07,6.4408245e-10,1.19088375e-08,1.951597e-09,1.4050521e-09,1.1461916e-09
2011-05-15,633.6208333333334,284.57492,1.296411e-07,2.9719324e-10,4.5981645e-09,1.1055777e-09,3.5252342999999996e-10,3.6810624e-10
2011-05-16,494.425,283.73282,1.3065919e-07,3.0916691e-10,5.3362803e-09,1.1231712e-09,3.6879072000000003e-10,7.773085e-10
2011-05-17,492.3,286.49,1.2057997e-07,4.326665e-10,7.318583000000001e-09,1.2300139999999998e-09,4.1508483e-10,8.8531954e-10
2011-05-18,816.6666666666665,288.75833,1.3570220999999997e-07,7.721451e-10,9.207164e-09,1.6035976e-09,1.3454605e-09,1.9122464e-09
2011-05-19,1421.2238095238095,290.84995,1.4994949e-07,1.5320237e-09,9.918896000000001e-09,1.5009274e-09,1.2939074e-09,1.6936543e-09
2011-05-20,1055.1875,289.18634,1.3588618e-07,6.0446215e-10,8.166517e-09,1.7789292e-09,8.358143599999999e-10,1.0463651e-09
2011-05-21,1399.0,289.7541,1.3973212e-07,6.115666e-10,7.930343e-09,1.1987519e-09,8.580485e-10,1.1314575e-09
2011-05-22,1361.95,291.86133,1.3654643e-07,3.6119627000000003e-10,5.6331713e-09,2.5364009e-09,3.8209272000000004e-10,7.258622e-10
2011-05-23,948.1875,289.1688,1.3106731e-07,3.9071567999999996e-10,4.3845394e-09,1.1403888e-09,3.6706257e-10,6.039261e-10
2011-05-24,949.6291666666666,288.874,1.371823e-07,4.8614573e-10,6.110999000000001e-09,1.3513417e-09,3.7776327000000004e-10,6.988281e-10
2011-05-25,818.9250000000002,286.8214,1.2626712e-07,3.2993497000000003e-10,3.6505987e-09,1.0425173e-09,3.096508e-10,4.9599025e-10
2011-05-26,1390.458333333333,290.78002999999995,1.5184611e-07,4.832727599999999e-10,9.957849e-09,2.5597389e-09,1.165968e-09,1.5076879999999998e-09
2011-05-27,814.2125000000002,288.69586,1.3142466e-07,4.0704198e-10,5.9256657e-09,1.2283847e-09,5.992092400000001e-10,7.4176043e-10
2011-05-28,722.9458333333333,286.83664,1.2234045000000001e-07,2.860029e-10,3.915139e-09,8.416296e-10,3.420685e-10,6.815168e-10
2011-05-29,833.8291666666668,289.37384,1.2793585999999998e-07,1.9430682e-10,5.1325677e-09,8.2330265e-10,3.379967e-10,7.226302e-10
2011-05-30,1397.6375,295.06354,1.4219714000000002e-07,8.572667e-10,7.338709e-09,1.3006192e-09,6.5046946e-10,1.1217905e-09
2011-05-31,1699.708333333333,294.8,1.4176368e-07,4.5153217000000004e-10,5.8836442e-09,1.6860339e-09,3.394954e-10,7.258535e-10
2011-06-01,348.34583333333336,287.27554,1.1302467e-07,2.4545854e-10,3.2985576e-09,5.946498e-10,2.525867e-10,4.380555e-10
2011-06-02,793.4791666666665,288.47992,1.2615186999999998e-07,4.087102e-10,4.2840719999999995e-09,7.441386e-10,3.9249142999999997e-10,6.680617e-10
2011-06-03,1170.7666666666667,291.17725,1.2482069000000002e-07,8.326194e-10,1.0821895000000002e-08,1.6178638e-09,1.7129242e-09,1.7852073e-09
2011-06-04,1838.666666666667,292.9836,1.11046894e-07,5.690506400000001e-10,5.7177756e-09,2.2227538e-09,4.8715365e-10,8.879164599999999e-10
2011-06-05,1944.083333333333,296.6602,1.2206644e-07,5.0277227e-10,5.7302842e-09,3.0075733e-09,5.735605e-10,1.1618023e-09
2011-06-06,1609.4333333333334,297.5518,1.3222999e-07,3.3476038999999997e-10,5.8589658e-09,2.6411669999999998e-09,4.592721e-10,1.1183625e-09
2011-06-07,1219.6375,293.24667,1.4726741e-07,3.138251e-10,7.663529999999999e-09,7.822248400000001e-10,7.212190299999999e-10,1.5040814e-09
2011-06-08,1447.2583333333332,292.83585,1.4377699e-07,2.8080036e-10,6.641413000000001e-09,2.3012212e-09,5.236050000000001e-10,1.4157594e-09
2011-06-09,839.9458333333333,288.93652000000003,1.1520219e-07,1.9828739e-10,3.2119283e-09,7.749535e-10,2.7347724e-10,6.5882527e-10
2011-06-10,1151.8875,289.25525,1.1976186e-07,3.2881145e-10,3.5891112e-09,9.342610000000002e-10,4.010831e-10,8.658433e-10
2011-06-11,1325.1208333333334,289.4687,1.4254796e-07,6.924823e-10,8.188897e-09,1.7150776e-09,1.5288726e-09,2.1879094e-09
2011-06-12,1067.5208333333333,289.39566,1.2893771000000002e-07,4.954236e-10,5.527008000000001e-09,9.910042e-10,5.9714117e-10,1.2801356e-09
