date,concentration,t,co,no,no2,so2,c10h16,c5h8
2010-10-06,2454.0597972972987,292.17395,2.3148436e-07,9.250852300000001e-10,1.17441985e-08,1.0788261000000001e-08,5.748858e-10,2.3481337e-09
2010-10-07,3750.44125,294.18982,4.5033073000000004e-07,3.9456474e-09,2.4513886e-08,2.2272477000000002e-08,2.4782907e-09,8.594146000000001e-09
2010-10-08,1192.6001234567896,293.9317,2.819384e-07,3.5514377999999996e-10,6.813648e-09,6.5545347e-09,5.6048766e-10,3.3474499999999996e-09
2010-10-09,325.70258024691367,290.11356,1.8942304999999998e-07,4.3937400000000004e-10,1.110854e-08,1.0518620000000001e-08,8.954569e-10,3.660857e-09
2010-10-10,659.6315950920247,288.69113,1.2752994e-07,3.5167927e-10,7.3587225e-09,7.716632e-09,4.992755e-10,1.9049904e-09
2010-10-11,716.3463522012578,287.92663999999996,1.41396e-07,5.350232e-10,9.607186e-09,9.740291999999999e-09,6.324768e-10,2.2526148e-09
2010-10-12,736.1782716049387,287.7618,1.1893233e-07,4.972967e-10,6.660558000000001e-09,7.427562e-09,4.657572e-10,1.5686901e-09
2010-10-13,1345.741296296297,288.87732,1.4299755e-07,6.642286700000001e-10,9.691571e-09,1.0182612e-08,7.945487e-10,2.5104949999999996e-09
2010-10-14,3792.8950920245393,291.73465,2.3178177e-07,1.2390889e-09,1.5555326e-08,1.5258008e-08,1.1686564e-09,4.0093076e-09
2010-10-15,4211.9422360248445,293.8162,3.8276573e-07,1.9691981e-09,2.4029262000000004e-08,1.9856790000000003e-08,2.3301276e-09,9.812351999999999e-09
2010-10-16,3097.054375000001,294.94354,5.1226465e-07,2.3688864e-09,2.8254014e-08,2.1117157999999997e-08,2.6534916e-09,1.0096790999999999e-08
2010-10-17,1602.8159259259255,293.92523,8.209824499999999e-07,2.5132472000000005e-08,2.8041687999999997e-08,3.0341556999999996e-08,7.949699e-09,1.912234e-08
2010-10-18,851.3189440993788,291.07568,2.8725685e-07,1.5542834e-09,1.8364355e-08,1.5867053e-08,1.6399472e-09,7.306614999999999e-09
2010-10-19,1204.8131746031745,289.64157,1.5819535e-07,4.777947e-10,8.722191999999999e-09,8.863037e-09,6.550792e-10,2.466953e-09
2010-10-20,2575.9524074074075,290.05573,1.9300149999999998e-07,1.0392126e-09,1.2445366000000002e-08,1.29624524e-08,9.608263e-10,3.0851441e-09
