date,concentration,t,co
2006-01-01,139.5508695652174,275.31326,2.3333226e-07
2006-01-02,348.1333333333334,273.4008,4.3544532e-07
2006-01-03,355.3636363636363,273.5459,3.1427356e-07
2006-01-05,722.8599999999999,272.03424,3.1692088e-07
2006-01-06,426.20416666666665,271.1093,4.1400659999999993e-07
2006-01-07,316.5,270.97292999999996,4.3171490000000003e-07
2006-01-08,223.60416666666663,271.17357999999996,4.796953e-07
2006-01-09,281.84583333333336,270.38097999999997,5.529249e-07
2006-01-10,236.34166666666667,269.5586,5.215204e-07
2006-01-11,203.5333333333334,269.64655,4.4387895e-07
2006-01-12,277.5416666666667,271.89727999999997,4.2574584e-07
2006-01-13,241.44772727272724,271.1073,4.909178400000001e-07
2006-01-14,264.8675,269.80017000000004,5.625039399999999e-07
2006-01-15,455.77499999999986,268.0368,4.7347243e-07
2006-01-16,388.71249999999986,268.87622000000005,5.073477e-07
2006-01-17,230.55416666666667,274.1211,2.7057428000000003e-07
2006-01-18,189.45541666666665,274.7508,2.6700033000000003e-07
2006-01-19,347.6608333333333,274.4449,4.7793253e-07
2006-01-20,264.2966666666667,275.25217000000004,3.9388754999999994e-07
2006-01-21,400.40125000000006,275.3103,2.5911189999999995e-07
2006-01-22,427.7791666666666,273.25195,3.0873790000000006e-07
2006-01-23,530.9291666666667,269.6371,2.5302148000000005e-07
2006-01-24,628.2000000000003,268.42422,3.376791e-07
2006-01-25,1625.1166666666668,269.62036,4.128908e-07
2006-01-26,1754.0708333333332,271.81335,3.7371899999999996e-07
2006-01-27,1096.9333333333334,269.055,3.5394640000000003e-07
2006-01-28,291.99583333333334,271.0307,4.1895362e-07
2006-01-29,324.48333333333335,272.14172,4.839874000000001e-07
2006-01-30,466.6375,271.60983,4.4210265e-07
2006-01-31,190.64750000000004,272.24045,4.642512e-07
2006-02-01,322.54375,272.22797,5.0889963e-07
2006-02-02,845.9916666666667,270.79523,5.677227e-07
2006-02-03,320.70375,269.44757000000004,5.459328299999999e-07
2006-02-04,512.4833333333335,267.89777000000004,4.902189e-07
