date,concentration,t,co,no,no2,so2,c10h16,c5h8
2011-01-01,133.93481481481479,267.95703,1.3629786e-07,1.5794627e-10,2.112629e-09,1.0095866e-09,3.0732630000000003e-12,5.5355892999999994e-12
2011-01-02,386.81518518518493,270.4674,1.841805e-07,9.566125e-10,1.5017643999999998e-08,4.4444763e-09,4.7228024e-11,6.120995e-11
2011-01-03,777.2822222222223,274.20966,1.6958447e-07,5.238481299999999e-10,7.3760718e-09,3.6768872e-09,7.067588000000001e-12,3.8203062e-11
2011-01-04,367.2792307692308,273.99188,1.8334534999999998e-07,4.4556214000000003e-10,7.592892e-09,2.690363e-09,1.1237816e-11,2.2265178e-11
2011-01-05,473.7311538461538,275.23395,2.215344e-07,2.6837137e-09,1.4768986000000002e-08,4.9444813e-09,5.0010135e-11,6.189858299999999e-11
2011-01-06,272.64344827586217,278.2267,1.8056451000000003e-07,4.001882e-10,6.2472669999999995e-09,2.3904843e-09,6.971362299999999e-12,1.6965374e-11
2011-01-07,193.8592105263158,281.77982000000003,1.528916e-07,1.3309329e-10,4.4908073e-09,1.8658937e-09,3.6007222e-12,1.0450924e-11
2011-01-08,226.89038461538465,275.4912,1.3594638e-07,2.2317595e-10,3.6203818e-09,1.6318645e-09,3.765108e-12,8.511699e-12
2011-01-09,764.6007142857143,273.0385,1.4889682999999998e-07,3.1554886e-10,4.2395634e-09,3.2632739e-09,4.046083e-12,2.4650122e-11
2011-01-10,727.8157142857143,271.18152000000003,1.5644078000000001e-07,2.1142747000000001e-10,5.2230487e-09,3.884798e-09,4.437393e-12,7.0488455e-11
2011-01-11,496.9855555555557,264.5599,1.5824952e-07,2.5251656e-10,3.7802037e-09,1.3725645e-09,3.8133134e-12,6.5027393e-12
2011-01-12,800.2725,263.3006,1.5512084e-07,3.700468e-10,3.853832e-09,1.9380426e-09,7.206897e-12,1.0956459e-11
2011-01-13,1097.4037037037035,266.5414,1.9328411e-07,1.1411452e-09,1.19581e-08,4.2593267e-09,2.7469077000000003e-11,5.3109481999999996e-11
2011-01-14,1275.2200000000005,273.06894,1.7664158999999997e-07,1.2397005e-09,1.1483691e-08,3.6761500000000004e-09,7.978703e-12,4.9277107e-11
2011-01-19,719.7564285714285,271.6165,1.944609e-07,4.2443543e-10,8.5381435e-09,3.2949312e-09,1.4790329e-11,3.6884752e-11
2011-01-20,531.5914285714285,268.22836,1.641454e-07,1.9133459e-10,5.2906923e-09,2.0726550000000002e-09,4.722105e-12,1.6430336e-11
2011-01-21,348.17119999999994,269.88016,1.5205008e-07,3.3388006e-10,5.8903424e-09,3.1916403e-09,1.1448164e-11,3.8905684e-11
2011-01-22,381.7985185185185,274.8564,1.6444022e-07,4.3731735e-10,8.79274e-09,3.3526139999999997e-09,1.7807318e-11,4.7048594e-11
2011-01-23,1022.5493103448276,274.01727,1.7600544e-07,5.9489086e-10,7.3609785e-09,2.9955982e-09,1.1578091e-11,3.4810075e-11
2011-01-24,1077.5403333333336,270.12597999999997,2.1404264000000002e-07,1.3045307e-09,1.1806183e-08,4.51126e-09,2.8469394e-11,8.092379000000001e-11
2011-01-25,554.7539285714287,274.89865,1.8009848000000002e-07,4.996595e-10,9.466498999999999e-09,2.7769407e-09,1.5442016e-11,3.1090999999999995e-11
2011-01-26,575.8161538461537,276.18518,1.6684182999999997e-07,2.3142516000000002e-10,7.462386999999999e-09,3.1461735e-09,1.2731554e-11,4.9415205e-11
2011-01-27,352.562875,276.64993,1.7392468000000002e-07,4.0712902e-10,8.786608e-09,2.8642586e-09,1.973579e-11,3.9026546e-11
2011-01-28,231.73862068965528,281.56195,1.5119818e-07,4.5764675e-10,7.1766535e-09,2.6394327e-09,1.1534233e-11,3.119193e-11
2011-01-29,605.8906896551723,284.26212000000004,2.0672925e-07,1.6797618e-09,1.48391965e-08,4.1818438e-09,4.309233e-11,7.2654424e-11
2011-01-30,799.5899999999998,278.97458,1.5780029000000002e-07,3.0941197e-10,6.6985772e-09,2.6854952e-09,7.1771296e-12,2.1785853e-11
2011-01-31,637.9714814814816,273.08856000000003,1.7468324e-07,3.872399e-10,5.2986002e-09,1.6832679999999997e-09,6.93275e-12,2.1197182999999998e-11
2011-02-01,212.28344827586204,263.7039,1.7668049e-07,3.0764682e-10,3.8961887e-09,1.0193011e-09,3.8440322999999994e-12,7.543519e-12
2011-02-02,187.35300000000004,258.74597,1.4795349e-07,3.318352e-10,2.3181947e-09,8.541636e-10,4.4167794000000005e-12,8.163782000000001e-12
2011-02-03,373.31576923076926,258.5475,1.8800941e-07,1.7234609e-09,7.893104e-09,2.4493887e-09,2.8650853999999998e-11,4.093207e-11
2011-02-04,1068.6585185185186,262.64083999999997,2.4307016e-07,9.152661e-09,1.4203502000000001e-08,5.003396999999999e-09,1.2796313e-10,2.1652107999999997e-10
2011-02-05,1114.6470370370373,269.27194,1.8728254e-07,1.5047374e-09,1.0175579e-08,3.4188343e-09,2.1804978e-11,7.808861e-11
2011-02-06,551.1146428571428,276.5484,1.9883893e-07,4.961740000000001e-10,1.0559701e-08,2.974886e-09,3.0469415000000004e-11,6.8254104e-11
2011-02-07,221.84579166666668,274.4544,1.5193375e-07,8.7384114e-11,2.2642324e-09,8.1647966e-10,3.638799e-12,9.906256e-12
2011-02-08,597.9099999999999,270.3263,1.5226409e-07,2.7763757999999996e-10,4.7371893e-09,2.1744929999999997e-09,6.883315e-12,5.0739173e-11
2011-02-09,215.2482142857143,260.14703,1.5860464000000003e-07,4.5134316e-10,4.098899e-09,1.1140744e-09,6.1061684999999996e-12,1.3783185e-11
2011-02-10,940.4459259259261,257.2573,1.9927316e-07,2.5965634e-09,8.659553e-09,2.7521811e-09,4.9347092e-11,7.204676e-11
2011-02-11,1647.1750000000006,265.9214,1.8880247e-07,1.2404635e-09,8.31857e-09,2.5138405e-09,2.1362103e-11,6.214446e-11
2011-02-12,1059.0642857142861,274.76398,1.8643726e-07,9.000584e-10,9.110934000000002e-09,2.5764277e-09,2.0203447e-11,5.407492e-11
2011-02-13,1037.9396428571429,280.28415,1.9650942999999997e-07,1.1315730000000002e-09,1.1303278000000001e-08,3.1331293e-09,1.6472679e-11,5.6822172e-11
2011-02-14,511.2201153846154,283.2907,1.7393586e-07,2.251601e-10,9.491685999999999e-09,3.0103626e-09,1.4006642e-11,3.758671e-11
2011-02-15,1248.2863333333332,282.24273999999997,1.8079575e-07,3.525508e-10,7.320496999999999e-09,3.883009e-09,9.267004e-12,4.3533444e-11
2011-02-16,1159.8677419354838,285.64355,3.2385526e-07,1.0006468000000002e-08,1.6856064999999996e-08,5.1630726e-09,1.7339453e-10,2.8863792000000004e-10
2011-02-17,677.8465517241377,292.0838,1.4181346e-07,1.1941367e-10,2.5907485e-09,1.9196333e-09,2.2798837000000003e-12,1.3578297e-11
2011-02-18,289.5836818181818,288.42776000000003,1.6586277e-07,1.7556728e-10,5.5196936e-09,2.3545617e-09,6.9647395e-12,4.0427814e-11
2011-02-19,898.4866666666666,288.92438,1.7148099e-07,2.502575e-10,8.566888e-09,3.5862369e-09,1.1784913000000001e-11,5.1429125e-11
2011-02-20,632.0321428571431,291.96585,1.3282535999999998e-07,8.030799000000001e-11,3.016989e-09,1.6575271e-09,3.866587600000001e-12,2.6662157e-11
2011-02-21,527.5910344827587,281.7472,1.5146075e-07,2.450209e-10,4.5032755e-09,1.3381545e-09,1.3257493e-11,3.180717e-11
2011-02-22,582.4159999999998,275.11627000000004,1.644197e-07,3.2701644e-10,7.0571855e-09,1.7535111e-09,1.3579228e-11,4.5586486e-11
2011-02-23,1065.0596666666668,285.3106,1.7231187e-07,2.714328e-10,4.940305e-09,2.8784835e-09,7.480992e-12,4.4905676e-11
2011-02-24,1364.7182758620688,285.39687999999995,1.8427448000000002e-07,2.8117808e-10,7.518560999999998e-09,3.0218514e-09,3.3009633e-11,1.5080313e-10
