date,concentration,t,co,no,no2,so2,c10h16,c5h8
2003-01-01,252.2618055555557,260.9679,1.5332137e-07,2.4295527000000002e-12,4.990954e-10,4.4288217999999997e-10,7.994572e-12,9.999993e-26
2003-01-02,279.29513888888897,262.25565,1.6041098999999998e-07,5.5766576e-12,6.989338e-10,4.638631e-10,1.1483605e-11,9.999995e-26
2003-01-03,280.90763888888904,255.34741,1.57279e-07,1.8376235e-11,1.2390327e-09,2.1868801e-10,4.2510773e-11,9.9999965e-26
2003-01-04,189.93819444444438,250.73767,1.5677203e-07,2.486525e-11,1.4521216e-09,1.04757515e-10,4.970376e-11,9.9999903e-26
2003-01-05,209.70840277777782,247.83481,1.5923442000000002e-07,4.3900595e-11,2.1697664e-09,1.1719123e-10,5.9351225e-11,9.999995e-26
2003-01-06,335.96874999999994,247.02202000000003,1.6883452e-07,1.5884741000000002e-10,3.8137515e-09,9.529985999999999e-11,1.5895127e-10,9.999995e-26
2003-01-07,286.29652777777767,245.06647999999998,1.788767e-07,9.969542e-11,5.1711027e-09,1.4660398999999998e-10,8.750974000000001e-11,9.9999903e-26
2003-01-08,154.3175,245.92677,1.9144801000000002e-07,1.6858634e-10,7.715448e-09,1.3850829e-10,1.1226906e-10,9.9999903e-26
2003-01-09,201.15754716981144,250.85577,1.7414898000000001e-07,2.5466025e-11,3.1972174e-09,2.3137461e-10,2.8772909999999998e-11,9.999995e-26
2003-01-14,77.42312500000003,257.43542,1.4567695e-07,9.278035e-12,1.1308369999999999e-09,1.8210192e-10,2.1745934e-12,9.999995e-26
2003-01-15,109.3191666666667,254.0878,1.6336086999999998e-07,3.4585255e-11,3.5625052e-09,1.6345705e-10,3.651821e-12,9.999995e-26
2003-01-16,176.92214285714286,256.93976000000004,1.6327888e-07,4.1996837e-11,2.8676820000000004e-09,2.9841038e-10,1.9038756999999997e-12,9.999995e-26
2003-01-17,97.21423728813556,256.34525,1.5354439999999998e-07,2.0069005e-11,1.3436962e-09,1.5365886e-10,2.005926e-12,9.999993e-26
2003-01-18,154.8444444444444,258.00214,1.5554681e-07,1.1477402e-11,1.947786e-09,2.3814872000000004e-10,1.392415e-12,9.999995e-26
2003-01-19,244.7819444444445,260.46497,1.5238598e-07,4.319567299999999e-12,1.124428e-09,4.0848158e-10,4.5764705e-13,9.999995e-26
2003-01-20,68.4103472222222,253.59707999999998,1.5631912e-07,1.9027294e-11,1.044686e-09,1.8356998e-10,2.0526376e-12,9.9999903e-26
2003-01-21,182.87347222222232,257.61672999999996,1.6312953e-07,4.0714307e-12,1.0336633e-09,3.5478276000000003e-10,4.3631152e-13,1.4210855e-14
2003-01-22,244.96180555555554,266.60785,2.1814495999999999e-07,8.580018e-12,5.0074442e-09,4.0873682000000003e-10,6.7653375e-13,1.2422874e-13
2003-01-23,241.34930555555562,263.40607,2.0932005e-07,1.9270252e-11,4.3841264e-09,2.2590318999999998e-10,9.076070999999999e-13,3.7691079999999996e-14
2003-01-24,26.464126984126978,262.85028,1.4853282e-07,2.084004e-12,6.914760000000001e-10,2.4027587999999997e-10,1.6417774e-13,9.999995e-26
2003-01-27,67.84620689655172,258.18552,1.5648034e-07,9.4934945e-12,9.699742e-10,2.3499858e-10,6.61419e-13,9.999993e-26
2003-01-28,52.62418055555556,250.95453999999998,1.5952443e-07,1.517942e-11,1.6307757e-09,1.3308192e-10,1.1697611e-12,9.999993e-26
2003-01-29,74.78892857142857,247.14983999999998,1.6376932999999997e-07,3.0601598e-11,1.6659518e-09,1.1846486e-10,1.7067465e-12,9.999995e-26
2003-01-30,80.94291666666669,247.34627999999998,1.7242334e-07,3.0662313e-11,2.1295827e-09,1.4202395e-10,2.318899e-12,9.999995e-26
2003-01-31,71.77104166666669,245.73766,1.6625873000000003e-07,4.2450266e-11,1.8549616e-09,1.4448974e-10,2.2735544e-12,9.999995e-26
2003-02-01,49.16395833333334,243.54262999999997,1.7323437e-07,6.398247e-11,3.3166112e-09,1.285503e-10,3.3576575e-12,9.999993e-26
2003-02-02,193.39604166666663,255.11234,1.7713429999999998e-07,1.7762734e-11,5.692090999999999e-09,2.202096e-10,4.8018956e-13,9.999993e-26
