date,concentration,t,co,no,no2,so2,c10h16,c5h8
2012-01-01,150.03956521739133,282.7024,1.4470292e-07,1.3618928e-10,6.9181176e-09,8.444064300000001e-10,5.867795e-11,8.664625e-12
2012-01-02,311.75125,280.24725,1.4759536e-07,1.5982597e-10,6.3542975e-09,1.1681056e-09,4.3788757e-11,6.963584700000001e-12
2012-01-03,216.7745833333333,277.7152,1.5462223e-07,8.87925e-11,5.9901444e-09,1.0539999999999999e-09,3.6303516e-11,5.9721940000000005e-12
2012-01-04,284.1958333333333,276.96198,1.4870004000000001e-07,1.3985224e-10,5.4528453e-09,1.3596559e-09,3.274403e-11,3.839456e-12
2012-01-05,175.85791666666668,277.93646,1.3872160000000002e-07,9.4800626e-11,4.8774127e-09,1.1388995e-09,2.7174308e-11,3.7959400000000005e-12
2012-01-06,347.3041666666666,275.3061,1.588786e-07,2.1606782000000002e-10,7.66271e-09,1.5690207e-09,4.6453123e-11,4.9166613e-12
2012-01-07,382.0583333333333,276.2698,1.7012894e-07,1.3833083e-10,8.917768e-09,1.4181829e-09,5.257186999999999e-11,6.441979e-12
2012-01-08,554.6500000000002,276.51027999999997,1.7467487999999998e-07,2.1873016000000002e-10,1.00907185e-08,2.2373063e-09,5.0415033e-11,6.2283516e-12
2012-01-09,616.1333333333333,277.53323,2.1167702e-07,8.692974699999999e-10,1.754091e-08,2.2711724e-09,1.122788e-10,1.1501994e-11
2012-01-10,559.675,278.93164,2.2705673000000002e-07,1.7671182e-09,1.8525938000000003e-08,1.7324436e-09,2.4495117e-10,1.7461201000000002e-11
2012-01-11,557.8458333333333,279.42966,2.0774817000000002e-07,4.4598034000000006e-10,1.6765192e-08,1.7943015e-09,1.264852e-10,1.4341634e-11
2012-01-12,687.5458333333332,278.61935,1.8162584e-07,2.878944e-10,1.0928028000000001e-08,1.383093e-09,6.514350999999999e-11,8.809642e-12
2012-01-13,532.9791666666666,274.78796,1.9142219e-07,5.863386e-10,1.3527868000000001e-08,1.9250836e-09,9.187431e-11,8.097311e-12
2012-01-14,621.025,273.3613,2.4580595000000003e-07,1.213373e-09,2.021938e-08,2.045844e-09,2.318227e-10,1.4568844e-11
2012-01-15,607.6250000000001,272.62646,3.271056e-07,1.0295190000000002e-08,2.2706356e-08,2.4332236e-09,4.4247802999999997e-10,2.3309788000000002e-11
2012-01-16,417.9541666666667,272.12506,2.810068e-07,4.1988617e-09,1.864203e-08,2.0428692e-09,2.6620656000000003e-10,2.1726992e-11
2012-01-17,1028.5370833333334,272.55356,5.790624300000001e-07,3.7174562000000006e-08,2.3180014e-08,2.6053895e-09,1.2575265e-09,5.8147135999999995e-11
2012-01-18,1698.4041666666665,272.6894,3.7178647999999996e-07,5.421159000000001e-09,1.7600431e-08,1.6041033e-09,3.587084e-10,2.7585783e-11
2012-01-19,413.3616666666666,277.99203,1.9450516e-07,1.2694672e-10,8.815473e-09,4.954037e-10,7.6497766e-11,1.2491284e-11
2012-01-20,389.32916666666665,275.5233,1.6710484000000001e-07,1.7298216e-10,8.908984e-09,1.4389555e-09,5.4819990000000005e-11,7.459352e-12
2012-01-21,281.7608333333333,278.15527000000003,1.7973361999999998e-07,2.2305746e-10,1.0814658000000001e-08,1.2340126e-09,8.7973684e-11,8.320517999999999e-12
