date,concentration,t,co,no,no2,so2,c10h16,c5h8
2009-01-01,1924.5652173913047,271.0395,2.7303187e-07,2.9103520000000006e-09,1.651922e-08,2.6177314e-09,2.2069516000000002e-10,3.6145602999999997e-12
2009-01-02,1500.791666666667,271.8573,2.8795182e-07,8.2584295e-09,1.3817633e-08,2.3945779e-09,4.4559875e-10,4.7028523e-12
2009-01-03,1548.75,270.37146,2.2902011999999998e-07,3.1576413e-09,1.6839417e-08,1.7295085e-09,1.8058725e-10,2.9690742000000004e-12
2009-01-04,416.4333333333333,273.88876,1.6930951999999998e-07,1.6083678999999998e-10,8.197598000000001e-09,1.1156427e-09,5.884283e-11,2.161525e-12
2009-01-05,618.1208333333334,270.4379,1.7347854000000001e-07,2.9153627000000004e-10,6.5695405e-09,1.3284845e-09,4.1814538e-11,3.0630102e-13
2009-01-06,2311.5416666666665,264.71948,2.8408724e-07,4.6411675e-09,2.9339724e-08,1.8185701e-09,3.24872e-10,1.0157149e-12
2009-01-07,2292.583333333333,267.4273,2.2284570000000003e-07,2.1165305e-09,2.4589613999999997e-08,2.2209954e-09,1.0807916399999999e-10,3.8397766e-12
2009-01-08,1580.9291666666668,267.65802,2.614776e-07,4.2000687e-09,3.3487545e-08,2.530531e-09,1.8358681000000002e-10,3.9427975e-12
2009-01-09,2341.4166666666665,269.83867999999995,2.6238046999999996e-07,1.9172826e-09,2.9730867e-08,2.6498985e-09,1.4037824e-10,6.323215e-12
2009-01-10,2875.541666666666,271.71045,3.3378444000000003e-07,8.693905000000001e-09,3.1865195e-08,2.4783555e-09,3.3002928e-10,5.0993953e-12
2009-01-11,2875.291666666666,270.26602,3.2005485000000003e-07,3.2883518e-09,3.4613542e-08,2.3960134e-09,1.5066165e-10,1.1343465e-11
2009-01-12,1698.25,272.91882000000004,2.895258e-07,3.0724823e-09,4.3906435999999996e-08,1.7095920000000001e-09,8.127957e-11,1.4966414000000002e-11
2009-01-13,2171.125,275.8733,2.618965e-07,4.688083e-10,2.2721226000000005e-08,1.8987965e-09,3.8073467999999996e-11,8.335117e-12
2009-01-14,2136.608333333333,274.87045,3.5916028000000006e-07,4.154609e-09,2.4791333e-08,2.1913087e-09,1.6154698000000001e-10,7.313831e-11
2009-01-15,715.6,275.00097999999997,3.3680779999999997e-07,9.523726999999999e-09,2.7143457000000004e-08,8.796414699999999e-10,2.8445797999999996e-10,1.1124137e-10
2009-01-16,823.3958333333335,273.45837,2.8546455e-07,3.1920553e-09,2.7486012000000003e-08,5.4996807e-10,1.5653723e-10,4.2061264e-11
2009-01-17,2514.0416666666665,274.31512000000004,3.258858e-07,2.5471771e-09,2.9011800999999998e-08,1.7586719e-09,1.0023429000000001e-10,4.2886509999999995e-11
2009-01-18,1287.9375,276.85152999999997,2.2949979000000002e-07,1.0873591599999999e-10,9.845405e-09,1.599632e-09,2.8592403999999997e-11,6.496751999999999e-12
2009-01-19,649.0833333333334,275.74712999999997,1.6959319e-07,1.511893e-10,7.4104953e-09,1.6999409e-09,2.0309279e-11,1.4364511e-12
2009-01-20,537.3125,277.08783,1.7162125e-07,2.0193722e-10,8.117032e-09,1.613051e-09,3.158895e-11,1.3180513999999998e-12
2009-01-21,1804.166666666667,273.35318,3.076199e-07,2.6345108e-09,2.3029315e-08,1.8302035e-09,1.9498156e-10,1.1925147e-11
2009-01-22,1801.6416666666669,274.45132,2.5620724e-07,9.240543300000001e-10,2.6606852e-08,2.0360613e-09,9.507898599999999e-11,8.909296e-12
2009-01-23,890.0458333333332,274.78632000000005,2.0024620000000002e-07,7.478947e-11,7.894546e-09,1.4274325e-09,2.0523217e-11,5.850685e-12
2009-01-24,747.875,276.29025,1.8746404999999999e-07,3.4545955e-10,8.704785e-09,1.9953155e-09,3.476274e-11,8.166463000000001e-12
2009-01-25,1335.1583333333333,275.34634,2.1268701000000001e-07,3.1041145e-10,1.1862988000000001e-08,2.2688758e-09,5.270898299999999e-11,6.2577972e-12
2009-01-26,986.7875,272.73553,2.5766053e-07,9.2853314e-10,1.4323609e-08,8.405837699999999e-10,9.2083306e-11,6.8160443e-12
2009-01-27,637.9374999999999,272.2951,2.2866422e-07,3.1959585e-10,1.0873531000000001e-08,6.220892e-10,6.434624e-11,4.322613e-12
2009-01-28,708.8916666666668,271.5175,2.3869023e-07,7.044501e-10,1.1391978e-08,6.535662e-10,7.550453e-11,4.554285299999999e-12
2009-01-29,704.1636363636363,270.50397000000004,2.2109981000000001e-07,2.7824384e-10,7.6080555e-09,2.8493737999999996e-10,3.310761e-11,2.9115007000000003e-12
2009-01-30,859.4458333333333,270.93683,2.0524020999999997e-07,2.2777208e-10,7.126930999999999e-09,4.322996e-10,3.9389634e-11,3.5518988e-12
2009-01-31,630.4291666666667,273.13788,2.0835673999999997e-07,2.1031456000000002e-10,8.628158999999999e-09,8.846601e-10,5.3327940000000005e-11,3.734089e-12
2009-02-01,706.725,271.1569,1.8612154999999999e-07,3.3697367000000004e-10,5.0694124e-09,1.5734105e-09,2.0560562e-11,1.9467282e-12
2009-02-02,1382.125,273.1314,2.1477774e-07,3.0126812000000004e-10,6.7445662e-09,3.57181e-09,2.1995770000000003e-11,3.6629393e-12
2009-02-03,2063.7916666666665,274.36773999999997,2.3982315e-07,4.426767e-10,1.0447876e-08,2.2211197e-09,5.0622735e-11,5.8712519999999996e-12
2009-02-04,2060.375,274.2259,3.4124344e-07,8.134791000000001e-09,1.9504251999999998e-08,1.477615e-09,2.6734773e-10,1.499725e-11
2009-02-05,2230.708333333333,276.20944,3.5239395000000003e-07,4.257784000000001e-09,2.2836005e-08,1.7709794e-09,1.936162e-10,1.9248953e-11
2009-02-06,2217.6666666666665,276.88754,2.8103418e-07,8.389989999999999e-10,1.7265464e-08,2.0780353e-09,8.396224e-11,9.764337e-12
2009-02-07,2140.0416666666665,273.9425,3.7304233000000005e-07,7.1554007e-09,2.7420226000000003e-08,1.6019356e-09,2.5675356e-10,1.9728524e-11
2009-02-08,700.6458333333335,274.50336,1.9200165999999999e-07,3.3053557000000004e-10,9.531854e-09,1.3860072e-09,4.228156e-11,6.586995699999999e-12
2009-02-09,1136.8708333333334,273.90527000000003,2.1113712e-07,2.6857128e-10,1.28558995e-08,2.2125082e-09,4.8456467999999997e-11,9.4250606e-12
2009-02-10,1059.4291666666666,275.30124,2.0853113e-07,4.932848e-10,1.2900450000000001e-08,1.3661967e-09,7.883585e-11,1.524451e-11
2009-02-11,799.7541666666666,273.23526,1.9823224e-07,3.5576583e-10,7.5080635e-09,1.2342727e-09,2.9085127e-11,4.598494999999999e-12
2009-02-12,830.9421052631578,272.32574,1.7759905e-07,2.1894692e-10,9.324973e-09,2.5608267e-09,3.0680264e-11,5.168655000000001e-12
2009-02-13,718.0749999999998,272.49927,1.9617563e-07,4.048777e-10,1.4670279e-08,2.567315e-09,7.5935425e-11,1.21359e-11
2009-02-14,1195.5375,271.0409,2.0168382e-07,4.4410298e-10,1.13666525e-08,6.962753e-10,4.64149e-11,5.4144154e-12
2009-02-15,1877.125,272.33923,2.1149542e-07,4.5387627e-10,1.2794007000000001e-08,2.6897480000000003e-09,4.3771438e-11,8.12353e-12
2009-02-16,705.8416666666667,275.30084,2.0153685999999998e-07,2.9047828e-10,1.4645722999999999e-08,5.9572247e-10,7.416371e-11,1.4486529999999998e-11
2009-02-17,595.6,272.38306,1.9756482000000002e-07,5.748319e-10,1.0439544000000001e-08,7.076946e-10,6.667344499999999e-11,1.0421704e-11
2009-02-18,1173.5541666666668,270.57162,2.0468872e-07,5.735426e-10,1.24598625e-08,1.6500108e-09,7.641466e-11,1.4736979e-11
2009-02-19,2240.458333333333,272.4475,2.3193632999999997e-07,1.2451923e-09,2.1752346e-08,2.929866e-09,8.779323e-11,2.1050103e-11
2009-02-20,1184.9708333333333,275.27887000000004,2.2248881e-07,7.4452366e-10,2.1447223e-08,9.068953e-10,1.194378e-10,3.1062954e-11
2009-02-21,680.9625000000002,274.6728,2.3767325e-07,6.80782e-09,1.5048416e-08,8.8309215e-10,2.5345472999999997e-10,4.1964453e-11
2009-02-22,803.775,276.9452,1.7859668e-07,2.7073094e-10,1.1813791e-08,7.6095763e-10,4.7290897e-11,2.0040266e-11
2009-02-23,310.9875,276.89758,1.4589948999999998e-07,1.3197646000000002e-10,4.7495226e-09,9.204493e-10,2.4638937e-11,9.6583245e-12
2009-02-24,1015.175,274.67276,2.2609504e-07,6.121227400000001e-10,1.0980193999999999e-08,1.2278738e-09,9.392531999999999e-11,2.6143499e-11
2009-02-25,954.885,275.98764,1.9429707e-07,2.5356656e-10,1.42108565e-08,2.0888333e-09,5.4460665e-11,3.1263377e-11
2009-02-26,703.4458333333333,278.7172,1.7935223999999997e-07,2.141365e-10,1.3730376e-08,1.2329147e-09,3.8299904999999996e-11,2.3586844e-11
2009-02-27,344.33333333333326,278.06537000000003,1.5500703e-07,1.075216e-10,6.6587207e-09,9.097376e-10,3.3801656e-11,1.9535901999999998e-11
2009-02-28,567.4208333333332,278.97986000000003,2.2993903e-07,3.834405e-09,2.0449077e-08,5.520947e-10,2.834542e-10,9.951552e-11
2009-03-01,859.7083333333331,280.2121,2.9456967e-07,1.2778999e-08,2.1103196e-08,1.1684649e-09,5.250305e-10,1.4063256000000001e-10
2009-03-02,1392.9187499999996,280.06183,2.5700245000000003e-07,1.987693e-09,1.9237842e-08,1.1956981e-09,1.15616614e-10,5.900714599999999e-11
2009-03-03,910.3583333333332,278.5078,1.7930566e-07,2.2431335e-10,9.851902e-09,1.5535079e-09,5.4757626e-11,2.910271e-11
2009-03-04,1417.1363636363635,278.52628,2.2636982e-07,3.7937578e-10,1.1082232e-08,9.706098e-10,4.5453454e-11,2.7671594e-11
2009-03-05,2029.791666666667,278.47595,2.4122113e-07,2.9186106000000003e-10,1.03012106e-08,7.022460400000001e-10,8.144150600000001e-11,4.4820420000000003e-11
2009-03-06,1462.6208333333334,277.8531,2.1427823999999998e-07,3.253566e-10,1.1240323999999999e-08,8.9390173e-10,8.82069e-11,3.8582533e-11
2009-03-07,1196.8291666666667,276.4702,2.0249523999999998e-07,1.8140473999999998e-10,9.543115e-09,6.930482e-10,6.694046999999999e-11,3.1421882e-11
2009-03-08,1108.0916666666667,278.4489,1.9445807000000002e-07,1.918123e-10,1.0872083000000001e-08,1.4050366e-09,6.12584e-11,4.804905e-11
2009-03-09,607.9333333333335,276.46762,1.7324901999999998e-07,3.3816608e-10,1.0433958000000001e-08,1.7032873e-09,6.242272e-11,3.342174e-11
2009-03-10,807.8166666666667,276.9298,1.8046424e-07,2.6591854e-10,9.5134975e-09,9.490287e-10,6.720676e-11,4.33751e-11
2009-03-11,350.10416666666674,277.46612999999996,1.6747641000000002e-07,2.616945e-10,7.481437e-09,8.473569e-10,5.0509544e-11,3.0321815e-11
2009-03-12,737.4999999999999,277.13657,1.9850873e-07,2.6352823e-10,1.31593225e-08,9.34858e-10,8.186798000000001e-11,6.63498e-11
2009-03-13,435.75416666666666,279.7087,1.6060354999999998e-07,1.4636121e-10,7.393759e-09,1.2150893e-09,4.4409677e-11,3.055175e-11
2009-03-14,1294.7583333333334,279.99703999999997,2.2099574e-07,7.23096e-10,2.0015282e-08,1.8023499e-09,1.9337232e-10,9.0185755e-11
2009-03-15,318.87083333333334,280.0385,1.6601928e-07,1.3857519e-10,8.7524645e-09,1.0788568e-09,5.954189e-11,5.137147e-11
2009-03-16,949.4458333333333,279.54247999999995,2.2230454000000003e-07,2.0125221e-09,1.6584826e-08,8.686679699999999e-10,2.3736824e-10,1.1193086999999999e-10
2009-03-17,691.9083333333333,280.3955,1.8045628e-07,3.1575692000000004e-10,9.265709999999999e-09,1.5840231e-09,4.5129768e-11,4.2521795e-11
2009-03-18,247.93333333333328,277.5373,1.6565096e-07,2.0597002e-10,7.8205e-09,1.8285512e-09,4.6866323e-11,5.3843409999999996e-11
